reviewIndex,questionId,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,answer,explanationZhHans,sampleReason,decision,issueType,reviewerNotes,actionRequired
75,pep-junior-candidate-k09-mc-028,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,multiple-choice,Exam,一次函数y=5x-4，当x=5时，y的值是多少？,21,代入x=5，y=5×5-4=21。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
76,pep-junior-candidate-k09-fi-001,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,fill-in,Exam,"一次函数图象经过点(2,6)和(4,16)，它的斜率是____。",5,斜率=(16-6)÷(4-2)=5。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
77,pep-junior-candidate-k09-fi-014,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,fill-in,Exam,"一次函数图象经过点(5,4)和(7,12)，它的斜率是____。",4,斜率=(12-4)÷(7-5)=4。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
78,pep-junior-candidate-k09-fi-027,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,fill-in,Exam,"一次函数图象经过点(3,2)和(5,8)，它的斜率是____。",3,斜率=(8-2)÷(5-3)=3。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
79,pep-junior-candidate-k09-sa-001,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,short-answer,Exam,一组数据按从小到大排列为36、38、40、42。求这组数据的中位数。,39,共有4个数，中位数是中间两个数的平均数：(38+40)÷2=39。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
80,pep-junior-candidate-k09-sa-014,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,short-answer,Exam,一组数据按从小到大排列为12、14、16、18。求这组数据的中位数。,15,共有4个数，中位数是中间两个数的平均数：(14+16)÷2=15。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
81,pep-junior-candidate-k09-sa-027,S2,lower,pep-junior-s2-lower-linear-functions-data,一次函数与数据分析,short-answer,Exam,一组数据按从小到大排列为25、27、29、31。求这组数据的中位数。,28,共有4个数，中位数是中间两个数的平均数：(27+29)÷2=28。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
82,pep-junior-candidate-k10-mc-001,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,multiple-choice,Exam,解方程：(x-9)(x-14)=0。,x=9或x=14,两个因式乘积为0，所以x-9=0或x-14=0，答案是x=9或x=14。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
83,pep-junior-candidate-k10-mc-014,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,multiple-choice,Exam,解方程：(x-22)(x-29)=0。,x=22或x=29,两个因式乘积为0，所以x-22=0或x-29=0，答案是x=22或x=29。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
84,pep-junior-candidate-k10-mc-027,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,multiple-choice,Exam,解方程：(x-12)(x-21)=0。,x=12或x=21,两个因式乘积为0，所以x-12=0或x-21=0，答案是x=12或x=21。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
85,pep-junior-candidate-k10-fi-001,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,fill-in,Exam,二次函数y=(x-10)²+21的对称轴是____。,x=10,顶点式y=(x-10)²+21的对称轴为x=10。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
86,pep-junior-candidate-k10-fi-015,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,fill-in,Exam,二次函数y=(x+7)²+20的对称轴是____。,x=-7,顶点式y=(x+7)²+20的对称轴为x=-7。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
87,pep-junior-candidate-k10-fi-028,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,fill-in,Exam,二次函数y=(x-6)²+17的对称轴是____。,x=6,顶点式y=(x-6)²+17的对称轴为x=6。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
88,pep-junior-candidate-k10-sa-001,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,short-answer,Exam,袋中有6个红球和13个蓝球，随机摸出1个球。摸到红球的概率是多少？,6/19,共有19个球，其中红球6个，所以概率是6/19=6/19。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
89,pep-junior-candidate-k10-sa-014,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,short-answer,Exam,袋中有2个红球和20个蓝球，随机摸出1个球。摸到红球的概率是多少？,1/11,共有22个球，其中红球2个，所以概率是2/22=1/11。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
90,pep-junior-candidate-k10-sa-027,S3,upper,pep-junior-s3-upper-quadratics-circle-probability,一元二次方程、二次函数、圆与概率初步,short-answer,Exam,袋中有15个红球和8个蓝球，随机摸出1个球。摸到红球的概率是多少？,15/23,共有23个球，其中红球15个，所以概率是15/23=15/23。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
91,pep-junior-candidate-k11-mc-001,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,multiple-choice,Exam,"反比例函数y=k/x经过点(27,10)，k的值是多少？",270,"把点(27,10)代入y=k/x，得k=27×10=270。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
92,pep-junior-candidate-k11-mc-014,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,multiple-choice,Exam,"反比例函数y=k/x经过点(11,5)，k的值是多少？",55,"把点(11,5)代入y=k/x，得k=11×5=55。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
93,pep-junior-candidate-k11-mc-027,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,multiple-choice,Exam,"反比例函数y=k/x经过点(24,31)，k的值是多少？",744,"把点(24,31)代入y=k/x，得k=24×31=744。",fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
94,pep-junior-candidate-k11-fi-001,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,fill-in,Exam,两个相似三角形的相似比为3:1，小三角形一条对应边长3厘米，大三角形对应边长____。,9厘米,对应边按相似比放大3倍，所以大三角形对应边长3×3=9厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
95,pep-junior-candidate-k11-fi-014,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,fill-in,Exam,两个相似三角形的相似比为4:1，小三角形一条对应边长8厘米，大三角形对应边长____。,32厘米,对应边按相似比放大4倍，所以大三角形对应边长4×8=32厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
96,pep-junior-candidate-k11-fi-027,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,fill-in,Exam,两个相似三角形的相似比为5:1，小三角形一条对应边长6厘米，大三角形对应边长____。,30厘米,对应边按相似比放大5倍，所以大三角形对应边长5×6=30厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
97,pep-junior-candidate-k11-sa-001,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,short-answer,Exam,测得旗杆顶端的仰角为45°，测量点到旗杆底部的水平距离为31米。若忽略测量高度，旗杆高约多少？,31米,tan45°=1，高度=水平距离×1=31米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
98,pep-junior-candidate-k11-sa-015,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,short-answer,Exam,测得旗杆顶端的仰角为45°，测量点到旗杆底部的水平距离为8米。若忽略测量高度，旗杆高约多少？,8米,tan45°=1，高度=水平距离×1=8米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
99,pep-junior-candidate-k11-sa-028,S3,lower,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,short-answer,Challenge,测得旗杆顶端的仰角为45°，测量点到旗杆底部的水平距离为21米。若忽略测量高度，旗杆高约多少？,21米,tan45°=1，高度=水平距离×1=21米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
