"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-rag2-p2-upper-mc-041","P2","upper","multiple-choice","Foundation","乘法的初步认识","solver-gap","manual-required","5+5+5","5+5+5","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个选项表示3个5相加？"
"pep-primary-rag2-p2-upper-mc-042","P2","upper","multiple-choice","Foundation","长度单位","solver-gap","manual-required","米","米","","","","not-run","solver:no deterministic solver matched this free-form item","测量黑板的长度，用哪个单位比较合适？"
"pep-primary-rag2-p2-upper-mc-043","P2","upper","multiple-choice","Foundation","观察物体","solver-gap","manual-required","长方形","长方形","","","","not-run","solver:no deterministic solver matched this free-form item","从前面看一个圆柱，看到的是什么形状？"
"pep-primary-rag2-p2-upper-mc-044","P2","upper","multiple-choice","Foundation","素养达标","solver-gap","manual-required","1米的绳子","1米的绳子","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子长20厘米，另一根绳子长1米，哪根绳子更长？"
"pep-primary-rag2-p2-upper-mc-045","P2","upper","multiple-choice","Foundation","易错提优","solver-gap","manual-required","3+3+3+3","3+3+3+3","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个算式的结果与4×3相同？"
"pep-primary-rag2-p2-upper-sa-001","P2","upper","short-answer","Challenge","角的初步认识","solver-gap","manual-required","长方形","长方形","","","","not-run","solver:no deterministic solver matched this free-form item","观察一个长方体盒子，从正面看是一个长方形。如果从上面看，会是什么形状？请写出形状名称，并说明你是怎么知道的。"
"pep-primary-rag2-p2-upper-sa-002","P2","upper","short-answer","Challenge","乘法的初步认识","solver-gap","manual-required","（学生画出5组，每组2个图形，如5组圆圈，每组2个）口诀：二五一十","（学生画出5组，每组2个图形，如5组圆圈，每组2个）口诀：二五一十","","","","not-run","solver:no deterministic solver matched this free-form item","用你喜欢的图形画一画，表示5×2，并写出乘法口诀。"
"pep-primary-rag2-p2-upper-sa-003","P2","upper","short-answer","Challenge","素养达标","solver-gap","manual-required","4米。算式：2×2=4（米）","4米。算式：2×2=4（米）","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子对折一次后长2米，这根绳子原来长多少米？请写出算式和答案。"
"pep-primary-rag2-p2-upper-sa-004","P2","upper","short-answer","Challenge","厘米和米","solver-gap","manual-required","80厘米","80厘米 | 80cm","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子长1米，剪去20厘米，剩下的绳子长多少厘米？请写出计算过程。"
"pep-primary-rag2-p2-upper-sa-005","P2","upper","short-answer","Challenge","素养拓展","solver-gap","manual-required","24","24","","","","not-run","solver:no deterministic solver matched this free-form item","小马虎做乘法时，把乘数6看成了9，结果积是36。正确的积应该是多少？请写出你的想法。"
"pep-primary-rag2-p2-upper-sa-006","P2","upper","short-answer","Foundation","观察物体","solver-gap","manual-required","3个面","3个面 | 3","","","","not-run","solver:no deterministic solver matched this free-form item","从一个方向观察一个长方体，最多能看到几个面？请写出你的答案并简单说明。"
"pep-primary-rag2-p2-upper-sa-007","P2","upper","short-answer","Core","乘法的初步认识","solver-gap","manual-required","3×4=12","3×4=12 | 4×3=12","","","","not-run","solver:no deterministic solver matched this free-form item","小明有3盒铅笔，每盒有4支。他一共有多少支铅笔？请写出乘法算式和得数。"
"pep-primary-rag2-p2-upper-sa-008","P2","upper","short-answer","Foundation","素养达标","solver-gap","manual-required","30张","30张 | 30 | 5×6=30 | 6×5=30","","","","not-run","solver:no deterministic solver matched this free-form item","教室里有6排桌子，每排5张，一共有多少张桌子？请用乘法计算并写出得数。"
"pep-primary-rag2-p2-upper-sa-009","P2","upper","short-answer","Core","长度单位","solver-gap","manual-required","60厘米","60厘米 | 60 | 60cm","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子长1米，用去了40厘米，还剩多少厘米？"
"pep-primary-rag2-p2-upper-sa-010","P2","upper","short-answer","Foundation","素养拓展","solver-gap","manual-required","对，因为5+5+5+5表示4个5相加，用乘法表示就是5×4。","对，因为5+5+5+5表示4个5相加，用乘法表示就是5×4。 | 对，因为4个5相加可以写成5×4。 | 对，5×4=20，5+5+5+5=20，所以相等。","","","","not-run","solver:no deterministic solver matched this free-form item","小丽说：“5+5+5+5=5×4。”她说得对吗？请简单说说理由。"
"pep-primary-rag2-p2-upper-sa-011","P2","upper","short-answer","Core","角的初步认识","solver-gap","manual-required","前面看是正方形，上面看也是正方形。","前面看是正方形，上面看也是正方形。 | 正方形，正方形","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在一个正方体纸盒的前面，他看到的纸盒是什么形状？如果他从上面看，又是什么形状？请分别回答。"
"pep-primary-rag2-p2-upper-sa-012","P2","upper","short-answer","Foundation","乘法的初步认识","solver-gap","manual-required","加法算式：5+5+5=15，乘法算式：3×5=15或5×3=15。","加法算式：5+5+5=15，乘法算式：3×5=15或5×3=15。 | 加法算式：5+5+5=15，乘法算式：3×5=15 | 加法算式：5+5+5=15，乘法算式：5×3=15","","","","not-run","solver:no deterministic solver matched this free-form item","每行有5颗草莓，摆了3行。一共有多少颗草莓？请写出加法算式和乘法算式。"
"pep-primary-rag2-p2-upper-sa-013","P2","upper","short-answer","Core","素养达标","solver-gap","manual-required","铅笔长18厘米。没有变，因为长度是物体两端刻度差，20-2=18厘米。","铅笔长18厘米。没有变，因为长度是物体两端刻度差，20-2=18厘米。 | 18厘米，没有变，20-2=18","","","","not-run","solver:no deterministic solver matched this free-form item","小东量一支铅笔。一端对准尺子的0刻度，另一端对准18刻度，铅笔长多少厘米？如果一端对准2刻度，另一端对准20刻度，长度变了吗？请简单说说理由。"
"pep-primary-rag2-p2-upper-sa-014","P2","upper","short-answer","Foundation","厘米和米","pass","none","55厘米","55厘米 | 55 | 55cm","55厘米","centimeter-subtraction-used-total","measurement","pass","solver:centimeter-subtraction-used-total","一根绳子长1米，小明先用去了30厘米，又用去了25厘米。这根绳子比原来短了多少厘米？"
"pep-primary-rag2-p2-upper-sa-015","P2","upper","short-answer","Core","素养拓展","solver-gap","manual-required","不对。2×3表示2个3相加，结果是6；2+3表示2和3合起来，结果是5，所以不相等。","不对。2×3表示2个3相加，结果是6；2+3表示2和3合起来，结果是5，所以不相等。 | 不对，2×3是6，2+3是5，不一样。 | 不对，乘法和加法不同。","","","","not-run","solver:no deterministic solver matched this free-form item","小华说：“因为2×3=6，所以2+3=6。”他说得对吗？请简单说说理由。"
"pep-primary-rag2-p3-lower-fi-001","P3","lower","fill-in","Core","位置与方向（一）","solver-gap","manual-required","西","西","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在学校操场中央，面向北。他先向右转90度，再向后转，最后向左转90度。这时他面向哪个方向？"
"pep-primary-rag2-p3-lower-fi-002","P3","lower","fill-in","Core","小数的初步认识","solver-gap","manual-required","1.25","1.25","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔的价格是1元2角5分，用小数表示是______元。"
"pep-primary-rag2-p3-lower-fi-003","P3","lower","fill-in","Core","两位数乘两位数","solver-gap","manual-required","322","322","","","","not-run","solver:no deterministic solver matched this free-form item","计算 23×14 时，先算 23×4=92，再算 23×10=230，最后把两次的积加起来，结果是______。"
"pep-primary-rag2-p3-lower-fi-004","P3","lower","fill-in","Core","期末综合","solver-gap","manual-required","8","8","336","equal-groups-multiplication","multiplication","fail","solver:equal-groups-multiplication || explanation:computed result not found or contradiction pattern present","妈妈买了3盒鸡蛋，每盒有12个。吃了28个后，还剩多少个？"
"pep-primary-rag2-p3-lower-fi-005","P3","lower","fill-in","Core","面积","solver-gap","manual-required","40；26","40；26 | 40,26 | 40 26","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方形花坛，长8米，宽5米。它的面积是____平方米，周长是____米。"
"pep-primary-rag2-p3-lower-fi-006","P3","lower","fill-in","Core","除数是一位数的除法","solver-gap","manual-required","5；83","5；83 | 5,83 | 5 83","","","","not-run","solver:no deterministic solver matched this free-form item","在算式□÷6=13……△中，△最大是____，此时□是____。"
"pep-primary-rag2-p3-lower-fi-007","P3","lower","fill-in","Core","小数的初步认识","solver-gap","manual-required","十；三；0.3","十；三；0.3 | 10；3；0.3","","","","not-run","solver:no deterministic solver matched this free-form item","3分米是1米的____分之____，写成小数是____米。"
"pep-primary-rag2-p3-lower-fi-008","P3","lower","fill-in","Core","两位数乘两位数","solver-gap","manual-required","230, 115, 345","230, 115, 345 | 230 115 345","","","","not-run","solver:no deterministic solver matched this free-form item","计算 23 × 15 时，可以先算 23 × 10 = ______，再算 23 × 5 = ______，最后把两个积相加得到 ______。"
"pep-primary-rag2-p3-lower-fi-009","P3","lower","fill-in","Core","期中综合","pass","none","960","960","960","base-plus-multiple-total","multiplication-application","pass","solver:base-plus-multiple-total","学校图书馆有故事书240本，科技书是故事书的3倍，两种书一共有 ______ 本。"
"pep-primary-rag2-p3-lower-fi-010","P3","lower","fill-in","Core","面积","solver-gap","manual-required","81","81","","","","not-run","solver:no deterministic solver matched this free-form item","一个正方形手帕的周长是36厘米，它的面积是 ______ 平方厘米。"
"pep-primary-rag2-p3-lower-fi-011","P3","lower","fill-in","Core","位置与方向（一）","solver-gap","manual-required","北方","北方","","","","not-run","solver:no deterministic solver matched this free-form item","小华站在操场中央，面向东方。他先向左转，再向后转，现在他面向哪个方向？"
"pep-primary-rag2-p3-lower-fi-012","P3","lower","fill-in","Core","小数的初步认识","solver-gap","manual-required","1.2","1.2 | 1.20","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔的价格是 1 元 2 角，用小数表示是______元。"
"pep-primary-rag2-p3-lower-fi-013","P3","lower","fill-in","Core","两位数乘两位数","solver-gap","manual-required","92, 230, 322","92, 230, 322 | 92，230，322","","","","not-run","solver:no deterministic solver matched this free-form item","计算 23 × 14 时，先算 23 × 4 = ______，再算 23 × 10 = ______，最后把两个积相加得到______。"
"pep-primary-rag2-p3-lower-fi-014","P3","lower","fill-in","Core","提优拓展","solver-gap","manual-required","4, 20","4, 20 | 4，20","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方形花坛的面积是 24 平方米，长是 6 米，宽是______米。如果在花坛四周围上篱笆，篱笆长______米。"
"pep-primary-rag2-p3-lower-fi-015","P3","lower","fill-in","Foundation","面积","solver-gap","manual-required","40, 26","40, 26 | 40，26 | 40 26","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方形花坛的长是8米，宽是5米。这个花坛的面积是____平方米，周长是____米。"
"pep-primary-rag2-p3-lower-fi-016","P3","lower","fill-in","Core","除数是一位数的除法","solver-gap","manual-required","5, 653","5, 653 | 5，653 | 5 653","","","","not-run","solver:no deterministic solver matched this free-form item","在除法算式 □÷6=108……△ 中，△最大是____，这时□是____。"
"pep-primary-rag2-p3-lower-fi-017","P3","lower","fill-in","Foundation","小数的初步认识","solver-gap","manual-required","1.5, 三点六米","1.5, 三点六米 | 1.5，三点六米 | 1.5 三点六米","","","","not-run","solver:no deterministic solver matched this free-form item","1元5角用小数表示是____元；3.6米读作____。"
"pep-primary-rag2-p3-lower-fi-018","P3","lower","fill-in","Core","两位数乘两位数","solver-gap","manual-required","288","288","","","","not-run","solver:no deterministic solver matched this free-form item","学校买了24盒彩笔，每盒有12支。一共买了多少支彩笔？列竖式计算，并填空：24×12的积是______。"
"pep-primary-rag2-p3-lower-fi-019","P3","lower","fill-in","Foundation","解决问题","solver-gap","manual-required","64","64","36","equal-groups-multiplication","multiplication","fail","solver:equal-groups-multiplication || explanation:computed result not found or contradiction pattern present","李老师买了3盒水彩笔，每盒18元，又买了2个笔记本，每个5元。他一共要付______元。"
"pep-primary-rag2-p3-lower-fi-020","P3","lower","fill-in","Core","面积","solver-gap","manual-required","36,24","36,24 | 36 24 | 36平方厘米，24厘米","","","","not-run","solver:no deterministic solver matched this free-form item","一个正方形的边长是6厘米，它的面积是______平方厘米，周长是______厘米。"
"pep-primary-rag2-p3-lower-fi-021","P3","lower","fill-in","Foundation","位置与方向（一）","solver-gap","manual-required","西","西 | 西方 | 西面","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在学校门口，面向北方。他的左边是图书馆，右边是操场。请问图书馆在学校的哪个方向？"
"pep-primary-rag2-p3-lower-fi-022","P3","lower","fill-in","Core","小数的初步认识","solver-gap","manual-required","1.5","1.5 | 1.50","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔的价格是1元5角，用小数表示是______元。"
"pep-primary-rag2-p3-lower-fi-023","P3","lower","fill-in","Foundation","两位数乘两位数","solver-gap","manual-required","276","276","","","","not-run","solver:no deterministic solver matched this free-form item","计算23×12时，可以先算23×10=230，再算23×2=46，最后把两次的积相加，230+46=______。"
"pep-primary-rag2-p3-lower-fi-024","P3","lower","fill-in","Core","期末综合","pass","none","36","36","36","square-area-from-wire-perimeter","area","pass","solver:square-area-from-wire-perimeter","用一根长24厘米的铁丝围成一个正方形，这个正方形的面积是______平方厘米。"
"pep-primary-rag2-p3-lower-fi-025","P3","lower","fill-in","Foundation","面积","pass","none","40","40 | 40平方米","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形花坛的长是8米，宽是5米。这个花坛的面积是____平方米。"
"pep-primary-rag2-p3-lower-fi-026","P3","lower","fill-in","Core","除数是一位数的除法","solver-gap","manual-required","41","41","","","","not-run","solver:no deterministic solver matched this free-form item","计算 246÷6 时，先算 24个十除以6得4个十，商写在十位上；再算6个一除以6得1个一，商写在个位上。所以商是____。"
"pep-primary-rag2-p3-lower-fi-027","P3","lower","fill-in","Core","周长与面积辨析","pass","none","36","36 | 36平方厘米","36","square-area-from-wire-perimeter","area","pass","solver:square-area-from-wire-perimeter","用一根长24厘米的铁丝围成一个正方形，这个正方形的面积是____平方厘米。"
"pep-primary-rag2-p3-lower-fi-028","P3","lower","fill-in","Core","提优拓展","solver-gap","manual-required","7","7 | 7根","","","","not-run","solver:no deterministic solver matched this free-form item","小明用同样长的小棒摆正方形，摆一个正方形用4根小棒，摆两个正方形最少用____根小棒（可以共用边）。"
"pep-primary-rag2-p3-lower-fi-029","P3","lower","fill-in","Core","两位数乘两位数","solver-gap","manual-required","414","414","","","","not-run","solver:no deterministic solver matched this free-form item","计算 23 × 18 时，可以先算 23 × 10 = 230，再算 23 × 8 = 184，最后把两部分相加，结果是______。"
"pep-primary-rag2-p3-lower-fi-030","P3","lower","fill-in","Core","复式统计表","solver-gap","manual-required","0","0","","","","not-run","solver:no deterministic solver matched this free-form item","下表是三年级两个班1分钟跳绳达标情况统计：\n\n| 班级 | 达标人数 | 未达标人数 |\n|------|----------|------------|\n| 三(1) | 28       | 7          |\n| 三(2) | 32       | 3          |\n\n三(1)班总人数比三(2)班总人数多______人。"
"pep-primary-rag2-p3-lower-fi-031","P3","lower","fill-in","Core","除数是一位数的除法","solver-gap","manual-required","726","726","","","","not-run","solver:no deterministic solver matched this free-form item","在算式 □÷7=103……5 中，□表示的数是______。"
"pep-primary-rag2-p3-lower-fi-032","P3","lower","fill-in","Core","面积","solver-gap","manual-required","81","81","","","","not-run","solver:no deterministic solver matched this free-form item","一个正方形花坛的周长是36米，它的面积是______平方米。"
"pep-primary-rag2-p3-lower-fi-033","P3","lower","fill-in","Core","期末综合","solver-gap","manual-required","15","15","","","","not-run","solver:no deterministic solver matched this free-form item","王阿姨买了3袋大米，每袋25千克。她把这些大米平均分装到5个小袋里，每个小袋装______千克。"
"pep-primary-rag2-p3-lower-fi-034","P3","lower","fill-in","Core","口算乘法","solver-gap","manual-required","384","384 | 384个","","","","not-run","solver:no deterministic solver matched this free-form item","一箱苹果有24个，超市运来16箱。超市一共运来多少个苹果？"
"pep-primary-rag2-p3-lower-fi-035","P3","lower","fill-in","Core","小数的初步认识","solver-gap","manual-required","1.2","1.2 | 1.20","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔的价格是1元2角，用小数表示是______元。"
"pep-primary-rag2-p3-lower-fi-036","P3","lower","fill-in","Core","除数是一位数的除法","pass","none","21","21 | 21本","21","exact-division-story","division","pass","solver:exact-division-story","把84本练习本平均分给4个班，每个班分到______本。"
"pep-primary-rag2-p3-lower-fi-037","P3","lower","fill-in","Core","长方形、正方形面积","pass","none","49","49 | 49平方厘米","49","square-area","area","pass","solver:square-area","一个正方形的边长是7厘米，它的面积是______平方厘米。"
"pep-primary-rag2-p3-lower-fi-038","P3","lower","fill-in","Core","提优拓展","solver-gap","manual-required","32,8","32,8 | 32厘米,8厘米 | 32 8","","","","not-run","solver:no deterministic solver matched this free-form item","用一根铁丝围成一个长10厘米、宽6厘米的长方形，这根铁丝长______厘米。如果把这根铁丝改围成一个正方形，这个正方形的边长是______厘米。"
"pep-primary-rag2-p3-lower-mc-001","P3","lower","multiple-choice","Foundation","口算乘法","pass","none","1500","1500","1500","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 48 × 29 的结果，下面哪个最接近？"
"pep-primary-rag2-p3-lower-mc-002","P3","lower","multiple-choice","Foundation","期中综合","solver-gap","manual-required","24×38","24×38","","","","not-run","solver:no deterministic solver matched this free-form item","学校买了24个足球，每个足球38元。一共花了多少钱？正确的算式是（ ）。"
"pep-primary-rag2-p3-lower-mc-003","P3","lower","multiple-choice","Foundation","长方形、正方形面积","pass","none","16","16","16","square-area","area","pass","solver:square-area","一个正方形的边长是4厘米，它的面积是多少平方厘米？"
"pep-primary-rag2-p3-lower-mc-004","P3","lower","multiple-choice","Foundation","位置与方向（一）","solver-gap","manual-required","南","南","","","","not-run","solver:no deterministic solver matched this free-form item","小华站在操场中央，面向东方。她先向左转，再向后转，这时她面向哪个方向？"
"pep-primary-rag2-p3-lower-mc-005","P3","lower","multiple-choice","Foundation","年、月、日","solver-gap","manual-required","29天","29天","","","","not-run","solver:no deterministic solver matched this free-form item","2024年2月有多少天？"
"pep-primary-rag2-p3-lower-mc-006","P3","lower","multiple-choice","Foundation","口算乘法","pass","none","800","800","800","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算21×39的结果，下面哪个最接近？"
"pep-primary-rag2-p3-lower-mc-007","P3","lower","multiple-choice","Foundation","提优拓展","solver-gap","manual-required","7:50","7:50","","","","not-run","solver:no deterministic solver matched this free-form item","小明从家到学校要走15分钟，他每天早晨7:30从家出发，7:45到达学校。今天他晚出发了5分钟，如果还是走同样的速度，他会在什么时间到达学校？"
"pep-primary-rag2-p3-lower-mc-008","P3","lower","multiple-choice","Foundation","长方形、正方形面积","pass","none","40平方米","40平方米","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形花坛，长8米，宽5米。它的面积是多少平方米？"
"pep-primary-rag2-p3-lower-mc-009","P3","lower","multiple-choice","Foundation","除数是一位数的除法","solver-gap","manual-required","十位","十位","","","","not-run","solver:no deterministic solver matched this free-form item","在算式 256 ÷ 4 中，商的最高位是（ ）。"
"pep-primary-rag2-p3-lower-mc-010","P3","lower","multiple-choice","Foundation","年、月、日","solver-gap","manual-required","29","29","","","","not-run","solver:no deterministic solver matched this free-form item","2024年2月有（ ）天。"
"pep-primary-rag2-p3-lower-mc-011","P3","lower","multiple-choice","Foundation","口算乘法","pass","none","800","800","800","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 38 × 21 的结果，下面哪个选项最接近？"
"pep-primary-rag2-p3-lower-mc-012","P3","lower","multiple-choice","Foundation","解决问题","solver-gap","manual-required","48 本","48 本","","","","not-run","solver:no deterministic solver matched this free-form item","学校买来 12 包练习本，每包 24 本。把这些练习本平均分给 6 个年级，每个年级分得多少本？"
"pep-primary-rag2-p3-lower-mc-013","P3","lower","multiple-choice","Foundation","长方形、正方形面积","solver-gap","manual-required","长 4 厘米、宽 3 厘米的长方形","长 4 厘米、宽 3 厘米的长方形","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形的面积是 12 平方厘米？（每个小方格代表 1 平方厘米）"
"pep-primary-rag2-p3-lower-mc-014","P3","lower","multiple-choice","Foundation","位置与方向（一）","solver-gap","manual-required","西北方","西北方","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在学校操场的中心，面向北方。他先向左转90度，然后向前走20米，再向右转90度，向前走15米。现在他在起点的哪个方向？"
"pep-primary-rag2-p3-lower-mc-015","P3","lower","multiple-choice","Core","年、月、日","solver-gap","manual-required","2028年","2028年","","","","not-run","solver:no deterministic solver matched this free-form item","2024年2月有29天。下面哪个年份的2月也有29天？"
"pep-primary-rag2-p3-lower-mc-016","P3","lower","multiple-choice","Foundation","口算乘法","pass","none","800","800","800","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 21×39 的结果，下面哪个选项最接近精确值？"
"pep-primary-rag2-p3-lower-mc-017","P3","lower","multiple-choice","Core","期末综合","solver-gap","manual-required","20-(3×2+2×5)","20-(3×2+2×5)","","","","not-run","solver:no deterministic solver matched this free-form item","小红买3支铅笔和2本练习本，每支铅笔2元，每本练习本5元。她付了20元，应找回多少元？正确的列式是（ ）。"
"pep-primary-rag2-p3-lower-mc-018","P3","lower","multiple-choice","Foundation","长方形、正方形面积","pass","none","40平方米","40平方米","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形花坛的长是8米，宽是5米。它的面积是多少？"
"pep-primary-rag2-p3-lower-mc-019","P3","lower","multiple-choice","Core","除数是一位数的除法","solver-gap","manual-required","百位","百位","","","","not-run","solver:no deterministic solver matched this free-form item","计算684÷6时，商的最高位是（ ）。"
"pep-primary-rag2-p3-lower-mc-020","P3","lower","multiple-choice","Foundation","年、月、日","solver-gap","manual-required","是闰年","是闰年","","","","not-run","solver:no deterministic solver matched this free-form item","2024年是闰年吗？"
"pep-primary-rag2-p3-lower-mc-021","P3","lower","multiple-choice","Core","口算乘法","pass","none","1200","1200","1200","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 42 × 29 的结果，最接近下面哪个数？"
"pep-primary-rag2-p3-lower-mc-022","P3","lower","multiple-choice","Foundation","期中综合","solver-gap","manual-required","6×4×25","6×4×25","","","","not-run","solver:no deterministic solver matched this free-form item","学校图书室有6个书架，每个书架有4层，每层放25本书。一共能放多少本书？正确的算式是（ ）。"
"pep-primary-rag2-p3-lower-mc-023","P3","lower","multiple-choice","Core","长方形、正方形面积","solver-gap","manual-required","16平方厘米","16平方厘米","16","square-area","area","pass","solver:square-area","一个正方形的边长是4厘米，它的面积是（ ）。"
"pep-primary-rag2-p3-lower-mc-024","P3","lower","multiple-choice","Foundation","位置与方向（一）","solver-gap","manual-required","西","西","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在学校操场中央，面向北方。他先向右转90度，然后向后转180度。请问他现在面向哪个方向？"
"pep-primary-rag2-p3-lower-mc-025","P3","lower","multiple-choice","Core","年、月、日","solver-gap","manual-required","29天","29天","","","","not-run","solver:no deterministic solver matched this free-form item","2024年2月有多少天？"
"pep-primary-rag2-p3-lower-mc-026","P3","lower","multiple-choice","Foundation","口算乘法","pass","none","400","400","400","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 21×18 的结果，下面哪个最接近？"
"pep-primary-rag2-p3-lower-mc-027","P3","lower","multiple-choice","Foundation","小数的初步认识","solver-gap","manual-required","3.05","3.05","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个小数读作“三点零五”？"
"pep-primary-rag2-p3-lower-mc-028","P3","lower","multiple-choice","Foundation","位置与方向（一）","solver-gap","manual-required","东南","东南","","","","not-run","solver:no deterministic solver matched this free-form item","小雅站在操场中心，面向东。她先向右转，然后向前走20米，再向左转，向前走15米。现在她在操场的什么方向？"
"pep-primary-rag2-p3-lower-mc-029","P3","lower","multiple-choice","Foundation","长方形、正方形面积","pass","none","40","40","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形长8厘米、宽5厘米，它的面积是多少平方厘米？"
"pep-primary-rag2-p3-lower-mc-030","P3","lower","multiple-choice","Foundation","期中综合","solver-gap","manual-required","6 × 12 ÷ 4","6 × 12 ÷ 4","1.5","exact-division-story","division","fail","solver:exact-division-story || explanation:computed result not found or contradiction pattern present","学校买来6盒水彩笔，每盒12支，平均分给4个班，每个班分到多少支？正确的算式是（ ）。"
"pep-primary-rag2-p3-lower-mc-031","P3","lower","multiple-choice","Foundation","笔算乘法","pass","none","1500","1500","1500","rounded-multiplication-estimate","estimation","pass","solver:rounded-multiplication-estimate","估算 32 × 49 的结果，下面哪个最接近？"
"pep-primary-rag2-p3-lower-mc-032","P3","lower","multiple-choice","Foundation","年、月、日","solver-gap","manual-required","29","29","","","","not-run","solver:no deterministic solver matched this free-form item","2024年2月有多少天？"
"pep-primary-rag2-p3-lower-mc-033","P3","lower","multiple-choice","Foundation","位置与方向（一）","solver-gap","manual-required","西","西","","","","not-run","solver:no deterministic solver matched this free-form item","小明站在操场中央，面向北方。他先向右转，然后向后转。现在他面向哪个方向？"
"pep-primary-rag2-p3-lower-mc-034","P3","lower","multiple-choice","Foundation","周长与面积辨析","pass","none","40平方米","40平方米","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形花坛长8米，宽5米。它的面积是多少平方米？"
"pep-primary-rag2-p3-lower-mc-035","P3","lower","multiple-choice","Core","解决问题","solver-gap","manual-required","4×6×2","4×6×2","","","","not-run","solver:no deterministic solver matched this free-form item","学校买来4盒乒乓球，每盒有6个，每个乒乓球2元。一共花了多少钱？正确的算式是（ ）。"
"pep-primary-rag2-p3-lower-mc-036","P3","lower","multiple-choice","Core","两位数乘两位数","solver-gap","manual-required","736","736","","","","not-run","solver:no deterministic solver matched this free-form item","在计算23×32时，下面哪个是正确的结果？"
"pep-primary-rag2-p3-lower-mc-037","P3","lower","multiple-choice","Core","复式统计表","solver-gap","manual-required","27人","27人","","","","not-run","solver:no deterministic solver matched this free-form item","下面是三年级两个班学生参加兴趣小组的情况统计表。\n\n| 组别 | 三（1）班 | 三（2）班 |\n|------|----------|----------|\n| 美术 | 12人     | 15人     |\n| 音乐 | 18人     | 14人     |\n\n两个班参加美术小组的共有多少人？"
"pep-primary-rag2-p3-lower-sa-001","P3","lower","short-answer","Challenge","周长与面积辨析","solver-gap","manual-required","篱笆长26米，可以种160棵花。","篱笆长26米，可以种160棵花。 | 26米，160棵","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方形花坛，长8米，宽5米。如果在花坛四周围上篱笆，篱笆长多少米？如果每平方米种4棵花，一共可以种多少棵花？"
"pep-primary-rag2-p3-lower-sa-002","P3","lower","short-answer","Challenge","除数是一位数的除法","pass","none","每个班级分到64本，每个小组分到8本。","每个班级分到64本，每个小组分到8本。 | 64本，8本","64","exact-division-story","division","pass","solver:exact-division-story","有256本书，平均分给4个班级，每个班级分到多少本？如果每个班级再平均分给8个小组，每个小组分到多少本？"
"pep-primary-rag2-p3-lower-sa-003","P3","lower","short-answer","Challenge","复式统计表","solver-gap","manual-required","三(1)班多，多2人；两个班体育组总人数是24人。","三(1)班多，多2人；两个班体育组总人数是24人。 | 三(1)班，2人，24人","","","","not-run","solver:no deterministic solver matched this free-form item","下面是三年级两个班参加兴趣小组的人数统计表（单位：人）。\n\n| 班级 | 美术组 | 音乐组 | 体育组 |\n|------|--------|--------|--------|\n| 三(1)班 | 12 | 8 | 15 |\n| 三(2)班 | 10 | 14 | 9 |\n\n哪个班参加美术组的人数多？多几人？两个班参加体育组的总人数是多少？"
"pep-primary-rag2-p3-lower-sa-004","P3","lower","short-answer","Challenge","笔算乘法","solver-gap","manual-required","能运完。24×15=360（千克），360<400，所以一次能运完。","能运完。24×15=360（千克），360<400，所以一次能运完。 | 能。360<400","","","","not-run","solver:no deterministic solver matched this free-form item","果园采摘了24筐苹果，每筐重15千克。如果用载重400千克的小货车来运，一次能运完吗？请计算并说明理由。"
