"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-p2-lower-039","P2","lower","multiple-choice","Foundation","数据收集整理","solver-gap","manual-required","香蕉","香蕉","","","","not-run","solver:no deterministic solver matched this free-form item","下面是二（1）班同学最喜欢的水果情况：苹果8人，香蕉12人，西瓜6人，葡萄4人。最喜欢哪种水果的人数最多？"
"pep-primary-p2-lower-040","P2","lower","fill-in","Core","期末综合","solver-gap","manual-required","6个","6个 | 6","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈买了30个鸡蛋，每天吃4个，吃了6天后，还剩几个鸡蛋？"
"pep-primary-p2-lower-041","P2","lower","multiple-choice","Foundation","表内除法（二）","pass","none","24 ÷ 6 = 4（本）","24 ÷ 6 = 4（本）","4","exact-division-story","division","pass","solver:exact-division-story","李老师把24本故事书平均分给6个小组，每个小组分到几本？下面哪个算式是正确的？"
"pep-primary-p2-lower-042","P2","lower","fill-in","Core","思维拓展","pass","none","3,2","3,2 | 3个,2个 | 3 2 | 3、2","3, 2","division-with-remainder","arithmetic-application","pass","solver:division-with-remainder","有17个苹果，每个盘子放5个，可以放满几个盘子？还剩几个苹果？请填写：可以放满____个盘子，还剩____个苹果。"
"pep-primary-p2-lower-043","P2","lower","multiple-choice","Foundation","万以内数的认识","solver-gap","manual-required","3005","3005","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个数读作“三千零五”？"
"pep-primary-p2-lower-044","P2","lower","fill-in","Core","时、分、秒","solver-gap","manual-required","7,55","7,55 | 7时55分 | 7 55 | 7:55","","","","not-run","solver:no deterministic solver matched this free-form item","小明从家走到学校用了15分钟，他7:40从家出发，到学校的时间是____时____分。"
"pep-primary-p2-lower-045","P2","lower","multiple-choice","Foundation","解决问题","pass","none","(18 - 6) ÷ 3","(18 - 6) ÷ 3","(18 - 6) ÷ 3","multi-step-expression-option","arithmetic-application","pass","solver:multi-step-expression-option","小芳有18颗糖，她吃了6颗，剩下的糖平均分给3个好朋友，每个好朋友分到几颗？正确的算式是？"
"pep-primary-p2-lower-046","P2","lower","fill-in","Core","表内除法（一）","pass","none","6","6 | 6个","6","exact-division-story","division","pass","solver:exact-division-story","把30个气球平均分给5个小朋友，每个小朋友分到____个气球。"
"pep-primary-p2-lower-047","P2","lower","multiple-choice","Foundation","竖式计算","solver-gap","manual-required","6","6","","","","not-run","solver:no deterministic solver matched this free-form item","在算式□ ÷ 7 = 4……△中，△最大是几？"
"pep-primary-p2-lower-048","P2","lower","fill-in","Core","近似数","solver-gap","manual-required","400,5000","400,5000 | 400 5000 | 四百,五千","","","","not-run","solver:no deterministic solver matched this free-form item","写出下面各数约等于几百或几千。389≈____，5021≈____。"
"pep-primary-p2-lower-049","P2","lower","multiple-choice","Foundation","克和千克","solver-gap","manual-required","4000 - 800 = 3200（克）","4000 - 800 = 3200（克）","","","","not-run","solver:no deterministic solver matched this free-form item","一个西瓜重4千克，一个菠萝重800克，西瓜比菠萝重多少？正确的列式是？"
"pep-primary-p2-lower-050","P2","lower","multiple-choice","Foundation","分层练习","solver-gap","manual-required","15 - 12 = 3（人）","15 - 12 = 3（人）","","","","not-run","solver:no deterministic solver matched this free-form item","二（1）班同学参加兴趣小组情况如下：绘画组12人，舞蹈组8人，科技组15人。绘画组比科技组少几人？正确的算式是？"
"pep-primary-p2-upper-001","P2","upper","multiple-choice","Foundation","表内乘法（一）","solver-gap","manual-required","3 × 6 = 18（支）","3 × 6 = 18（支）","","","","not-run","solver:no deterministic solver matched this free-form item","小美有3盒彩笔，每盒有6支。她一共有多少支彩笔？下面哪个算式正确？"
"pep-primary-p2-upper-002","P2","upper","fill-in","Core","厘米和米","pass","none","厘米","厘米","厘米","common-measurement-unit-sense","measurement","pass","solver:common-measurement-unit-sense","一支铅笔大约长18____。在横线上填上合适的单位（厘米或米）。"
"pep-primary-p2-upper-003","P2","upper","short-answer","Challenge","角的初步认识","solver-gap","manual-required","4个角","4个角 | 4 | 四个角","","","","not-run","solver:no deterministic solver matched this free-form item","一个三角形有3个角。现在用一条直线连接其中一个角两边上的两个点，剪去这个小角，剩下的图形有几个角？画一画或写一写你的想法。"
"pep-primary-p2-upper-004","P2","upper","multiple-choice","Exam","期中综合","solver-gap","manual-required","课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。","课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪种说法是正确的？"
"pep-primary-p2-upper-005","P2","upper","fill-in","Foundation","情境应用","solver-gap","manual-required","对","对 | 正确 | 是的","","","","not-run","solver:no deterministic solver matched this free-form item","小明说：“5+5+5+3 可以写成 5×3+3。”你认为他说得对吗？在横线上填“对”或“错”，并说明理由。"
"pep-primary-p2-upper-006","P2","upper","short-answer","Core","乘法的初步认识","solver-gap","manual-required","4+4+4=12（个）或 3×4=12（个）","4+4+4=12（个）或 3×4=12（个） | 4+4+4=12，3×4=12 | 4+4+4=12个，3×4=12个","","","","not-run","solver:no deterministic solver matched this free-form item","看图写算式：每盘有4个苹果，有3盘。用两种方法写出一共有多少个苹果。"
"pep-primary-p2-upper-007","P2","upper","multiple-choice","Challenge","长度单位","solver-gap","manual-required","从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。","从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪种测量长度的方法是正确的？"
"pep-primary-p2-upper-008","P2","upper","fill-in","Foundation","观察物体","solver-gap","manual-required","1，2","1，2 | 一个顶点，两条边 | 1个顶点，2条边","","","","not-run","solver:no deterministic solver matched this free-form item","一个角有____个顶点，____条边。"
"pep-primary-p2-upper-009","P2","upper","short-answer","Core","素养达标","solver-gap","manual-required","12厘米","12厘米 | 12","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子对折两次后，每段长3厘米。这根绳子原来长多少厘米？写出你的思考过程。"
"pep-primary-p2-upper-010","P2","upper","multiple-choice","Challenge","易错提优","solver-gap","manual-required","错，2×3表示2个3相加，2+3表示2和3相加，结果不同。","错，2×3表示2个3相加，2+3表示2和3相加，结果不同。","","","","not-run","solver:no deterministic solver matched this free-form item","小华说：“因为2×3=6，所以2+3也等于6。”他的说法对吗？下面哪个选项正确？"
"pep-primary-p2-upper-011","P2","upper","fill-in","Foundation","表内乘法（二）","solver-gap","manual-required","3 × 4 = 12","3 × 4 = 12 | 4 × 3 = 12","","","","not-run","solver:no deterministic solver matched this free-form item","看图填空：每盘有 4 个苹果，有 3 盘。一共有多少个苹果？加法算式：4 + 4 + 4 = 12，乘法算式：___ × ___ = ___，口诀：三四十二。"
"pep-primary-p2-upper-012","P2","upper","short-answer","Core","厘米和米","solver-gap","manual-required","50厘米，合0米50厘米","50厘米，合0米50厘米 | 50厘米，0米50厘米 | 50厘米 0米50厘米","","","","not-run","solver:no deterministic solver matched this free-form item","小明有一根绳子，先用尺子量出 20 厘米，又量出 30 厘米。这根绳子一共长多少厘米？合多少米多少厘米？"
"pep-primary-p2-upper-013","P2","upper","multiple-choice","Challenge","角的初步认识","solver-gap","manual-required","C","C","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形中的角是直角？\nA. 一个角的两条边张开得很大，比直角大\nB. 一个角的两条边张开得比较小，比直角小\nC. 一个角的两条边垂直，像书本的角\nD. 一个角的两条边在一条直线上，没有顶点"
"pep-primary-p2-upper-014","P2","upper","fill-in","Foundation","期末综合","solver-gap","manual-required","4 × 6 = 24，口诀：四六二十四","4 × 6 = 24，口诀：四六二十四 | 6 × 4 = 24，口诀：四六二十四","","","","not-run","solver:no deterministic solver matched this free-form item","把下面的加法算式改写成乘法算式：6 + 6 + 6 + 6 = 24，乘法算式：___ × ___ = ___，口诀：___。"
"pep-primary-p2-upper-015","P2","upper","short-answer","Core","素养拓展","solver-gap","manual-required","两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。","两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。 | 都对，因为4×3和3×4结果相同。","","","","not-run","solver:no deterministic solver matched this free-form item","小华说：“因为 3 + 3 + 3 + 3 = 12，所以 4 × 3 = 12。” 小丽说：“因为 4 + 4 + 4 = 12，所以 3 × 4 = 12。” 谁说得对？为什么？"
"pep-primary-p2-upper-016","P2","upper","multiple-choice","Challenge","表内乘法（一）","pass","none","A","A","5 × 4","option-expression-largest-value","arithmetic","pass","solver:option-expression-largest-value","下面哪个算式的得数最大？\nA. 5 × 4\nB. 3 × 6\nC. 2 × 8\nD. 4 × 4"
"pep-primary-p2-upper-017","P2","upper","fill-in","Foundation","长度单位","solver-gap","manual-required","（1）米 （2）厘米 （3）米 （4）厘米","（1）米 （2）厘米 （3）米 （4）厘米 | （1）米（2）厘米（3）米（4）厘米","","","","not-run","solver:no deterministic solver matched this free-form item","在括号里填上合适的长度单位（厘米或米）。\n（1）教室的门高约 2（ ）。\n（2）一支铅笔长约 18（ ）。\n（3）一棵大树高约 8（ ）。\n（4）数学书厚约 1（ ）。"
"pep-primary-p2-upper-018","P2","upper","short-answer","Core","观察物体","solver-gap","manual-required","从前面看是正方形，从上面看是正方形，从右面看也是正方形。","从前面看是正方形，从上面看是正方形，从右面看也是正方形。 | 都是正方形。","","","","not-run","solver:no deterministic solver matched this free-form item","一个正方体盒子放在桌子上，从前面看是什么形状？从上面看呢？从右面看呢？请描述看到的形状。"
"pep-primary-p2-upper-019","P2","upper","multiple-choice","Challenge","期中综合","pass","none","C","C","70厘米","centimeter-subtraction-used-total","measurement","pass","solver:centimeter-subtraction-used-total","一根绳子长 1 米，先用去 30 厘米，又用去 40 厘米。这根绳子比原来短了多少厘米？\nA. 10 厘米\nB. 30 厘米\nC. 70 厘米\nD. 100 厘米"
"pep-primary-p2-upper-020","P2","upper","fill-in","Foundation","情境应用","pass","none","4 × 5 = 20，口诀：四五二十","4 × 5 = 20，口诀：四五二十 | 5 × 4 = 20，口诀：四五二十","20","equal-groups-multiplication","multiplication","pass","solver:equal-groups-multiplication","看图列式：每组有 5 个气球，有 4 组。一共有多少个气球？加法算式：5 + 5 + 5 + 5 = 20，乘法算式：___ × ___ = ___，口诀：___。"
"pep-primary-p2-upper-021","P2","upper","short-answer","Core","乘法的初步认识","solver-gap","manual-required","15个","15个 | 15","","","","not-run","solver:no deterministic solver matched this free-form item","每个盘子放5个苹果，放了3盘。一共放了多少个苹果？"
"pep-primary-p2-upper-022","P2","upper","multiple-choice","Foundation","厘米和米","solver-gap","manual-required","小朋友走一步的长度","小朋友走一步的长度","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个物体的长度最接近1米？"
"pep-primary-p2-upper-023","P2","upper","fill-in","Core","角的初步认识","solver-gap","manual-required","直","直 | 直角","","","","not-run","solver:no deterministic solver matched this free-form item","数学书封面有4个角，每个角都是______角。"
"pep-primary-p2-upper-024","P2","upper","short-answer","Foundation","素养达标","solver-gap","manual-required","33厘米","33厘米 | 33","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子长20厘米，另一根绳子长15厘米。两根绳子接在一起，接头处用去2厘米。接好后的绳子长多少厘米？"
"pep-primary-p2-upper-025","P2","upper","multiple-choice","Core","易错提优","solver-gap","manual-required","3 × 4","3 × 4","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个算式表示“4个3相加”？"
"pep-primary-p2-upper-026","P2","upper","fill-in","Foundation","表内乘法（二）","solver-gap","manual-required","5 × 6 = 30","5 × 6 = 30 | 6 × 5 = 30 | 5×6=30 | 6×5=30","","","","not-run","solver:no deterministic solver matched this free-form item","根据口诀“五六三十”写出一个乘法算式：______。"
"pep-primary-p2-upper-027","P2","upper","short-answer","Core","长度单位","solver-gap","manual-required","160厘米","160厘米 | 160","","","","not-run","solver:no deterministic solver matched this free-form item","小明的身高是1米20厘米，爸爸比他高40厘米。爸爸的身高是多少厘米？"
"pep-primary-p2-upper-028","P2","upper","multiple-choice","Foundation","观察物体","solver-gap","manual-required","圆形","圆形","","","","not-run","solver:no deterministic solver matched this free-form item","从上面看一个圆柱形的水杯，看到的是什么形状？"
"pep-primary-p2-upper-029","P2","upper","fill-in","Core","期末综合","solver-gap","manual-required","米","米 | m","","","","not-run","solver:no deterministic solver matched this free-form item","在括号里填上合适的单位：教室的门高约2______。"
"pep-primary-p2-upper-030","P2","upper","short-answer","Foundation","素养拓展","solver-gap","manual-required","19块","19块 | 19","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈买了3盒饼干，每盒8块。吃了5块后，还剩多少块？"
"pep-primary-p2-upper-031","P2","upper","multiple-choice","Core","表内乘法（一）","solver-gap","manual-required","5 × 4","5 × 4","","","","not-run","solver:no deterministic solver matched this free-form item","教室里有5排桌子，每排有4张桌子。下面哪个算式可以正确算出桌子的总数？"
"pep-primary-p2-upper-032","P2","upper","fill-in","Foundation","厘米和米","pass","none","厘米","厘米","厘米","common-measurement-unit-sense","measurement","pass","solver:common-measurement-unit-sense","一支铅笔大约长18______。在横线上填上合适的单位（厘米或米）。"
"pep-primary-p2-upper-033","P2","upper","short-answer","Core","角的初步认识","solver-gap","manual-required","3个角，1个直角","3个角，1个直角 | 3个角，其中1个是直角","","","","not-run","solver:no deterministic solver matched this free-form item","一个三角尺上有几个角？其中几个是直角？请写出你的答案并简单说明。"
"pep-primary-p2-upper-034","P2","upper","multiple-choice","Foundation","期中综合","solver-gap","manual-required","3厘米","3厘米","","","","not-run","solver:no deterministic solver matched this free-form item","小明用尺子量一支铅笔，从刻度0开始，量到刻度12厘米。他又量了一块橡皮，从刻度2开始，量到刻度5厘米。橡皮长多少厘米？"
"pep-primary-p2-upper-035","P2","upper","fill-in","Core","情境应用","solver-gap","manual-required","错","错","","","","not-run","solver:no deterministic solver matched this free-form item","小丽说：“3×4和4×3的结果一样，所以它们的意思也完全一样。”你认为她说得对吗？在横线上写“对”或“错”，并简单说明理由。"
"pep-primary-p2-upper-036","P2","upper","short-answer","Foundation","乘法的初步认识","pass","none","加法：3+3+3+3=12，乘法：3×4=12","加法：3+3+3+3=12，乘法：3×4=12 | 3+3+3+3=12，3×4=12","12","equal-groups-multiplication","multiplication","pass","solver:equal-groups-multiplication","看图写算式：每组有3个气球，有4组。用加法算式和乘法算式分别表示气球的总数。"
"pep-primary-p2-upper-037","P2","upper","multiple-choice","Core","长度单位","solver-gap","manual-required","小朋友走一步的长","小朋友走一步的长","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个物体的长度最接近1米？"
"pep-primary-p2-upper-038","P2","upper","fill-in","Foundation","观察物体","solver-gap","manual-required","长方形","长方形","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方体盒子，从前面看是一个长方形，从上面看也是一个长方形。从右面看是什么形状？在横线上填写形状名称。"
"pep-primary-p2-upper-039","P2","upper","multiple-choice","Core","素养达标","solver-gap","manual-required","每盒有6支彩笔，买了4盒，一共有多少支？","每盒有6支彩笔，买了4盒，一共有多少支？","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪种情况用乘法计算更合适？"
"pep-primary-p2-upper-040","P2","upper","fill-in","Foundation","易错提优","solver-gap","manual-required","错误","错误 | 错 | 不正确","","","","not-run","solver:no deterministic solver matched this free-form item","计算5×3时，小明说：“5×3就是5+3。”这个想法是正确还是错误？请填写“正确”或“错误”。"
"pep-primary-p2-upper-041","P2","upper","multiple-choice","Core","表内乘法（二）","solver-gap","manual-required","3 × 6 = 18","3 × 6 = 18","","","","not-run","solver:no deterministic solver matched this free-form item","小美有3盒铅笔，每盒有6支。她一共有多少支铅笔？下面哪个算式是正确的？"
"pep-primary-p2-upper-042","P2","upper","fill-in","Foundation","厘米和米","solver-gap","manual-required","米, 厘米","米, 厘米 | m, cm","","","","not-run","solver:no deterministic solver matched this free-form item","在括号里填上合适的长度单位（厘米或米）。\n教室的门高大约2（    ）。\n一支新铅笔长约18（    ）。"
"pep-primary-p2-upper-043","P2","upper","multiple-choice","Core","角的初步认识","solver-gap","manual-required","一个角，两条边正好和三角尺上的直角一样大。","一个角，两条边正好和三角尺上的直角一样大。","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个图形中的角是直角？"
"pep-primary-p2-upper-044","P2","upper","fill-in","Foundation","期末综合","solver-gap","manual-required","5, 4, 20","5, 4, 20 | 5 4 20","","","","not-run","solver:no deterministic solver matched this free-form item","看图填空：\n每盘有（    ）个苹果，有（    ）盘，一共有（    ）个苹果。\n（提示：你可以这样想：每盘5个苹果，摆了4盘。）"
"pep-primary-p2-upper-045","P2","upper","multiple-choice","Core","素养拓展","solver-gap","manual-required","一句乘法口诀只能写出一道乘法算式。","一句乘法口诀只能写出一道乘法算式。","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个说法是错误的？"
"pep-primary-p2-upper-046","P2","upper","fill-in","Foundation","表内乘法（一）","solver-gap","manual-required","7, 5","7, 5 | 7 5","","","","not-run","solver:no deterministic solver matched this free-form item","把下面的加法算式改写成乘法算式。\n7+7+7+7+7=（    ）×（    ）"
"pep-primary-p2-upper-047","P2","upper","multiple-choice","Core","长度单位","solver-gap","manual-required","小朋友一步的长度","小朋友一步的长度","","","","not-run","solver:no deterministic solver matched this free-form item","一根绳子长1米，下面哪个物品的长度和它最接近？"
"pep-primary-p2-upper-048","P2","upper","fill-in","Foundation","观察物体","solver-gap","manual-required","正方形","正方形","","","","not-run","solver:no deterministic solver matched this free-form item","站在一个正方体形状的盒子前面，从正面看，看到的是什么形状？"
"pep-primary-p2-upper-049","P2","upper","multiple-choice","Foundation","期中综合","solver-gap","manual-required","每盒有4块橡皮，6盒一共有多少块橡皮？","每盒有4块橡皮，6盒一共有多少块橡皮？","","","","not-run","solver:no deterministic solver matched this free-form item","下面哪个问题可以用“4×6”来解决？"
"pep-primary-p2-upper-050","P2","upper","multiple-choice","Foundation","情境应用","solver-gap","manual-required","不对，2×3表示2个3相加，是3+3=6；2+3是2和3合起来，是5。","不对，2×3表示2个3相加，是3+3=6；2+3是2和3合起来，是5。","","","","not-run","solver:no deterministic solver matched this free-form item","小杰说：“因为2×3=6，所以2+3也等于6。”你认为他说的对吗？"
"pep-primary-p3-lower-001","P3","lower","multiple-choice","Core","位置与方向（一）","pass","none","北","北","北","direction-turning","geometry-direction","pass","solver:direction-turning","小华站在操场中央，面向东方。他先向右转90度，然后向后转。请问他现在面向哪个方向？"
"pep-primary-p3-lower-002","P3","lower","fill-in","Foundation","口算乘法","pass","none","690","690","690","labeled-arithmetic-expression","arithmetic","pass","solver:labeled-arithmetic-expression","口算：23 × 30 = ______"
"pep-primary-p3-lower-003","P3","lower","short-answer","Challenge","周长与面积辨析","pass","none","周长26米，面积40平方米","周长26米，面积40平方米 | 周长26米 面积40平方米 | 周长26米、面积40平方米","26, 40","rectangle-perimeter-and-area","geometry","pass","solver:rectangle-perimeter-and-area","一个长方形花坛的长是8米，宽是5米。这个花坛的周长是多少米？面积是多少平方米？"
"pep-primary-p3-lower-004","P3","lower","multiple-choice","Exam","小数的初步认识","solver-gap","manual-required","3.5","3.5","","","","not-run","solver:no deterministic solver matched this free-form item","小明买文具花了3元5角，写成小数是（ ）元。"
"pep-primary-p3-lower-005","P3","lower","fill-in","Core","期中综合","pass","none","670","670","670","multiple-minus-comparison","multiplication-application","pass","solver:multiple-minus-comparison","学校图书馆有故事书240本，科技书比故事书的3倍少50本。科技书有多少本？"
"pep-primary-p3-lower-006","P3","lower","short-answer","Foundation","除数是一位数的除法","pass","none","64","64","64","labeled-arithmetic-expression","arithmetic","pass","solver:labeled-arithmetic-expression","计算并验算：256 ÷ 4 = ______"
"pep-primary-p3-lower-007","P3","lower","multiple-choice","Challenge","两位数乘两位数","pass","none","52 × 29","52 × 29","52 × 29","option-expression-closest-value","estimation","pass","solver:option-expression-closest-value","下面哪个算式的积最接近1500？"
"pep-primary-p3-lower-008","P3","lower","fill-in","Exam","长方形、正方形面积","pass","none","6","6","6","square-side-from-area","area","pass","solver:square-side-from-area","一个正方形的面积是36平方厘米，它的边长是______厘米。"
"pep-primary-p3-lower-009","P3","lower","short-answer","Core","复式统计表","solver-gap","manual-required","9","9","","","","not-run","solver:no deterministic solver matched this free-form item","下面是三年级两个班参加兴趣小组的人数统计表：\n\n| 兴趣小组 | 三（1）班 | 三（2）班 |\n|----------|-----------|-----------|\n| 绘画     | 15        | 12        |\n| 书法     | 8         | 10        |\n| 舞蹈     | 10        | 9         |\n\n两个班参加绘画小组的总人数比参加书法小组的总人数多多少人？"
"pep-primary-p3-lower-010","P3","lower","multiple-choice","Foundation","期末综合","pass","none","36","36","36","square-area-from-wire-perimeter","area","pass","solver:square-area-from-wire-perimeter","用一根长24厘米的铁丝围成一个正方形，这个正方形的面积是多少平方厘米？"
"pep-primary-p3-lower-011","P3","lower","fill-in","Challenge","位置与方向（一）","solver-gap","manual-required","北","北","","","","not-run","solver:no deterministic solver matched this free-form item","小华站在学校操场的中央，面向东。她先向左转90度，然后向前走20步，再向右转90度，向前走15步。请问现在小华在操场的哪个方向？请填写方向名称。"
"pep-primary-p3-lower-012","P3","lower","short-answer","Exam","笔算乘法","solver-gap","manual-required","448本","448本 | 448","","","","not-run","solver:no deterministic solver matched this free-form item","学校图书馆有12个书架，每个书架有4层，每层可以放28本书。图书馆已经放了896本书，请问还能放多少本书？请写出计算过程并回答。"
"pep-primary-p3-lower-013","P3","lower","multiple-choice","Core","面积","solver-gap","manual-required","A. 面积是40平方厘米，周长是26厘米","A. 面积是40平方厘米，周长是26厘米 | A","","","","not-run","solver:no deterministic solver matched this free-form item","一个长方形的长是8厘米，宽是5厘米。下列说法正确的是（ ）。"
"pep-primary-p3-lower-014","P3","lower","fill-in","Foundation","年、月、日","solver-gap","manual-required","2天","2天 | 2","","","","not-run","solver:no deterministic solver matched this free-form item","2024年是闰年，2月有29天。小明的生日是2月28日，小红的生日是3月2日。请问从小明生日到小红生日，中间经过了多少天？（不包括小明生日当天，包括小红生日当天）"
"pep-primary-p3-lower-015","P3","lower","short-answer","Challenge","解决问题","pass","none","正方形面积81平方厘米，长方形宽8厘米","正方形面积81平方厘米，长方形宽8厘米 | 81平方厘米，8厘米","81","square-area-from-wire-perimeter","area","pass","solver:square-area-from-wire-perimeter","李老师用一根长36厘米的铁丝围成一个正方形，这个正方形的面积是多少平方厘米？如果把这根铁丝改围成一个长是10厘米的长方形，这个长方形的宽是多少厘米？请分别回答。"
"pep-primary-p3-lower-016","P3","lower","multiple-choice","Core","除数是一位数的除法","solver-gap","manual-required","B. 141","B. 141 | B","","","","not-run","solver:no deterministic solver matched this free-form item","算式 846÷6 的商是（ ）。"
"pep-primary-p3-lower-017","P3","lower","fill-in","Foundation","口算乘法","solver-gap","manual-required","69, 1, 690","69, 1, 690 | 69,1,690 | 69 1 690","","","","not-run","solver:no deterministic solver matched this free-form item","口算 23×30 时，可以先算 23×3=（ ），再在积的末尾添上（ ）个0，结果是（ ）。"
"pep-primary-p3-lower-018","P3","lower","short-answer","Challenge","周长与面积辨析","pass","none","3种拼法：长12宽1周长26厘米；长6宽2周长16厘米；长4宽3周长14厘米。周长最短的是长4宽3。","3种拼法：长12宽1周长26厘米；长6宽2周长16厘米；长4宽3周长14厘米。周长最短的是长4宽3。 | 3种，长12宽1周长26，长6宽2周长16，长4宽3周长14，最短长4宽3","4","square-perimeter","perimeter","pass","solver:square-perimeter","用12个边长1厘米的小正方形拼成一个大长方形，有几种不同的拼法？请写出所有拼法的长和宽，并计算每种拼法的周长。哪种拼法的周长最短？"
"pep-primary-p3-lower-019","P3","lower","multiple-choice","Core","小数的初步认识","solver-gap","manual-required","A. 0.58","A. 0.58 | A","","","","not-run","solver:no deterministic solver matched this free-form item","下面小数中，读作“零点五八”的是（ ）。"
"pep-primary-p3-lower-020","P3","lower","fill-in","Foundation","提优拓展","solver-gap","manual-required","平方分米","平方分米 | dm²","","","","not-run","solver:no deterministic solver matched this free-form item","在括号里填上合适的单位：一张课桌桌面的面积大约是24（ ）。"
"pep-primary-p3-lower-021","P3","lower","short-answer","Challenge","位置与方向（一）","solver-gap","manual-required","西方","西方 | 西","","","","not-run","solver:no deterministic solver matched this free-form item","小华站在学校操场的中心。他面向东方。然后他向左转两次，再向后转一次。请问他现在面向哪个方向？请写出方向名称，并说明你是如何推理的。"
"pep-primary-p3-lower-022","P3","lower","multiple-choice","Core","两位数乘两位数","solver-gap","manual-required","24 × 10 + 24 × 8","24 × 10 + 24 × 8","","","","not-run","solver:no deterministic solver matched this free-form item","学校图书馆新购进一批图书，每包有24本，共买了18包。下列哪个算式能正确计算出图书的总本数？"
"pep-primary-p3-lower-023","P3","lower","fill-in","Foundation","长方形、正方形面积","pass","none","40, 26","40, 26 | 40 26 | 40平方米, 26米","40","rectangle-area","area","pass","solver:rectangle-area","一个长方形花坛，长8米，宽5米。它的面积是______平方米。如果在花坛四周围上篱笆，篱笆长______米。"
"pep-primary-p3-lower-024","P3","lower","short-answer","Challenge","复式统计表","solver-gap","manual-required","6, 22","6, 22 | 6 22 | 6人, 22人","","","","not-run","solver:no deterministic solver matched this free-form item","下面是三年级两个班学生喜欢的运动项目统计表：\n\n| 班级 | 足球 | 篮球 | 乒乓球 | 跳绳 |\n|------|------|------|--------|------|\n| 三(1)班 | 12 | 8 | 15 | 10 |\n| 三(2)班 | 10 | 14 | 9 | 11 |\n\n请问：三(1)班喜欢乒乓球的人数比三(2)班多几人？两个班喜欢篮球的总人数是多少？"
"pep-primary-p3-lower-025","P3","lower","multiple-choice","Core","期中综合","solver-gap","manual-required","大长方形的面积是36平方厘米，周长不固定。","大长方形的面积是36平方厘米，周长不固定。","","","","not-run","solver:no deterministic solver matched this free-form item","小明用36个边长1厘米的小正方形拼成一个大长方形。下面哪个说法是正确的？"
"pep-primary-p3-lower-026","P3","lower","fill-in","Foundation","除数是一位数的除法","solver-gap","manual-required","5, 77","5, 77 | 5 77","","","","not-run","solver:no deterministic solver matched this free-form item","在算式 □÷6=12……△ 中，△最大是______，此时□是______。"
"pep-primary-p3-lower-027","P3","lower","short-answer","Core","笔算乘法","solver-gap","manual-required","估算：约300个；精确：360个","估算：约300个；精确：360个 | 约300, 360 | 300, 360","","","","not-run","solver:no deterministic solver matched this free-form item","一箱橙子有24个，幼儿园买了15箱。先估算大约有多少个橙子，再精确计算。写出估算和精确计算的过程。"
"pep-primary-p3-lower-028","P3","lower","multiple-choice","Foundation","面积","pass","none","甲","甲","甲","labeled-area-comparison","area","pass","solver:labeled-area-comparison","下面哪个图形的面积最大？\n甲：边长为4厘米的正方形\n乙：长为5厘米、宽为3厘米的长方形\n丙：长为6厘米、宽为2厘米的长方形\n丁：边长为3厘米的正方形"
"pep-primary-p3-lower-029","P3","lower","fill-in","Core","年、月、日","solver-gap","manual-required","29, 366","29, 366 | 29 366","","","","not-run","solver:no deterministic solver matched this free-form item","2024年是闰年，2月有______天，全年有______天。"
"pep-primary-p3-lower-030","P3","lower","short-answer","Foundation","期末综合","solver-gap","manual-required","30.8元","30.8元 | 30.8","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈买了2.5千克苹果和1.8千克香蕉。苹果每千克8元，香蕉每千克6元。妈妈一共花了多少钱？"
"pep-primary-p3-lower-031","P3","lower","multiple-choice","Core","位置与方向（一）","solver-gap","manual-required","西","西","","","","not-run","solver:no deterministic solver matched this free-form item","小华站在学校操场中央，面向北方。他先向左转90度，再向后转180度。此时他面向什么方向？"
"pep-primary-p3-lower-032","P3","lower","fill-in","Foundation","口算乘法","pass","none","600","600","600","estimate-product-to-nearest-hundred","estimation","pass","solver:estimate-product-to-nearest-hundred","估算 32 × 19 的结果大约是多少？请填写一个整百数。"
