"questionId","reviewer","solvableFromPrompt","independentAnswer","storedAnswerMatches","explanationMatches","gradeFit","terminologyOk","sourceDistanceOk","verdict","recommendedFix"
"pep-primary-p2-upper-019","S18-deterministic-audit","yes","70厘米","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-020","S18-deterministic-audit","yes","20","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-027","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-032","S18-deterministic-audit","yes","厘米","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-035","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-036","S18-deterministic-audit","yes","12","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p2-upper-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-038","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p2-upper-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-001","S18-deterministic-audit","yes","北","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-002","S18-deterministic-audit","yes","690","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-003","S18-deterministic-audit","yes","26, 40","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-005","S18-deterministic-audit","yes","670","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-006","S18-deterministic-audit","yes","64","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-007","S18-deterministic-audit","yes","52 × 29","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-008","S18-deterministic-audit","yes","6","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-010","S18-deterministic-audit","yes","36","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-015","S18-deterministic-audit","yes","81","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-018","S18-deterministic-audit","yes","4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-023","S18-deterministic-audit","yes","40","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-027","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-028","S18-deterministic-audit","yes","甲","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-032","S18-deterministic-audit","yes","600","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-033","S18-deterministic-audit","yes","26, 160","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-035","S18-deterministic-audit","yes","960","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-036","S18-deterministic-audit","yes","64","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-038","S18-deterministic-audit","yes","49","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-040","S18-deterministic-audit","yes","81","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-046","S18-deterministic-audit","yes","28","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-047","S18-deterministic-audit","yes","800","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-048","S18-deterministic-audit","yes","36","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-lower-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-lower-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-002","S18-deterministic-audit","yes","702","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-005","S18-deterministic-audit","yes","5000米","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-008","S18-deterministic-audit","yes","28","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-018","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-027","S18-deterministic-audit","yes","7, 3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-035","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-036","S18-deterministic-audit","yes","230","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-038","S18-deterministic-audit","yes","28","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-042","S18-deterministic-audit","yes","4, 3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-048","S18-deterministic-audit","yes","60","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p3-upper-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p3-upper-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-002","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-006","S18-deterministic-audit","yes","900","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-lower-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-008","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-018","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-027","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
