questionId,questionType,level,grade,originName,locale,hasImage,missingAnswerKey,standardAnswer,independentAnswer,solvabilityStatus,answerMatchStatus,severity,reason,recommendedAction,questionTextExcerpt,scope
6557,MCQ,senior_secondary,10,CE/DSE,b,false,false,A,A,pass,pass,none,方程求解得答案-2，选项A正确，答案匹配。,无需操作。,"若 $9a^2 - b^2 = 0$ 及 $ab < 0$，則 $\frac{a-b}{a+b} =$  \nA. $-2$  \nB. $\frac{1}{2}$  \nC. $0$  \nD. $\frac{1}{2}$  \nE. $2$",pilot-100
100000120,BFQ,junior_secondary,9,SPHRC Kung Yik She Secondary School,zh-HK,true,false,中線,,image-context-required,not-checkable,P1,題目要求判斷三角形的特殊線，但未提供圖像或文字描述，無法求解。,提供圖像描述或替代文本。,PQ為哪一種特殊線?,pilot-100
100000173,BFQ,junior_secondary,7,eduhk,b,false,false,144,144,pass,pass,none,可從文字直接求解，答案正確。,No blocking action.,於整數範圍內，求最小之正整數 n，須同時符合以下條件：\n① 能被 4、6、8、9 整除；\n② n 為完全平方數。,pilot-100
2501,FRQ,junior_secondary,7,SPHRC Kung Yik She Secondary School,b,true,false,"P = -50, Q = +60, R = -90",,image-context-required,not-checkable,P1,"題目要求從數線讀取P, Q, R的值，但未提供數線圖像或數學描述。",提供數線數值或圖像描述。,"求 P、Q 和 R 所代表的有向數。\n[@]Ch.02-Eng-practice2.1-8.png[@]",pilot-100
182,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,"91的因數：1, 7, 13, 91∵ 91有多於兩個因數。\n	∴ 91是一個合成數。","因數：1, 7, 13, 91；91是合成數",pass,pass,none,可從文字直接求解，答案正確。,No blocking action.,寫出91的所有因數，並判斷91是一個質數還是一個合成數。,pilot-100
563,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,C,C,pass,pass,none,文字敘述已提供足夠資訊推出等差數列，答案正確。,No blocking action.,"下圖中，第1個圖案包含 10 粒點子。對於任意正整數 n，第 (n + 1) 個圖案是由第n個圖案加上4粒點子所組成。求第5個圖案的點子數目。\n [@]563.png[@]\nA.        18                                                        \nB.        22\nC.        26                                                        \nD.        30",pilot-100
105,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,D,D,pass,pass,none,可直接計算各組的LCM，標準答案匹配,無需操作,"已知某兩個數的L.C.M. 是210。下列何者可以是該兩個數？\n 	I.	6，28\n	II.	15，42\n	III.	30，105\n	A.	只有I	\n	B.	只有II \n	C.	只有I及III\n	D.	只有II及III",pilot-100
10358,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,問題依賴圖片內容，無法僅從文本判斷答案，且標準答案缺失,提供圖片內容或補充標準答案,"子健先把下列容器盛滿水，然後把水注入量杯內，得出以下結果。\n[@]P.4數下期考-A10.png[@]\n",pilot-100
10635,FRQ,primary,3,Gemini,b,false,false,240,240,pass,pass,none,可直接計算，答案匹配,無需操作,300 - 15 \times 4 = ?,pilot-100
10388,FRQ,primary,3,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,5/7,pass,missing-answer-key,P1,標準答案缺失，但問題可解,補充標準答案,\frac{6}{7} - \frac{1}{7} =      ,pilot-100
4060,FRQ,senior_secondary,10,DeepSeek,b,false,false,1,1,pass,pass,none,可直接計算，答案匹配,無需操作,已知 \( n(x) = 5x^2 - 4x + 1 \)。求 \( n(0) \)。,pilot-100
10038,MCQ,senior_secondary,10,EPH,c,true,false,C,,image-context-required,not-checkable,P1,圖像未提供，無法確定陰影區域OPQR的頂點，從而無法求x+y+5的極大值。,提供標明點O、P、Q、R的圖像或文字描述。,"圖中，PQ和QR的方程分別是x + 2y – 12 = 0和2x + y – 12 = 0。若 (x, y) 是陰影區域OPQR（包括邊界）上的一點，求x + y + 5的極大值。\n[@]SMS-CPS5A19-6.jpg[@]\nA.	5\nB.	11\nC.	13\nD.	17",pilot-100
6574,MCQ,senior_secondary,10,CE/DSE,b,false,false,E,h/3,pass,pass,none,題目可解，利用根與係數關係得α+β = h/3，答案為E。,無需修改。,"若 $\alpha = \beta$，且\n$\left\{\begin{array}{l}3\alpha^2 - h\alpha - b = 0 \\ 3\beta^2 - h\beta - b = 0\end{array}\right.$\n\n則 $\alpha + \beta$ =\nA. $-\frac{b}{3}$\nB. $\frac{b}{3}$\nC. $h$\nD. $-\frac{h}{3}$\nE. $\frac{h}{3}$",pilot-100
100000128,BFQ,junior_secondary,9,SPHRC Kung Yik She Secondary School,zh-HK,true,false,垂直平分線,,image-context-required,not-checkable,P1,題目依賴圖像判斷PQ的類型，無法僅由文字得出答案。,提供圖像或補充幾何條件描述。,PQ為哪一種特殊線?,pilot-100
100000174,BFQ,junior_secondary,7,eduhk,b,false,false,216,216,pass,pass,none,題目可解，最小公倍數72，乘上3使成為完全立方數得216。,無需修改。,"於整數範圍內，求最小之正整數 n，須同時符合以下條件：  \n① 能被 4、6、8、9 整除；  \n② n 為完全立方數。",pilot-100
2502,FRQ,junior_secondary,7,SPHRC Kung Yik She Secondary School,b,true,false,"X = -5, Y = -1, Z = -6.5",,image-context-required,not-checkable,P1,題目依賴數線圖像判斷X、Y、Z的值。,提供數線圖像或文字描述各點位置。,"求 X、Y 和 Z 所代表的有向數。\n[@]Ch.02-Eng-practice2.1-9.png[@]",pilot-100
