"id","batch","grade","chapter","type","difficulty","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-high-ds-v2-s4-084","hjb-v2","S4","等式与不等式","short-answer","Exam","P1","wrong-answer","标准答案0可能错误。由条件|f(x)|≤1得f(1)≤1，a+b=f(1)-1≤0，但最大值需验证存在性。取a=0,b=0时f(x)=x²满足条件，a+b=0。但若取a=-2,b=2，f(x)=x²-2x+2=(x-1)²+1，在[0,1]上最大值为2，不满足|f(x)|≤1。需检查是否可能大于0。实际上由|f(0)|=|b|≤1，|f(1)|=|1+a+b|≤1，|f(1/2)|=|1/4+a/2+b|≤1，可求a+b范围。经计算a+b最大值为0，但解析仅由f(1)≤1得a+b≤0，未验证等号成立条件，但答案正确。然而解析不严谨，可能误导。","0","0","0","独立求解得最大值为0，但解析不严谨，需补充验证。","建议补充解析，说明等号成立条件，或提供更严谨的推导。","medium","已知函数 f(x)=x²+ax+b（a,b∈R），若对于任意 x∈[0,1]，都有 |f(x)|≤1，求 a+b 的最大值。"
"hjb-high-ds-v2-s4-087","hjb-v2","S4","等式与不等式","short-answer","Foundation","P2","ambiguous-prompt","题目表述不清晰：'求 x 的取值范围右端常数 10-10 的值' 语义模糊，可能让学生困惑。但数学上可解，答案0正确。","0","0","0","答案正确，但题目表述需优化。","建议修改题目表述，使其更清晰，例如直接解不等式。","high","二轮变式0087：解答：解不等式 x+10>10，求 x 的取值范围右端常数 10-10 的值。"
"hjb-high-ds-v2-s4-088","hjb-v2","S4","等式与不等式","multiple-choice","Exam","P1","wrong-answer | explanation-mismatch","标准答案4错误。解析中(a+b)(a²+b²)≥2√(ab)·2=4，但等号成立需a=b且a²+b²=2ab，即a=b=1，此时(a+b)(a²+b²)=2*2=4。但需验证是否可能更小。实际上由ab=1，a+b≥2，a²+b²≥2，乘积≥4，等号成立当a=b=1，故最小值为4。但解析中(a+b)(a²+b²)≥2√(ab)·2=4，这一步错误：2√(ab)=2，乘以2得4，但(a+b)(a²+b²)≥(2√(ab))*(2ab)=4？不严谨。正确解法：1/a+1/b=(a+b)/ab=a+b，原式=(a+b)(a²+b²)≥2√(ab)*2ab=4，但ab=1，故≥4。然而更直接：由均值不等式，a+b≥2，a²+b²≥2，故乘积≥4。答案4正确，但解析有误。","4","4","4","独立求解得最小值为4，但解析推导有误，需修正。","建议修正解析，使用正确的不等式推导。","high","已知正实数a, b满足ab = 1，则(1/a + 1/b)(a² + b²)的最小值为？"
"hjb-high-ds-v2-s4-094","hjb-v2","S4","等式与不等式","multiple-choice","Challenge","P2","ambiguous-prompt","题目表述不清晰：'求 x 的取值范围右端常数 5-5 的值' 语义模糊，可能让学生困惑。但数学上可解，答案0正确。","0","0","0","答案正确，但题目表述需优化。","建议修改题目表述，使其更清晰，例如直接解不等式。","high","二轮变式0094：选择：解不等式 x+5>5，求 x 的取值范围右端常数 5-5 的值。"
"hjb-high-ds-v2-s4-123","hjb-v2","S4","幂、指数与对数","short-answer","Foundation","P1","wrong-answer | explanation-mismatch","题目可解，但标准答案2错误，正确结果为1。解析过程有误，最终结果应为1。","1","2","2","标准答案为2，但计算得1，不匹配。","修正答案为1，并更正解析。","high","计算：lg25 + lg2·lg50 + (lg2)²。"
"hjb-high-ds-v2-s4-145","hjb-v2","S4","幂、指数与对数","multiple-choice","Core","P1","multiple-correct-options","选项C和D均恒成立，但标准答案仅选D。C：log_a M^n = n log_a M，在M>0时恒成立，题目未限定M的范围，但通常对数恒等式要求真数大于0，若默认真数大于0则C也恒成立。D：log_a √[n]{M} = (1/n) log_a M，同样要求M>0。两者条件相同，因此C和D均为正确选项。","C和D均恒成立","\log_a \sqrt[n]{M} = \frac{1}{n} \log_a M","\log_a \sqrt[n]{M} = \frac{1}{n} \log_a M","标准答案仅选D，但C也正确，存在多个正确选项。","修改题目或选项，确保只有一个正确选项。","high","下列等式中恒成立的是（ ）"
"hjb-high-ds-v2-s4-221","hjb-v2","S4","函数的概念、性质及应用","fill-in","Foundation","P1","accepted-answer-gap","标准答案为 [2, 5)，但 acceptedAnswers 中包含 (2,5)，该区间不包含 2，与定义域不符。","[2, 5)","[2, 5)","[2, 5) | (2,5) | [2,5)","标准答案正确，但 acceptedAnswers 中的 (2,5) 错误。","从 acceptedAnswers 中移除 (2,5)。","high","已知函数 f(x) = √(x - 2) + ln(5 - x)，则 f(x) 的定义域为 ______。（用区间表示）"
"hjb-high-ds-v2-s4-248","hjb-v2","S4","函数的概念、性质及应用","fill-in","Foundation","P1","wrong-answer","单调递增区间应为 (-∞,-1) 和 (1,3)，而非 (-∞,-1) 和 (-1,1)。解析中 f'(x)>0 解得 x<1，但需结合定义域 x≠-1,3，且分母恒正，故递增区间为 (-∞,-1) 和 (1,3)。标准答案遗漏了 (1,3) 部分。","(-∞,-1) 和 (1,3)","(-∞,-1)和(-1,1)","(-∞,-1)和(-1,1) | (-∞,-1),(-1,1)","标准答案 (-∞,-1)和(-1,1) 错误，正确应为 (-∞,-1) 和 (1,3)。","修正答案为 (-∞,-1) 和 (1,3)，并更新 acceptedAnswers。","high","函数 f(x)=1/(x²-2x-3) 的单调递增区间为______。"
"hjb-high-ds-v2-s4-251","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","表达式 AB·AC 在三角形中通常指向量点积，而非长度乘积。若为点积，应为 12×10×cos60°=60。题目未明确是长度乘积还是点积，但上下文为三角章节，且给出角度，更可能指向量点积。标准答案 120 仅当解释为长度乘积时成立，但此解释与常规不符。","若为点积：60；若为长度乘积：120。","120","120","标准答案 120 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 60。存在歧义。","明确表达式含义，或修改答案为 60（若为点积），或注明为长度乘积。","medium","二轮变式0251：填空：在三角形 ABC 中，若 AB=12，AC=10，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-252","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 3×9×cos60°=13.5，而非 27。标准答案 27 仅当解释为长度乘积时成立。","若为点积：13.5；若为长度乘积：27。","27","27","标准答案 27 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 13.5。存在歧义。","明确表达式含义，或修改答案为 13.5（若为点积），或注明为长度乘积。","medium","二轮变式0252：解答：在三角形 ABC 中，若 AB=3，AC=9，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-253","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 2×14×cos60°=14，而非 28。标准答案 28 仅当解释为长度乘积时成立。","若为点积：14；若为长度乘积：28。","28","28","标准答案 28 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 14。存在歧义。","明确表达式含义，或修改答案为 14（若为点积），或注明为长度乘积。","medium","二轮变式0253：选择：在三角形 ABC 中，若 AB=2，AC=14，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-254","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 2×12×cos60°=12，而非 24。标准答案 24 仅当解释为长度乘积时成立。","若为点积：12；若为长度乘积：24。","24","24","标准答案 24 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 12。存在歧义。","明确表达式含义，或修改答案为 12（若为点积），或注明为长度乘积。","medium","二轮变式0254：填空：在三角形 ABC 中，若 AB=2，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-255","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 12×20×cos60°=120，而非 240。标准答案 240 仅当解释为长度乘积时成立。","若为点积：120；若为长度乘积：240。","240","240","标准答案 240 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 120。存在歧义。","明确表达式含义，或修改答案为 120（若为点积），或注明为长度乘积。","medium","二轮变式0255：解答：在三角形 ABC 中，若 AB=12，AC=20，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-256","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 4×7×cos60°=14，而非 28。标准答案 28 仅当解释为长度乘积时成立。","若为点积：14；若为长度乘积：28。","28","28","标准答案 28 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 14。存在歧义。","明确表达式含义，或修改答案为 14（若为点积），或注明为长度乘积。","medium","二轮变式0256：选择：在三角形 ABC 中，若 AB=4，AC=7，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-257","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 5×4×cos60°=10，而非 20。标准答案 20 仅当解释为长度乘积时成立。","若为点积：10；若为长度乘积：20。","20","20","标准答案 20 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 10。存在歧义。","明确表达式含义，或修改答案为 10（若为点积），或注明为长度乘积。","medium","二轮变式0257：填空：在三角形 ABC 中，若 AB=5，AC=4，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-258","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 8×17×cos60°=68，而非 136。标准答案 136 仅当解释为长度乘积时成立。","若为点积：68；若为长度乘积：136。","136","136","标准答案 136 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 68。存在歧义。","明确表达式含义，或修改答案为 68（若为点积），或注明为长度乘积。","medium","二轮变式0258：解答：在三角形 ABC 中，若 AB=8，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-259","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 5×16×cos60°=40，而非 80。标准答案 80 仅当解释为长度乘积时成立。","若为点积：40；若为长度乘积：80。","80","80","标准答案 80 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 40。存在歧义。","明确表达式含义，或修改答案为 40（若为点积），或注明为长度乘积。","medium","二轮变式0259：选择：在三角形 ABC 中，若 AB=5，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-260","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","同 0251，表达式 AB·AC 在三角章节中通常指向量点积，应为 4×17×cos60°=34，而非 68。标准答案 68 仅当解释为长度乘积时成立。","若为点积：34；若为长度乘积：68。","68","68","标准答案 68 仅在解释为长度乘积时正确，但题目在三角章节且给出角度，通常指向量点积，应为 34。存在歧义。","明确表达式含义，或修改答案为 34（若为点积），或注明为长度乘积。","medium","二轮变式0260：填空：在三角形 ABC 中，若 AB=4，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-265","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer | explanation-mismatch","由 f(0)=1 得 sinφ=1/2，φ 可能为 π/6 或 5π/6。若 φ=π/6，在 x=π/6 处 ω*π/6+π/6 = π/2 + 2kπ，得 ω=2+12k，ω=2 可能。若 φ=5π/6，在 x=π/6 处 ω*π/6+5π/6 = π/2 + 2kπ，得 ω=-2+12k，ω>0 时最小为 10，选项无。但选项 C 为 ω=2, φ=5π/6，代入 f(0)=2sin(5π/6)=1 满足，但在 x=π/6 处 2*π/6+5π/6=7π/6，不是最大值点，故 C 错误。选项 A 正确。但解析只验证了 A，未排除其他选项，且未提及 φ=5π/6 的可能性，解析不完整。标准答案 A 正确，但解析有缺陷。","ω=2，φ=π/6","ω=2，φ=π/6","ω=2，φ=π/6","标准答案 A 正确，但解析未充分说明为何其他选项错误，可能引起混淆。","完善解析，说明 φ=5π/6 时在 x=π/6 处不是最大值，排除 C；其他选项不满足条件。","high","已知函数 f(x)=2sin(ωx+φ)（ω>0，0<φ<π），且 f(0)=1，f(x) 在 x=π/6 处取得最大值。则 ω 和 φ 的值可能是（　）。"
"hjb-high-ds-v2-s4-268","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer | explanation-mismatch","由 a cos B = b cos A 及正弦定理得 sin A cos B = sin B cos A，即 sin(A-B)=0，所以 A=B 或 A-B=π（舍去），故三角形为等腰三角形。但选项 D 为“等腰三角形或直角三角形”，若考虑 cos A=0 或 cos B=0 的情况，原式 a cos B = b cos A 若 cos A=0 且 cos B=0 不可能，若 cos A=0 则左边 a cos B = 0，右边 b*0=0，此时 A=90°，B 任意？需检查：若 A=90°，则 cos A=0，原式变为 a cos B = 0，因 a>0，故 cos B=0，B=90°，矛盾。所以直角三角形不成立。因此只有等腰三角形。标准答案“等腰三角形”正确，但解析未排除直角三角形，且选项 D 存在，解析应说明为何不是直角三角形。","等腰三角形","等腰三角形","等腰三角形","标准答案正确，但解析不完整，未排除直角三角形，可能误导学生选 D。","完善解析，明确说明由 sin(A-B)=0 得 A=B，且 cos A=0 或 cos B=0 的情况不成立，故仅为等腰三角形。","high","在 △ABC 中，角 A、B、C 的对边分别为 a、b、c，且满足 a cos B = b cos A。则 △ABC 的形状是（　）。"
"hjb-high-ds-v2-s4-271","hjb-v2","S4","三角","multiple-choice","Challenge","P2","ambiguous-prompt","题目中“表达式 AB·AC”可能被误解为向量的数量积，但根据上下文和解析，实际是两边长度的乘积。虽然答案正确，但表述有歧义，建议明确为“边 AB 与边 AC 的长度的乘积”或使用符号 |AB|·|AC|。","170","170","170","标准答案 170 正确，acceptedAnswers 匹配。但题目表述可能引起混淆。","修改题目表述，避免与向量点积混淆，例如改为“边 AB 与边 AC 的长度的乘积”。","high","二轮变式0271：选择：在三角形 ABC 中，若 AB=10，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-272","hjb-v2","S4","三角","fill-in","Foundation","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义，可能被误解为向量点积。建议明确为长度乘积。","18","18","18","标准答案 18 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0272：填空：在三角形 ABC 中，若 AB=3，AC=6，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-273","hjb-v2","S4","三角","short-answer","Core","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","72","72","72","标准答案 72 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0273：解答：在三角形 ABC 中，若 AB=6，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-274","hjb-v2","S4","三角","multiple-choice","Challenge","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","30","30","30","标准答案 30 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0274：选择：在三角形 ABC 中，若 AB=5，AC=6，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-275","hjb-v2","S4","三角","fill-in","Foundation","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","133","133","133","标准答案 133 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0275：填空：在三角形 ABC 中，若 AB=7，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-276","hjb-v2","S4","三角","short-answer","Core","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","150","150","150","标准答案 150 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0276：解答：在三角形 ABC 中，若 AB=10，AC=15，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-277","hjb-v2","S4","三角","multiple-choice","Challenge","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","84","84","84","标准答案 84 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0277：选择：在三角形 ABC 中，若 AB=12，AC=7，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-278","hjb-v2","S4","三角","fill-in","Foundation","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","133","133","133","标准答案 133 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0278：填空：在三角形 ABC 中，若 AB=7，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-279","hjb-v2","S4","三角","short-answer","Core","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","16","16","16","标准答案 16 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0279：解答：在三角形 ABC 中，若 AB=4，AC=4，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-280","hjb-v2","S4","三角","multiple-choice","Challenge","P2","ambiguous-prompt","同 271，题目中“表达式 AB·AC”有歧义。建议明确为长度乘积。","50","50","50","标准答案 50 正确，acceptedAnswers 匹配。但题目表述有歧义。","修改题目表述，避免与向量点积混淆。","high","二轮变式0280：选择：在三角形 ABC 中，若 AB=5，AC=10，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-301","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = |AB|*|AC|*cos60° = 2*6*0.5 = 6，与给定答案12不符。题目未明确说明是长度乘积，存在歧义。","6","12","12","给定答案为12，但按向量数量积应为6。","需明确表达式含义或修正答案。","high","二轮变式0301：选择：在三角形 ABC 中，若 AB=2，AC=6，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-302","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 10*16*cos60° = 80，与给定答案160不符。","80","160","160","给定答案为160，但按向量数量积应为80。","需明确表达式含义或修正答案。","high","二轮变式0302：填空：在三角形 ABC 中，若 AB=10，AC=16，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-303","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 3*5*cos60° = 7.5，与给定答案15不符。","7.5","15","15","给定答案为15，但按向量数量积应为7.5。","需明确表达式含义或修正答案。","high","二轮变式0303：解答：在三角形 ABC 中，若 AB=3，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-304","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 10*10*cos60° = 50，与给定答案100不符。","50","100","100","给定答案为100，但按向量数量积应为50。","需明确表达式含义或修正答案。","high","二轮变式0304：选择：在三角形 ABC 中，若 AB=10，AC=10，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-305","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 6*5*cos60° = 15，与给定答案30不符。","15","30","30","给定答案为30，但按向量数量积应为15。","需明确表达式含义或修正答案。","high","二轮变式0305：填空：在三角形 ABC 中，若 AB=6，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-306","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 11*19*cos60° = 104.5，与给定答案209不符。","104.5","209","209","给定答案为209，但按向量数量积应为104.5。","需明确表达式含义或修正答案。","high","二轮变式0306：解答：在三角形 ABC 中，若 AB=11，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-307","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 2*5*cos60° = 5，与给定答案10不符。","5","10","10","给定答案为10，但按向量数量积应为5。","需明确表达式含义或修正答案。","high","二轮变式0307：选择：在三角形 ABC 中，若 AB=2，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-308","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 8*13*cos60° = 52，与给定答案104不符。","52","104","104","给定答案为104，但按向量数量积应为52。","需明确表达式含义或修正答案。","high","二轮变式0308：填空：在三角形 ABC 中，若 AB=8，AC=13，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-309","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 5*5*cos60° = 12.5，与给定答案25不符。","12.5","25","25","给定答案为25，但按向量数量积应为12.5。","需明确表达式含义或修正答案。","high","二轮变式0309：解答：在三角形 ABC 中，若 AB=5，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-310","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 6*4*cos60° = 12，与给定答案24不符。","12","24","24","给定答案为24，但按向量数量积应为12。","需明确表达式含义或修正答案。","high","二轮变式0310：选择：在三角形 ABC 中，若 AB=6，AC=4，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-311","hjb-v2","S4","三角","fill-in","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 3*8*cos60° = 12，与给定答案24不符。","12","24","24","给定答案为24，但按向量数量积应为12。","需明确表达式含义或修正答案。","high","二轮变式0311：填空：在三角形 ABC 中，若 AB=3，AC=8，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-312","hjb-v2","S4","三角","short-answer","Core","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 3*5*cos60° = 7.5，与给定答案15不符。","7.5","15","15","给定答案为15，但按向量数量积应为7.5。","需明确表达式含义或修正答案。","high","二轮变式0312：解答：在三角形 ABC 中，若 AB=3，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s4-313","hjb-v2","S4","三角","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为两边长度的乘积。若按数量积计算，AB·AC = 7*9*cos60° = 31.5，与给定答案63不符。","31.5","63","63","给定答案为63，但按向量数量积应为31.5。","需明确表达式含义或修正答案。","high","二轮变式0313：选择：在三角形 ABC 中，若 AB=7，AC=9，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s6-421","hjb-v2","S6","跨册综合：三角向量解析几何","fill-in","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为线段长度的乘积。若按向量数量积计算，应为 |AB|*|AC|*cos60° = 10*14*0.5 = 70，而非 140。题目未明确说明是线段长度乘积，存在歧义。","若按向量数量积：70；若按线段长度乘积：140。","140","140","标准答案为 140，但若按向量数量积应为 70，答案不匹配。","需明确表达式含义，或修改答案和解析以匹配向量数量积。","high","二轮变式1421：填空：在三角形 ABC 中，若 AB=10，AC=14，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s6-422","hjb-v2","S6","跨册综合：三角向量解析几何","multiple-choice","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为线段长度的乘积。若按向量数量积计算，应为 11*17*cos60° = 93.5，而非 187。题目未明确说明是线段长度乘积，存在歧义。","若按向量数量积：93.5；若按线段长度乘积：187。","187","187","标准答案为 187，但若按向量数量积应为 93.5，答案不匹配。","需明确表达式含义，或修改答案和解析以匹配向量数量积。","high","二轮变式1422：选择：在三角形 ABC 中，若 AB=11，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s6-423","hjb-v2","S6","跨册综合：三角向量解析几何","fill-in","Core","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为线段长度的乘积。若按向量数量积计算，应为 12*15*cos60° = 90，而非 180。题目未明确说明是线段长度乘积，存在歧义。","若按向量数量积：90；若按线段长度乘积：180。","180","180","标准答案为 180，但若按向量数量积应为 90，答案不匹配。","需明确表达式含义，或修改答案和解析以匹配向量数量积。","high","二轮变式1423：填空：在三角形 ABC 中，若 AB=12，AC=15，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s6-424","hjb-v2","S6","跨册综合：三角向量解析几何","multiple-choice","Challenge","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为线段长度的乘积。若按向量数量积计算，应为 8*20*cos60° = 80，而非 160。题目未明确说明是线段长度乘积，存在歧义。","若按向量数量积：80；若按线段长度乘积：160。","160","160","标准答案为 160，但若按向量数量积应为 80，答案不匹配。","需明确表达式含义，或修改答案和解析以匹配向量数量积。","high","二轮变式1424：选择：在三角形 ABC 中，若 AB=8，AC=20，且 ∠A=60°，表达式 AB·AC 的值是多少？"
"hjb-high-ds-v2-s6-425","hjb-v2","S6","跨册综合：三角向量解析几何","fill-in","Foundation","P1","wrong-answer","题目中表达式 AB·AC 在三角形中通常表示向量的数量积，但解析和答案将其解释为线段长度的乘积。若按向量数量积计算，应为 12*19*cos60° = 114，而非 228。题目未明确说明是线段长度乘积，存在歧义。","若按向量数量积：114；若按线段长度乘积：228。","228","228","标准答案为 228，但若按向量数量积应为 114，答案不匹配。","需明确表达式含义，或修改答案和解析以匹配向量数量积。","high","二轮变式1425：填空：在三角形 ABC 中，若 AB=12，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？"
