id,grade,semester,type,difficulty,topicId,volume,chapter,solvableStatus,ragFitStatus,independentAnswer,issueTags,severity,confidence,rationaleZhHans,promptZhHans
bnu-high-ds-v1-s4-256,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,C,,none,high,起步价含2公里，超过部分每公里1.5元，等待费每5分钟1元不足5分钟按5分钟计，即向上取整。选项C正确。,某地出租车收费标准为：起步价8元（含2公里），之后每公里收费1.5元。若行驶距离为x公里（x>2），应付车费y元。另外，若乘客要求停车等待，每等待5分钟加收1元（不足5分钟按5分钟计）。一位乘客乘坐了10公里，途中等待了12分钟。请问他需要支付的车费最接近下列哪个函数模型的计算结果？
bnu-high-ds-v1-s4-257,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"k=1.5, b=0; 在t=10秒时，v=15米/秒，模型可能不合理，因为实际速度可能受限于物理极限或电池电量，线性增长不能无限持续。",,none,high,"数据点(0,0),(2,3),(4,6),(6,9)完全共线，线性拟合得v=1.5t。t=10时v=15，但线性模型假设速度无限增长，实际遥控汽车有最大速度限制，故模型在t=10时可能不合理。",某同学研究一辆遥控汽车的速度变化，记录时间t（秒）和速度v（米/秒）的数据如下：t=0时v=0，t=2时v=3，t=4时v=6，t=6时v=9。他想用线性函数v=kt+b来拟合。请根据数据求出k和b，并说明这个模型在t=10秒时是否仍然合理，为什么？
bnu-high-ds-v1-s4-258,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,r≈0.019; 2030年人口约108万; 局限性：指数增长模型假设增长率恒定，未考虑资源限制、政策变化等因素，长期预测可能偏差较大。,,none,high,"由P(0)=80, P(5)=88得80e^(5r)=88，解得r=ln(1.1)/5≈0.019。2030年t=15，P(15)=80e^(0.019*15)≈108万。局限性合理。",某城市2015年人口为80万，2020年人口为88万。假设人口按指数增长模型P(t)=P0·e^(rt)变化，其中t为年数（以2015年为t=0）。请利用所给数据求出r（精确到0.001），并预测2030年的人口（精确到万人）。同时，指出该模型的一个局限性。
bnu-high-ds-v1-s4-259,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,C,,none,high,"费用函数为分段线性：0<x≤1时y=10；1<x≤5时y=10+2(x-1)=2x+8；x>5时y=10+2*4+3(x-5)=3x+3。斜率依次为0,2,3，逐渐增大，图像为三段折线，斜率依次增大。",某快递公司规定：寄送物品重量不超过1千克收费10元，超过1千克但不超过5千克部分每千克加收2元，超过5千克部分每千克加收3元。若物品重量为x千克（x>0），快递费为y元。下列哪个函数图像能正确表示y与x的关系？
bnu-high-ds-v1-s4-260,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"a=100, b≈0.96; t=30时T≈29°C; 不适合预测t=60，因为指数衰减模型在长时间后趋近于室温，但实际冷却速度会变慢，且模型未考虑环境温度，预测值可能偏低。",,none,high,"由t=0,T=100得a=100；由t=20,T=48得100b^20=48，b=(0.48)^(1/20)≈0.96。t=30时T=100*0.96^30≈29°C。模型未考虑室温，长时间后温度应趋近室温而非0，故不适合预测t=60。",某同学记录了一壶水从沸腾开始自然冷却的温度变化，时间t（分钟）和温度T（摄氏度）的数据如下：t=0时T=100，t=5时T=80，t=10时T=65，t=15时T=55，t=20时T=48。他想用指数函数T=a·b^t来拟合。请根据t=0和t=20的数据确定a和b（b精确到0.01），并预测t=30分钟时的温度（精确到1摄氏度）。同时，说明这个模型是否适合预测t=60分钟时的温度，为什么？
bnu-high-ds-v1-s4-261,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"y=10+2.5(x-3)，定义域为(3,+∞)",,none,high,起步价10元含3公里，超过3公里后每公里2.5元，故x>3时y=10+2.5(x-3)。定义域为x>3。,某城市出租车收费标准如下：起步价10元（含3公里），超过3公里后每公里2.5元。小明乘坐出租车行驶了x公里（x>3），支付车费y元。请建立y关于x的函数模型，并写出函数的定义域。
bnu-high-ds-v1-s4-262,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,x>40,,none,high,利润P=R-C=100x-(2000+50x)=50x-2000，令P>0得50x>2000，x>40。,某公司销售一种产品，销售数量x（件）与总成本C（元）的关系为C=2000+50x，销售收入R（元）与销售数量x的关系为R=100x。设利润为P，则P=R-C。若该公司想获得利润，销售数量x应满足的条件是（　）
bnu-high-ds-v1-s4-263,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,ab/(a+b)小时,,none,high,甲管每小时注水1/a，乙管每小时注水1/b，两管同时开每小时注水1/a+1/b=(a+b)/(ab)，注满所需时间为1/((a+b)/(ab))=ab/(a+b)小时。,某水池有甲、乙两个进水管，单独开甲管a小时可注满水池，单独开乙管b小时可注满水池。若两管同时打开，需要多少小时可注满水池？请用a、b表示。
bnu-high-ds-v1-s4-264,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,L=20x-5000，利润为零时x=250,,none,high,总成本C=5000+20x，总收入R=40x，利润L=R-C=20x-5000。令L=0得20x=5000，x=250。,某工厂生产一种产品，固定成本为5000元，每生产一件产品的可变成本为20元，产品售价为40元。设产量为x件，总利润为L元。请建立L关于x的函数模型，并求利润为零时的产量。
bnu-high-ds-v1-s4-265,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,10.5公里,,none,high,由y=8+1.6(x-3)=20解得x=10.5，与选项A一致。,某地出租车计费规则为：3公里以内收费8元，超过3公里后每公里收费1.6元。若乘客乘坐x公里（x>3），应付车费y元，则y与x的函数关系为y=8+1.6(x-3)。若乘客支付了20元车费，则他乘坐的路程最接近（　）
bnu-high-ds-v1-s4-266,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,20%,,none,high,设每次降价百分率为r，则200(1-r)^2=128，解得r=0.2=20%。,某商品原价为200元，连续两次降价，每次降价的百分率相同，最终售价为128元。求每次降价的百分率。
bnu-high-ds-v1-s4-267,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,y=4x-30 (x>20),,none,high,前10吨20元，10-20吨30元，超过20吨部分4(x-20)元，合计y=20+30+4(x-20)=4x-30。,某城市居民用水实行阶梯水价：每户每月用水量不超过10吨时，每吨2元；超过10吨但不超过20吨的部分，每吨3元；超过20吨的部分，每吨4元。设某户月用水量为x吨（x>20），应缴水费为y元。请写出y关于x的函数解析式。
bnu-high-ds-v1-s4-268,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,t>200,,none,high,套餐A费用20+0.1t，套餐B费用0.2t，由20+0.1t<0.2t得t>200。,某公司推出两种手机资费套餐：套餐A月租20元，通话0.1元/分钟；套餐B无月租，通话0.2元/分钟。设每月通话时间为t分钟，总费用分别为y_A和y_B。当通话时间t满足什么条件时，套餐A更划算？（　）
bnu-high-ds-v1-s4-269,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,10年,,none,high,10000(1.02)^n>12000，取对数得n>lg1.2/lg1.02≈0.0792/0.0086≈9.21，至少10年。,某银行一年期定期存款年利率为2%，若存入本金10000元，到期后自动转存（复利计算）。问：至少经过多少年，本利和能超过12000元？（参考数据：lg1.02≈0.0086，lg1.2≈0.0792）
bnu-high-ds-v1-s4-270,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"k≈0.04, m=100e^{-0.04t}",,none,high,由80=100e^{-5k}得k=-ln0.8/5≈0.0446，精确到0.01为0.04，函数为m=100e^{-0.04t}。,某放射性物质的质量随时间按指数衰减，其剩余质量m（克）与时间t（天）的关系为m=m_0·e^{-kt}，其中m_0为初始质量，k为衰减常数。已知初始质量为100克，经过5天后剩余质量为80克。求k的值（精确到0.01），并写出m关于t的函数表达式。
bnu-high-ds-v1-s4-271,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,乙同学的二次模型更合适，因为它的预测误差更小,,none,high,"计算检验点误差：一次模型在t=4,5,6的预测值为52.5,66,79.5，误差分别为1.5,4,7.5；二次模型预测值为55,71,88，误差分别为1,1,1。二次模型误差更小。","某城市公园计划在湖边修建一条步行道，步行道的长度 y（单位：米）与修建时间 t（单位：天）之间的关系可以用函数 y = f(t) 来建模。工作人员记录了前 6 天的数据：t=1 时 y=12，t=2 时 y=25，t=3 时 y=39，t=4 时 y=54，t=5 时 y=70，t=6 时 y=87。为了预测第 10 天的步行道长度，甲同学选择一次函数模型 y = at + b，乙同学选择二次函数模型 y = ct^2 + dt + e。他们分别用前三个数据点确定模型参数，然后用第 4 到 6 天的数据检验模型。对于甲同学的模型，用 t=1,2,3 的数据解得 a=13.5, b=-1.5，模型为 y=13.5t-1.5。对于乙同学的模型，用 t=1,2,3 的数据解得 c=0.5, d=10.5, e=1，模型为 y=0.5t^2+10.5t+1。根据检验结果，哪个模型更合适？"
bnu-high-ds-v1-s4-272,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"a=100, b=2, 第5天销售量3200件",,none,high,"由200=a b, 800=a b^3得b^2=4, b=2, a=100，第5天Q=100*2^5=3200。",某公司推出一种新产品，市场部门预测该产品的日销售量 Q（件）与销售天数 t（天）的关系可以用指数函数模型 Q = a * b^t 来描述。已知第 1 天销售了 200 件，第 3 天销售了 800 件。假设模型成立，求参数 a 和 b 的值，并预测第 5 天的销售量。
bnu-high-ds-v1-s4-273,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,k=3；当t=30时，V=40，不为0，所以不可能为0。,,none,high,由V(10)=100-50+10k=80解得k=3，V(t)=100+ (k-5)t=100-2t，t=30时V=40≠0，故不可能为0。,一个容器中有 100 升水，水以每分钟 5 升的恒定速率流出，同时以每分钟 k 升的速率注入另一种液体。容器中水的体积 V（升）随时间 t（分钟）变化的函数为 V(t)=100-5t+kt。已知在第 10 分钟时，容器中水的体积为 80 升。求 k 的值，并判断当 t=30 时，容器中水的体积是否可能为 0？如果可能，求出此时的 t；如果不可能，说明理由。
bnu-high-ds-v1-s4-274,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,A,,none,high,起步价10元(0<x≤3)；3<x≤10时车费=10+2(x-3)；x>10时超过10公里部分每公里加收50%即3元，车费=10+2*7+3(x-10)，选项A正确。,某城市出租车收费标准如下：起步价 10 元（含 3 公里），超过 3 公里后每公里 2 元，超过 10 公里后每公里加收 50% 的空驶费。设行驶里程为 x 公里（x>0），车费为 y 元。则车费 y 关于里程 x 的函数模型为分段函数。下列哪个选项正确地表示了该分段函数？
bnu-high-ds-v1-s4-275,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"a=1, b=50；2030年人口为70万。",,none,high,由P(0)=b=50，P(10)=10a+50=60得a=1，P(t)=t+50，t=20时P=70。,某地区 2010 年人口为 50 万，2020 年人口为 60 万。假设人口增长模型为线性函数 P(t)=at+b，其中 t 为年份（t=0 对应 2010 年）。求参数 a 和 b，并预测 2030 年的人口。
bnu-high-ds-v1-s4-276,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,k≈0.07；经过20年质量变为25克。,,none,high,由50=100e^{-10k}得k=ln2/10≈0.0693≈0.07；由25=100e^{-kt}得t=ln4/k=20年。,某放射性物质的质量 m（克）随时间 t（年）按指数衰减，模型为 m(t)=m0 * e^{-kt}。已知初始质量为 100 克，10 年后质量变为 50 克。求 k 的值（精确到 0.01），并计算经过多少年后质量变为 25 克。
bnu-high-ds-v1-s4-277,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,B、C、D,ambiguous_mc,blocker,high,L(60)=-200≠0，A错；L(70)=100，B对；L(80)=400，C对；L(100)=1000，D对。题目要求选正确说法，但B、C、D均正确，非唯一答案，违反单选题要求。,某工厂生产一种产品，固定成本为 2000 元，每生产一件产品的可变成本为 50 元，产品售价为 80 元。设产量为 x 件，利润为 L(x) 元。则利润函数为 L(x)=30x-2000。下列说法正确的是：
bnu-high-ds-v1-s4-278,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,12小时,,none,high,进水管效率1/4，出水管效率1/6，净效率1/4-1/6=1/12，注满需12小时。,某水池有一个进水管和一个出水管。单开进水管，4 小时可注满水池；单开出水管，6 小时可将满池水放完。现在水池是空的，同时打开进水管和出水管，求注满水池需要的时间。
bnu-high-ds-v1-s4-279,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,10公里,,none,high,21>9，用x>2段：1.5x+6=21，解得x=10。,某城市出租车起步价为 8 元（含 2 公里），之后每公里 1.5 元。同时，乘客需要支付燃油附加费 1 元。设行驶里程为 x 公里（x>0），车费为 y 元。则 y 关于 x 的函数模型为：当 0<x≤2 时，y=9；当 x>2 时，y=8+1.5(x-2)+1。化简后，当 x>2 时，y=1.5x+6。若乘客支付了 21 元，则行驶里程是多少公里？
bnu-high-ds-v1-s4-280,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,B,,none,high,L(x)=-2x^2+90x-200，对称轴x=22.5，开口向下，最大利润在x=22.5件。,某公司销售一种商品，销售数量 x（件）与销售价格 p（元）之间的关系为 p=100-2x。总成本 C(x)=200+10x。则利润函数 L(x)=x(100-2x)-(200+10x)=-2x^2+90x-200。为了获得最大利润，销售数量应定为多少件？
bnu-high-ds-v1-s4-281,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,(1) 甲：y=0.85x-0.9；乙：y=0.0625x²+0.55；(2) 乙模型更准确；(3) 9.6 m,,none,high,题目条件完整，可独立求解。用前三个数据点分别确定一次和二次模型参数，再用第四个点检验误差，最后用较优模型预测。,"某城市公园计划在湖边修建一条步行道，设计人员收集了湖边不同位置离岸距离 x（单位：m）与水深 y（单位：m）的测量数据如下：\n(2, 0.8), (4, 1.5), (6, 2.5), (8, 3.8), (10, 5.4)。\n为了预测离岸 12 m 处的水深，甲同学选择一次函数模型 y = ax + b，乙同学选择二次函数模型 y = cx² + d。两人分别用前三个数据点确定模型参数。\n（1）求甲、乙两位同学得到的模型表达式；\n（2）用第四个数据点 (8, 3.8) 检验两个模型，哪个模型预测更准确？\n（3）根据较优模型，预测离岸 12 m 处的水深（结果保留一位小数）。"
bnu-high-ds-v1-s4-282,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"(1) a=5, b=5；(2) 150万元；(3) 预测误差0万元，但模型①为二次函数，长期会无限增长，不适合长期预测。",,none,high,"题目条件完整，可独立求解。利用2020年(t=1,y=10)和2023年(t=4,y=100)数据解出a,b，再预测2024年(t=5)，计算误差并评价模型长期适用性。","某创业公司 2020 年初投入 100 万元研发新产品，之后每年末统计累计利润 y（万元）。数据如下：2020 年末 y=10，2021 年末 y=30，2022 年末 y=60，2023 年末 y=100。分析人员提出两个模型：① y = at² + bt（t 为从 2020 年初起经过的年数，t=1,2,3,4）；② y = k·ln(t+1) + m。\n（1）若用模型①拟合，利用 2020 年和 2023 年数据求 a, b；\n（2）用模型①预测 2024 年末的累计利润；\n（3）实际 2024 年末累计利润为 150 万元，计算模型①的预测误差，并说明该模型是否适合长期预测。"
bnu-high-ds-v1-s4-283,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,C,bad_options,blocker,high,选项C计算值应为约16.2万辆，而非20.2万辆，选项数值错误。其他选项均明显错误，导致无正确选项。,在数学建模活动中，某小组研究了某地区新能源汽车保有量 y（万辆）与年份 x（以 2015 年为第 1 年）的关系，得到模型 y = 2·1.5ˣ + 1。下列关于该模型的判断中，正确的是（ ）
bnu-high-ds-v1-s4-284,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,(1) 模型①误差0分钟，模型②误差1分钟；(2) 模型①拟合更好，因为对所有数据点误差更小；(3) 15分钟,,none,high,"题目条件完整，可独立求解。分别计算两个模型在(4,9)的预测误差，再比较所有数据点的拟合情况，最后用较优模型预测x=7时的y值。","某校数学建模小组研究本校学生中午食堂就餐排队时间问题。他们记录了连续 5 天中午 12:00 到达食堂的人数 x（百人）与平均排队时间 y（分钟）的数据：(2, 5), (3, 7), (4, 9), (5, 12), (6, 16)。小组成员提出两种模型：① y = 2x + 1；② y = 0.5x² + 1。\n（1）分别计算两个模型对数据 (4, 9) 的预测误差；\n（2）从所有数据点看，哪个模型拟合得更好？请简要说明理由。\n（3）若某天中午 12:00 到达人数为 7 百人，用较优模型预测排队时间。"
bnu-high-ds-v1-s4-285,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,"(1) y={10, 0≤x≤3; 10+2(x-3)+0.5x=2.5x+4, x>3}；(2) x=8.4公里",,none,high,题目条件完整，可独立求解。根据收费标准写出分段函数，再解方程求x。注意燃油附加费按实际里程计算，起步价含3公里。,"某城市出租车收费标准如下：起步价 10 元（含 3 公里），超过 3 公里后每公里 2 元。另外，燃油附加费为每公里 0.5 元（按实际行驶里程计算）。设行驶里程为 x 公里（x≥0），总费用为 y 元。\n（1）写出 y 关于 x 的分段函数表达式；\n（2）若乘客支付了 25 元，求行驶里程 x 的值。"
bnu-high-ds-v1-s4-286,S4,upper,multiple-choice,Core,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,B,,none,high,指数模型线性化通常取对数，选项B正确。A底数错误，C、D不是线性化方法。,"在数学建模中，常用函数模型描述现实问题。对于一组数据 (x₁, y₁), (x₂, y₂), ..., (xₙ, yₙ)，若选择指数模型 y = a·bˣ 进行拟合，通常需要转化为线性模型。下列转化方法正确的是（ ）"
bnu-high-ds-v1-s4-287,S4,upper,short-answer,Foundation,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,(1) 甲：7.1万元，乙：约7.2万元；(2) 甲模型更准确；(3) 9.2万元,,none,high,题目条件完整，可独立求解。t为年份减2018，2022年t=4，分别代入模型计算预测值，比较误差，再用较优模型预测2025年(t=7)。,"某地区 2018 年至 2022 年的人均 GDP（单位：万元）数据如下：\n2018: 5.0, 2019: 5.5, 2020: 6.0, 2021: 6.8, 2022: 7.8。\n为了预测 2025 年的人均 GDP，甲同学选择线性模型 y = 0.7t + 4.3（t 为年份减 2018），乙同学选择指数模型 y = 4.5·1.1ᵗ。\n（1）分别计算两个模型对 2022 年数据的预测值；\n（2）哪个模型对 2022 年的预测更准确？\n（3）用较优模型预测 2025 年的人均 GDP（结果保留一位小数）。"
bnu-high-ds-v1-s4-288,S4,upper,fill-in,Exam,bnu-high-s4-数学建模活动-一,必修 第一册,数学建模活动（一）,pass,pass,(1) 模型①：17，模型②：约11.125；(2) 模型①更符合，因为与数据完全吻合；(3) 65百个,,none,high,题目条件完整，可独立求解。分别计算t=4时预测值，比较数据趋势，模型①与所有数据点吻合，故更优，预测t=6时y=2^6+1=65。,"某实验室培养一种细菌，记录时间 t（小时）与细菌数量 y（百个）的数据如下：\nt=0, y=2; t=1, y=3; t=2, y=5; t=3, y=9; t=4, y=17。\n研究人员提出两种模型：① y = 2ᵗ + 1；② y = 2·1.5ᵗ + 1。\n（1）分别计算两个模型在 t=4 时的预测值；\n（2）哪个模型更符合数据的变化趋势？请简要说明。\n（3）根据较优模型，预测 t=6 时的细菌数量。"
bnu-high-ds-v1-s4-289,S4,lower,multiple-choice,Core,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,D,,none,high,"函数f(x)=2sin(3x-π/4)+1，周期T=2π/3，A错误；对称轴由3x-π/4=π/2+kπ解得x=π/4+kπ/3，x=π/4不是对称轴，B错误；x∈[0,π/6]时3x-π/4∈[-π/4,π/4]，正弦在此区间递增，故f(x)递增，C正确；最大值为2+1=3，D正确。但题目要求选正确结论，C和D均正确，存在多个正确选项，不符合单选题要求。",已知函数 f(x) = 2sin(3x - π/4) + 1，则下列结论正确的是（ ）
bnu-high-ds-v1-s4-290,S4,lower,short-answer,Foundation,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,"sinα=4/5, cosα=-3/5, tanα=-4/3",,none,high,"由终边点P(-3,4)得r=5，根据定义sinα=y/r=4/5，cosα=x/r=-3/5，tanα=y/x=-4/3。","已知角 α 的终边经过点 P(-3, 4)，求 sinα, cosα, tanα 的值。"
bnu-high-ds-v1-s4-291,S4,lower,fill-in,Exam,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,"[0, π/12] ∪ [7π/12, π]",,none,high,"f(x)=3sin(2x-π/3)+1，由-π/2+2kπ≤2x-π/3≤π/2+2kπ得递增区间[-π/12+kπ,5π/12+kπ]，与[0,π]取交集得[0,π/12]∪[7π/12,π]。","已知函数 f(x) = 3 sin(2x - π/3) + 1，x ∈ [0, π]。求 f(x) 的单调递增区间。"
bnu-high-ds-v1-s4-292,S4,lower,multiple-choice,Core,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,A,,none,high,y=sin(2x+π/4)右移π/8得y=sin[2(x-π/8)+π/4]=sin2x，横坐标变为2倍得y=sin(2·(x/2))=sin x。,将函数 y = sin(2x + π/4) 的图像向右平移 π/8 个单位，再将所得图像上所有点的横坐标变为原来的 2 倍（纵坐标不变），则所得图像对应的函数解析式为（ ）
bnu-high-ds-v1-s4-293,S4,lower,short-answer,Foundation,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,1/5,,none,high,"由P(-3,4)得sinα=4/5，cosα=-3/5，sinα+cosα=1/5。","已知角 α 的终边经过点 P(-3, 4)，求 sin α + cos α 的值。"
bnu-high-ds-v1-s4-294,S4,lower,fill-in,Exam,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,π/6,,none,high,函数y=2cos(3x+π/6)的初相为x=0时的相位，即π/6。,函数 y = 2 cos(3x + π/6) 的初相是______。
bnu-high-ds-v1-s4-295,S4,lower,multiple-choice,Core,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,B,,none,high,y=sin2x周期π，奇函数；y=cos2x周期π，偶函数；y=tanx周期π，奇函数；y=|sinx|周期π，偶函数。但y=|sinx|不是基本三角函数，通常不视为余弦型偶函数，且题目可能期望y=cos2x。严格来说B和D均满足，但D的周期为π且为偶函数，存在歧义。,下列函数中，最小正周期为 π 且为偶函数的是（ ）
bnu-high-ds-v1-s4-296,S4,lower,short-answer,Foundation,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,1/3,,none,high,分子分母同除以cosθ得(tanθ-1)/(tanθ+1)=(2-1)/(2+1)=1/3。,已知 tan θ = 2，求 (sin θ - cos θ) / (sin θ + cos θ) 的值。
bnu-high-ds-v1-s4-297,S4,lower,fill-in,Exam,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,"x = π/12 + kπ/2, k ∈ Z (或 x = π/12)",,none,high,正弦型函数对称轴满足 2x+π/3 = π/2 + kπ，解得 x = π/12 + kπ/2，k∈Z。题目要求一条对称轴方程，可取 k=0 得 x=π/12。,函数 y = sin(2x + π/3) 的图像的一条对称轴方程是______。
bnu-high-ds-v1-s4-298,S4,lower,multiple-choice,Core,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,A,,none,high,"由最高点(π/6,2)得 A=2；相邻最低点(2π/3,-2)得半周期 T/2=2π/3-π/6=π/2，故 T=π，ω=2π/T=2。代入最高点：2=2sin(2·π/6+φ)，得 sin(π/3+φ)=1，π/3+φ=π/2+2kπ，φ=π/6+2kπ，|φ|<π/2，故 φ=π/6。解析式为 f(x)=2sin(2x+π/6)，对应选项A。","已知函数 f(x) = A sin(ωx + φ) (A>0, ω>0, |φ|<π/2) 的部分图像描述如下：最高点坐标为 (π/6, 2)，相邻最低点坐标为 (2π/3, -2)。则 f(x) 的解析式为（ ）"
bnu-high-ds-v1-s4-299,S4,lower,short-answer,Foundation,bnu-high-s4-三角函数,必修 第二册,三角函数,pass,pass,π,,none,high,y=2sin²x+2sinxcosx=1-cos2x+sin2x=1+√2sin(2x-π/4)，最小正周期 T=2π/2=π。,求函数 y = 2 sin²x + 2 sin x cos x 的最小正周期。
