"id","grade","topicId","type","remediationKind","originalAnswer","approvedAnswer","issueTags","manualReviewQueue","notes"
"bnu-junior-ds-v1-s2-488","S2","bnu-junior-s2-lower-parallelograms","short-answer","corrected-answer","√41","√41","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-489","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","4组","6组","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-490","S2","bnu-junior-s2-lower-parallelograms","short-answer","corrected-answer","14","2√37+2√13","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s2-493","S2","bnu-junior-s2-lower-parallelograms","multiple-choice","corrected-answer","∠A=∠C","AD=BC","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-002","S3","bnu-junior-s3-upper-special-parallelograms","short-answer","manual-override","证明：∵AF∥BC，∴∠AFE＝∠DCE，∠FAE＝∠CDE。又E是AD中点，∴AE＝DE。∴△AEF≌△DEC（AAS）。∴AF＝DC。又AF＝BD，∴BD＝DC，即D是BC中点。又AF∥BD且AF＝BD，∴四边形AFBD是平行四边形。∵AB＝AC，D是BC中点，∴AD⊥BC。∴∠ADB＝90°。∴平行四边形AFBD是矩形。","证明：∵AF∥BC，∴∠AFE＝∠DCE，∠FAE＝∠CDE。又E是AD中点，∴AE＝DE。∴△AEF≌△DEC（AAS）。∴AF＝DC。又AF＝BD，∴BD＝DC，即D是BC中点。又AF∥BD且AF＝BD，∴四边形AFBD是平行四边形。∵AB＝AC，D是BC中点，∴AD⊥BC。∴∠ADB＝90°。∴平行四边形AFBD是矩形。","missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s3-009","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","12/5","4/5","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-010","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","2","2","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-013","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","②③","②③","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-015","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","①③④","①③④","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-018","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","②③","②③","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-023","S3","bnu-junior-s3-upper-special-parallelograms","short-answer","corrected-answer","(1) 能。理由：两组对边分别相等的四边形是平行四边形。\n(2) 不能。补充条件：∠ABC=90°（或AC=BD等）。\n(3) 能。理由：对角线互相垂直且平分的四边形是菱形。\n(4) 能。理由：两组对边分别平行的四边形是平行四边形，又对角线相等，所以是矩形。","(1) 能。理由：两组对边分别相等的四边形是平行四边形。\n(2) 不能。补充条件：AB∥CD（或AD∥BC等）。\n(3) 能。理由：对角线互相垂直且平分的四边形是菱形。\n(4) 能。理由：两组对边分别平行的四边形是平行四边形，又对角线相等，所以是矩形。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-025","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","②④","②③","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-027","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","20","24","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-031","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","②和③","③和④","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-033","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","①③④","①③④","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-035","S3","bnu-junior-s3-upper-special-parallelograms","short-answer","corrected-answer","②,③","②,③","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-036","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","正方形","正方形","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-037","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","②③④","②③④","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-039","S3","bnu-junior-s3-upper-special-parallelograms","fill-in","corrected-answer","②和③","②和③","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-049","S3","bnu-junior-s3-upper-special-parallelograms","multiple-choice","corrected-answer","60°","75°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-051","S3","bnu-junior-s3-upper-quadratic-equations","fill-in","corrected-answer","2","2","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-062","S3","bnu-junior-s3-upper-quadratic-equations","short-answer","corrected-answer","(1) 证明：Δ = (2k+1)² - 4(k²+k) = 4k²+4k+1-4k²-4k = 1 > 0，故方程总有两个不相等的实数根。\n(2) k₁ = 0，k₂ = 1","(1) 证明：Δ = (2k+1)² - 4(k²+k) = 1 > 0，故方程总有两个不相等的实数根。\n(2) k = 1","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-065","S3","bnu-junior-s3-upper-quadratic-equations","short-answer","corrected-answer","(1) 证明：Δ = (2k+1)^2 - 4(k^2+k) = 4k^2+4k+1-4k^2-4k = 1 > 0，所以方程总有两个不相等的实数根。\n(2) k 的值为 1 或 -2。","(1) 证明：Δ = (2k+1)² - 4(k²+k) = 1 > 0，所以方程总有两个不相等的实数根。\n(2) k 的值为 1 或 -2。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-068","S3","bnu-junior-s3-upper-quadratic-equations","short-answer","corrected-answer","k ≤ 1 且 k ≠ 1","k < 1","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-122","S3","bnu-junior-s3-upper-probability-advanced","short-answer","corrected-answer","不公平，因为小明每次得分的期望值是0.5分，小亮每次得分的期望值是0.5分，但得分规则不同，实际上小明的期望得分是2×(1/4)=0.5，小亮的期望得分是1×(1/2)=0.5，期望值相等，但游戏规则中得分不同，需进一步分析。实际上，抛两枚硬币，两正概率1/4，一正一反概率1/2，其他1/4。小明期望得分2×1/4=0.5，小亮期望得分1×1/2=0.5，期望值相等，游戏公平。","公平，因为小明和小亮每次得分的期望值都是0.5分。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-131","S3","bnu-junior-s3-upper-probability-advanced","short-answer","corrected-answer","13/18","11/18","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-134","S3","bnu-junior-s3-upper-probability-advanced","short-answer","corrected-answer","4/15","1/5","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-154","S3","bnu-junior-s3-upper-similar-figures","multiple-choice","manual-override","AB/DE=BC/EF=AC/DF","AB/DE=BC/EF=AC/DF","ambiguous_mc | bad_options","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s3-167","S3","bnu-junior-s3-upper-similar-figures","short-answer","manual-override","2","2","unsolvable | missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s3-177","S3","bnu-junior-s3-upper-similar-figures","fill-in","corrected-answer","12","18.75 cm","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-178","S3","bnu-junior-s3-upper-similar-figures","multiple-choice","corrected-answer","△ADE与△ABC的面积比为4:25","△ADE与△ABC的面积比为4:25","ambiguous_mc | answer_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-199","S3","bnu-junior-s3-upper-similar-figures","multiple-choice","manual-override","7.5","10","duplicate-prompt-polish","no","S18 deterministic duplicate-prompt or explanation polish before approval."
"bnu-junior-ds-v1-s3-231","S3","bnu-junior-s3-upper-projection-views","fill-in","corrected-answer","8","4","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-237","S3","bnu-junior-s3-upper-projection-views","fill-in","corrected-answer","30 cm²","18 cm²","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-244","S3","bnu-junior-s3-upper-projection-views","multiple-choice","corrected-answer","42","36","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-250","S3","bnu-junior-s3-upper-projection-views","multiple-choice","manual-override","6个","8个","answer_mismatch | explanation_mismatch","yes","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s3-262","S3","bnu-junior-s3-upper-inverse-proportion","multiple-choice","corrected-answer","k 的值为 -6","当 x > 0 时，y 随 x 的增大而增大","ambiguous_mc | answer_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-267","S3","bnu-junior-s3-upper-inverse-proportion","fill-in","corrected-answer","48 ≤ x ≤ 60","48 ≤ x ≤ 60","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-346","S3","bnu-junior-s3-lower-right-triangle-trigonometry","multiple-choice","corrected-answer","10米","10米","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-349","S3","bnu-junior-s3-lower-right-triangle-trigonometry","multiple-choice","corrected-answer","15(3+√3)米","15(3+√3)米","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-357","S3","bnu-junior-s3-lower-quadratic-functions","fill-in","manual-override","二","二","missing_condition | answer_mismatch","yes","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s3-406","S3","bnu-junior-s3-lower-circle","multiple-choice","corrected-answer","5","5","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-419","S3","bnu-junior-s3-lower-circle","short-answer","corrected-answer","4√3","4","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-421","S3","bnu-junior-s3-lower-circle","multiple-choice","corrected-answer","8√3","8√3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-427","S3","bnu-junior-s3-lower-circle","multiple-choice","corrected-answer","60°","60°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-437","S3","bnu-junior-s3-lower-circle","short-answer","corrected-answer","30°","60°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s3-497","S3","bnu-junior-s3-lower-statistics-probability","multiple-choice","manual-override","1/4","1/4","duplicate-prompt-polish","no","S18 deterministic duplicate-prompt or explanation polish before approval."
