"questionId","reviewReason","grade","type","difficulty","topicId","chapter","promptZhHans","answer","explanationZhHans"
"hjb-high-ds-v3-s5-388","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0888：选择：空间向量 p=(8,3,2)，q=(1,1,1)，求 |p+q|²-|p|²。","29","|p+q|²-|p|²=2p·q+|q|²=2(8+3+2)+3=29。"
"hjb-high-ds-v3-s5-394","grade-pass-sample","S5","multiple-choice","Challenge","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0894：选择：空间向量 p=(6,10,3)，q=(1,1,1)，求 |p+q|²-|p|²。","41","|p+q|²-|p|²=2p·q+|q|²=2(6+10+3)+3=41。"
"hjb-high-ds-v3-s5-401","grade-pass-sample","S5","fill-in","Foundation","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0901：填空：空间向量 p=(7,9,2)，q=(1,1,1)，求 |p+q|²-|p|²。","39","|p+q|²-|p|²=2p·q+|q|²=2(7+9+2)+3=39。"
"hjb-high-ds-v3-s5-411","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-空间向量及其应用","空间向量及其应用","V3安全变式0911：填空：空间向量 p=(6,3,9)，q=(1,1,1)，求 |p+q|²-|p|²。","39","|p+q|²-|p|²=2p·q+|q|²=2(6+3+9)+3=39。"
"hjb-high-ds-v3-s5-432","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0932：选择：等差数列首项为 3，公差为 3，第 8 项为 24。求前 8 项和。","108","前 8 项和为 8×(3+24)/2=108。"
"hjb-high-ds-v3-s5-439","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-数列","数列","V3安全变式0939：填空：等差数列首项为 4，公差为 1，第 10 项为 13。求前 10 项和。","85","前 10 项和为 10×(4+13)/2=85。"
"hjb-high-ds-v3-s5-441","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-数列","数列","V3安全变式0941：填空：等差数列首项为 7，公差为 3，第 5 项为 19。求前 5 项和。","65","前 5 项和为 5×(7+19)/2=65。"
"hjb-high-ds-v3-s5-448","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0948：选择：等差数列首项为 3，公差为 4，第 6 项为 23。求前 6 项和。","78","前 6 项和为 6×(3+23)/2=78。"
"hjb-high-ds-v3-s5-463","grade-pass-sample","S5","fill-in","Core","hjb-high-s5-数列","数列","V3安全变式0963：填空：等差数列首项为 8，公差为 5，第 5 项为 28。求前 5 项和。","90","前 5 项和为 5×(8+28)/2=90。"
"hjb-high-ds-v3-s5-466","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0966：选择：等差数列首项为 6，公差为 6，第 7 项为 42。求前 7 项和。","168","前 7 项和为 7×(6+42)/2=168。"
"hjb-high-ds-v3-s5-477","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0977：选择：等差数列首项为 7，公差为 1，第 5 项为 11。求前 5 项和。","45","前 5 项和为 5×(7+11)/2=45。"
"hjb-high-ds-v3-s5-488","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0988：选择：等差数列首项为 5，公差为 2，第 9 项为 21。求前 9 项和。","117","前 9 项和为 9×(5+21)/2=117。"
"hjb-high-ds-v3-s5-489","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0989：选择：等差数列首项为 3，公差为 6，第 8 项为 45。求前 8 项和。","192","前 8 项和为 8×(3+45)/2=192。"
"hjb-high-ds-v3-s5-492","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0992：选择：等差数列首项为 5，公差为 5，第 9 项为 45。求前 9 项和。","225","前 9 项和为 9×(5+45)/2=225。"
"hjb-high-ds-v3-s5-493","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0993：选择：等差数列首项为 5，公差为 5，第 9 项为 45。求前 9 项和。","225","前 9 项和为 9×(5+45)/2=225。"
"hjb-high-ds-v3-s5-499","grade-pass-sample","S5","multiple-choice","Core","hjb-high-s5-数列","数列","V3安全变式0999：选择：等差数列首项为 5，公差为 2，第 10 项为 23。求前 10 项和。","140","前 10 项和为 10×(5+23)/2=140。"
"hjb-high-ds-v3-s6-011","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1011：填空：函数 f(x)=6x²+10x+5 在 x=3 处的切线与 y 轴交于点 (0,k)，求 k。","-49","f'(3)=46，切线截距 k=f(3)-f'(3)×3=-49。"
"hjb-high-ds-v3-s6-019","grade-pass-sample","S6","multiple-choice","Foundation","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1019：选择：函数 f(x)=3x²+8x+9 在 x=7 处的切线与 y 轴交于点 (0,k)，求 k。","-138","f'(7)=50，切线截距 k=f(7)-f'(7)×7=-138。"
"hjb-high-ds-v3-s6-033","grade-pass-sample","S6","short-answer","Core","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1033：解答：函数 f(x)=5x²+10x+2 在 x=4 处的切线与 y 轴交于点 (0,k)，求 k。","-78","f'(4)=50，切线截距 k=f(4)-f'(4)×4=-78。"
"hjb-high-ds-v3-s6-046","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1046：选择：函数 f(x)=8x²+4x+8 在 x=5 处的切线与 y 轴交于点 (0,k)，求 k。","-192","f'(5)=84，切线截距 k=f(5)-f'(5)×5=-192。"
"hjb-high-ds-v3-s6-048","grade-pass-sample","S6","short-answer","Exam","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1048：解答：函数 f(x)=8x²+11x+6 在 x=5 处的切线与 y 轴交于点 (0,k)，求 k。","-194","f'(5)=91，切线截距 k=f(5)-f'(5)×5=-194。"
"hjb-high-ds-v3-s6-058","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1058：选择：函数 f(x)=6x²+4x+2 在 x=4 处的切线与 y 轴交于点 (0,k)，求 k。","-94","f'(4)=52，切线截距 k=f(4)-f'(4)×4=-94。"
"hjb-high-ds-v3-s6-059","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1059：填空：函数 f(x)=5x²+7x+7 在 x=6 处的切线与 y 轴交于点 (0,k)，求 k。","-173","f'(6)=67，切线截距 k=f(6)-f'(6)×6=-173。"
"hjb-high-ds-v3-s6-060","grade-pass-sample","S6","short-answer","Exam","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1060：解答：函数 f(x)=4x²+11x+9 在 x=6 处的切线与 y 轴交于点 (0,k)，求 k。","-135","f'(6)=59，切线截距 k=f(6)-f'(6)×6=-135。"
"hjb-high-ds-v3-s6-063","grade-pass-sample","S6","short-answer","Foundation","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1063：解答：函数 f(x)=6x²+10x+9 在 x=3 处的切线与 y 轴交于点 (0,k)，求 k。","-45","f'(3)=46，切线截距 k=f(3)-f'(3)×3=-45。"
"hjb-high-ds-v3-s6-070","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-导数及其运用","导数及其运用","V3安全变式1070：选择：函数 f(x)=4x²+7x+4 在 x=4 处的切线与 y 轴交于点 (0,k)，求 k。","-60","f'(4)=39，切线截距 k=f(4)-f'(4)×4=-60。"
"hjb-high-ds-v3-s6-079","grade-pass-sample","S6","multiple-choice","Foundation","hjb-high-s6-计数原理","计数原理","V3安全变式1079：选择：从 13 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","858","先选 2 名负责人有 C(13,2) 种，再选记录员有 11 种，共 858 种。"
"hjb-high-ds-v3-s6-083","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-计数原理","计数原理","V3安全变式1083：填空：从 11 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","495","先选 2 名负责人有 C(11,2) 种，再选记录员有 9 种，共 495 种。"
"hjb-high-ds-v3-s6-084","grade-pass-sample","S6","short-answer","Exam","hjb-high-s6-计数原理","计数原理","V3安全变式1084：解答：从 14 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","1092","先选 2 名负责人有 C(14,2) 种，再选记录员有 12 种，共 1092 种。"
"hjb-high-ds-v3-s6-099","grade-pass-sample","S6","short-answer","Foundation","hjb-high-s6-计数原理","计数原理","V3安全变式1099：解答：从 9 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","252","先选 2 名负责人有 C(9,2) 种，再选记录员有 7 种，共 252 种。"
"hjb-high-ds-v3-s6-107","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-计数原理","计数原理","V3安全变式1107：填空：从 9 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","252","先选 2 名负责人有 C(9,2) 种，再选记录员有 7 种，共 252 种。"
"hjb-high-ds-v3-s6-113","grade-pass-sample","S6","fill-in","Core","hjb-high-s6-计数原理","计数原理","V3安全变式1113：填空：从 8 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","168","先选 2 名负责人有 C(8,2) 种，再选记录员有 6 种，共 168 种。"
"hjb-high-ds-v3-s6-134","grade-pass-sample","S6","fill-in","Challenge","hjb-high-s6-计数原理","计数原理","V3安全变式1134：填空：从 10 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","360","先选 2 名负责人有 C(10,2) 种，再选记录员有 8 种，共 360 种。"
"hjb-high-ds-v3-s6-148","grade-pass-sample","S6","multiple-choice","Exam","hjb-high-s6-计数原理","计数原理","V3安全变式1148：选择：从 18 名同学中选 2 名负责人，再从剩余同学中选 1 名记录员，共有多少种不同安排？","2448","先选 2 名负责人有 C(18,2) 种，再选记录员有 16 种，共 2448 种。"
"hjb-high-ds-v3-s6-153","grade-pass-sample","S6","short-answer","Core","hjb-high-s6-概率初步续","概率初步续","V3安全变式1153：解答：一次独立试验成功的概率为 7/24，连续独立试验 2 次。求恰好成功 1 次的概率。","119/288","恰好成功 1 次的概率为 2×7/24×17/24=119/288。"
"hjb-high-ds-v3-s6-156","grade-pass-sample","S6","short-answer","Exam","hjb-high-s6-概率初步续","概率初步续","V3安全变式1156：解答：一次独立试验成功的概率为 7/24，连续独立试验 2 次。求恰好成功 1 次的概率。","119/288","恰好成功 1 次的概率为 2×7/24×17/24=119/288。"
"hjb-high-ds-v3-s6-158","grade-pass-sample","S6","fill-in","Challenge","hjb-high-s6-概率初步续","概率初步续","V3安全变式1158：填空：一次独立试验成功的概率为 6/23，连续独立试验 2 次。求恰好成功 1 次的概率。","204/529","恰好成功 1 次的概率为 2×6/23×17/23=204/529。"
"hjb-high-ds-v3-s6-160","grade-pass-sample","S6","multiple-choice","Exam","hjb-high-s6-概率初步续","概率初步续","V3安全变式1160：选择：一次独立试验成功的概率为 1/11，连续独立试验 2 次。求恰好成功 1 次的概率。","20/121","恰好成功 1 次的概率为 2×1/11×10/11=20/121。"
"hjb-high-ds-v3-s6-185","grade-pass-sample","S6","fill-in","Core","hjb-high-s6-概率初步续","概率初步续","V3安全变式1185：填空：一次独立试验成功的概率为 4/14，连续独立试验 2 次。求恰好成功 1 次的概率。","20/49","恰好成功 1 次的概率为 2×4/14×10/14=20/49。"
"hjb-high-ds-v3-s6-194","grade-pass-sample","S6","fill-in","Challenge","hjb-high-s6-概率初步续","概率初步续","V3安全变式1194：填空：一次独立试验成功的概率为 5/14，连续独立试验 2 次。求恰好成功 1 次的概率。","45/98","恰好成功 1 次的概率为 2×5/14×9/14=45/98。"
"hjb-high-ds-v3-s6-196","grade-pass-sample","S6","multiple-choice","Exam","hjb-high-s6-概率初步续","概率初步续","V3安全变式1196：选择：一次独立试验成功的概率为 5/19，连续独立试验 2 次。求恰好成功 1 次的概率。","140/361","恰好成功 1 次的概率为 2×5/19×14/19=140/361。"
"hjb-high-ds-v3-s6-212","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-概率初步续","概率初步续","V3安全变式1212：填空：一次独立试验成功的概率为 2/13，连续独立试验 2 次。求恰好成功 1 次的概率。","44/169","恰好成功 1 次的概率为 2×2/13×11/13=44/169。"
"hjb-high-ds-v3-s6-225","grade-pass-sample","S6","short-answer","Core","hjb-high-s6-概率初步续","概率初步续","V3安全变式1225：解答：一次独立试验成功的概率为 2/12，连续独立试验 2 次。求恰好成功 1 次的概率。","5/18","恰好成功 1 次的概率为 2×2/12×10/12=5/18。"
"hjb-high-ds-v3-s6-231","grade-pass-sample","S6","short-answer","Core","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1231：解答：一组数据为 8，11，14，若再加入一个数 x 后，四个数平均数比原平均数大 4，求 x。","27","原平均数为 11，新平均数为 15，故 x=4×15-8-11-14=27。"
"hjb-high-ds-v3-s6-241","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1241：选择：一组数据为 6，8，10，若再加入一个数 x 后，四个数平均数比原平均数大 5，求 x。","28","原平均数为 8，新平均数为 13，故 x=4×13-6-8-10=28。"
"hjb-high-ds-v3-s6-248","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1248：填空：一组数据为 6，15，24，若再加入一个数 x 后，四个数平均数比原平均数大 3，求 x。","27","原平均数为 15，新平均数为 18，故 x=4×18-6-15-24=27。"
"hjb-high-ds-v3-s6-255","grade-pass-sample","S6","short-answer","Core","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1255：解答：一组数据为 5，11，17，若再加入一个数 x 后，四个数平均数比原平均数大 4，求 x。","27","原平均数为 11，新平均数为 15，故 x=4×15-5-11-17=27。"
"hjb-high-ds-v3-s6-260","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1260：填空：一组数据为 3，8，13，若再加入一个数 x 后，四个数平均数比原平均数大 2，求 x。","16","原平均数为 8，新平均数为 10，故 x=4×10-3-8-13=16。"
"hjb-high-ds-v3-s6-272","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1272：填空：一组数据为 8，11，14，若再加入一个数 x 后，四个数平均数比原平均数大 5，求 x。","31","原平均数为 11，新平均数为 16，故 x=4×16-8-11-14=31。"
"hjb-high-ds-v3-s6-290","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1290：填空：一组数据为 5，14，23，若再加入一个数 x 后，四个数平均数比原平均数大 5，求 x。","34","原平均数为 14，新平均数为 19，故 x=4×19-5-14-23=34。"
"hjb-high-ds-v3-s6-299","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-成对数据的统计分析","成对数据的统计分析","V3安全变式1299：填空：一组数据为 2，6，10，若再加入一个数 x 后，四个数平均数比原平均数大 5，求 x。","26","原平均数为 6，新平均数为 11，故 x=4×11-2-6-10=26。"
"hjb-high-ds-v3-s6-304","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-数列综合复习","数列","V3安全变式1304：选择：等差数列首项为 3，公差为 2，第 6 项为 13。求前 6 项和。","48","前 6 项和为 6×(3+13)/2=48。"
"hjb-high-ds-v3-s6-307","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-数列综合复习","数列","V3安全变式1307：选择：等差数列首项为 3，公差为 4，第 9 项为 35。求前 9 项和。","171","前 9 项和为 9×(3+35)/2=171。"
"hjb-high-ds-v3-s6-329","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-解析几何直线综合复习","平面直角坐标系中的直线","V3安全变式1329：填空：直线 l 经过点 (4,9) 和 (5,14)。直线 m 与 l 平行，且经过点 (0,5)。求直线 m 在 x=2 时的 y 坐标。","15","l 的斜率为 (14-9)/(5-4)=5，m 的方程为 y=5x+5，代入 x=2 得 15。"
"hjb-high-ds-v3-s6-370","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-圆锥曲线综合复习","圆锥曲线","V3安全变式1370：选择：椭圆 x²/256+y²/144=1 的两个焦点为 F1，F2。求 |F1F2|²。","448","c²=256-144=112，焦距为 2c，所以 |F1F2|²=4c²=448。"
"hjb-high-ds-v3-s6-399","grade-pass-sample","S6","fill-in","Core","hjb-high-s6-空间向量综合复习","空间向量及其应用","V3安全变式1399：填空：空间向量 p=(2,7,6)，q=(1,1,1)，求 |p+q|²-|p|²。","33","|p+q|²-|p|²=2p·q+|q|²=2(2+7+6)+3=33。"
"hjb-high-ds-v3-s6-401","grade-pass-sample","S6","fill-in","Foundation","hjb-high-s6-函数-导数与不等式综合","跨册综合：函数与导数","V3安全变式1401：填空：求不等式组 x+6>6，x≤7 的整数解个数。","7","由 x+6>6 得 x>0，整数 x 可取 1 到 7，共 7 个。"
"hjb-high-ds-v3-s6-415","grade-pass-sample","S6","fill-in","Challenge","hjb-high-s6-函数-导数与不等式综合","跨册综合：函数与导数","V3安全变式1415：填空：求不等式组 x+8>5，x≤5 的整数解个数。","8","由 x+8>5 得 x>-3，整数 x 可取 -2 到 5，共 8 个。"
"hjb-high-ds-v3-s6-424","grade-pass-sample","S6","multiple-choice","Challenge","hjb-high-s6-三角-向量与解析几何综合","跨册综合：三角向量解析几何","V3安全变式1424：选择：在三角形 ABC 中，AB=8，AC=4，且 ∠A=60°。求 BC²。","48","由余弦定理，BC²=8²+4²-2×8×4×cos60°=48。"
"hjb-high-ds-v3-s6-452","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-立体几何与空间向量综合","跨册综合：立体几何与空间向量","V3安全变式1452：选择：长方体中同一顶点出发的三条互相垂直棱长分别为 4、11、6。求含有长为 4 的棱的两个相邻面的面积之和。","68","两个相邻面面积分别为 4×11 和 4×6，面积之和为 68。"
"hjb-high-ds-v3-s6-462","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-概率统计综合","跨册综合：概率统计","V3安全变式1462：选择：袋中有 8 个红球和 12 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","14/95","概率为 8/20×7/19=14/95。"
"hjb-high-ds-v3-s6-480","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-概率统计综合","跨册综合：概率统计","V3安全变式1480：选择：袋中有 7 个红球和 5 个蓝球，不放回连续取出 2 个。求两次都取到红球的概率。","7/22","概率为 7/12×6/11=7/22。"
"hjb-high-ds-v3-s6-483","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-数列与计数综合","跨册综合：数列与计数","V3安全变式1483：选择：等差数列首项为 8，公差为 4，第 6 项为 28。求前 6 项和。","108","前 6 项和为 6×(8+28)/2=108。"
"hjb-high-ds-v3-s6-484","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-数列与计数综合","跨册综合：数列与计数","V3安全变式1484：选择：等差数列首项为 4，公差为 4，第 7 项为 28。求前 7 项和。","112","前 7 项和为 7×(4+28)/2=112。"
"hjb-high-ds-v3-s6-492","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-数列与计数综合","跨册综合：数列与计数","V3安全变式1492：选择：等差数列首项为 7，公差为 1，第 7 项为 13。求前 7 项和。","70","前 7 项和为 7×(7+13)/2=70。"
"hjb-high-ds-v3-s6-495","grade-pass-sample","S6","multiple-choice","Core","hjb-high-s6-数列与计数综合","跨册综合：数列与计数","V3安全变式1495：选择：等差数列首项为 8，公差为 4，第 5 项为 24。求前 5 项和。","80","前 5 项和为 5×(8+24)/2=80。"
