candidateIndex,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationType,priority,promptZhHans,answer,generationBriefZhHans,copyrightSafetyZhHans,sourceAuditNeed,reviewStatus
143,hjb-junior-ds-v2-s1-445,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD = BD。若∠BAD = 30°，求∠C的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-445 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
144,hjb-junior-ds-v2-s1-446,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在BC上，且AD⊥BC。若∠BAD=28°，则∠BAC的度数为（ ）。,56°,为沪教版初中数学题 hjb-junior-ds-v2-s1-446 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
145,hjb-junior-ds-v2-s1-448,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，已知AB=AC，∠A=40°，点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-448 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
146,hjb-junior-ds-v2-s1-449,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,已知线段AB的垂直平分线MN交AB于点O，点P在MN上。若PA=5cm，则PB=______cm。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-449 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
147,hjb-junior-ds-v2-s1-450,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D是BC的中点，连接AD。下列说法错误的是（ ）。,AD⊥BC,为沪教版初中数学题 hjb-junior-ds-v2-s1-450 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
148,hjb-junior-ds-v2-s1-451,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，已知AB=AC，∠A=50°，点D在边BC上，且AD平分∠BAC。求∠BAD的度数。,25°,为沪教版初中数学题 hjb-junior-ds-v2-s1-451 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
149,hjb-junior-ds-v2-s1-452,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD=35°，则∠C的度数为（ ）,55°,为沪教版初中数学题 hjb-junior-ds-v2-s1-452 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
150,hjb-junior-ds-v2-s1-453,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=50°，点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,90,为沪教版初中数学题 hjb-junior-ds-v2-s1-453 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
151,hjb-junior-ds-v2-s1-454,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD⊥BC。若∠BAD = 35°，则∠BAC的度数为（ ）,70°,为沪教版初中数学题 hjb-junior-ds-v2-s1-454 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
152,hjb-junior-ds-v2-s1-455,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=50°。点D在边BC上，且AD平分∠BAC。求∠ADC的度数。,90,为沪教版初中数学题 hjb-junior-ds-v2-s1-455 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
153,hjb-junior-ds-v2-s1-456,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，已知AB＝AC，点D在边BC上，且AD平分∠BAC。若∠B＝40°，求∠ADC的度数。,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-456 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
154,hjb-junior-ds-v2-s1-457,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB = AC，D为BC的中点，连接AD。若∠BAD = 35°，求∠B的度数。,55°,为沪教版初中数学题 hjb-junior-ds-v2-s1-457 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
155,hjb-junior-ds-v2-s1-458,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，已知AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC的度数为（ ）,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-458 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
156,hjb-junior-ds-v2-s1-459,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD = 34°，则∠B的度数为______°。,56,为沪教版初中数学题 hjb-junior-ds-v2-s1-459 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
157,hjb-junior-ds-v2-s1-460,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC的度数为（ ）,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-460 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
158,hjb-junior-ds-v2-s1-465,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在等腰三角形ABC中，AB = AC，过点B作腰AC的垂线，垂足为H。若∠ABH = 20°，则顶角∠A的度数可能是______°。（写出所有可能的值，用逗号分隔）,"40,140",为沪教版初中数学题 hjb-junior-ds-v2-s1-465 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
159,hjb-junior-ds-v2-s1-466,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△PQR中，PQ = PR，∠P = 80°，点S在边QR上，且PS平分∠QPR。求∠PSQ的度数。,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-466 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
160,hjb-junior-ds-v2-s1-467,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC = ______度。,90,为沪教版初中数学题 hjb-junior-ds-v2-s1-467 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
161,hjb-junior-ds-v2-s1-468,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，∠A = 40°。点D在边BC上，且AD = BD。求∠DAC的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-468 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
162,hjb-junior-ds-v2-s1-469,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,在△ABC中，AB = AC，∠B = 70°，点D在边AC上，且AD = BD。求∠DBC的度数。,30,为沪教版初中数学题 hjb-junior-ds-v2-s1-469 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
163,hjb-junior-ds-v2-s1-470,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在边BC上，且AD⊥BC，垂足为D。若∠BAD=32°，则∠C的度数为（ ）,58°,为沪教版初中数学题 hjb-junior-ds-v2-s1-470 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
164,hjb-junior-ds-v2-s1-475,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,fill-in,Core,geometry-diagram,P1,已知线段AB的垂直平分线MN交AB于点O，点P在MN上，且PA=5，则PB=______。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-475 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
165,hjb-junior-ds-v2-s1-476,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=40°，边AC的垂直平分线交AB于点D，连接CD。求∠BCD的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-476 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
166,hjb-junior-ds-v2-s1-478,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=80°，点D在边BC上，且AD=BD。求∠DAC的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-478 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
167,hjb-junior-ds-v2-s1-480,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=36°，点D在边AC上，且BD=BC。求∠DBC的度数。,36°,为沪教版初中数学题 hjb-junior-ds-v2-s1-480 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
168,hjb-junior-ds-v2-s1-481,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD = BD。若∠BAD = 50°，求∠DAC的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-481 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
169,hjb-junior-ds-v2-s1-482,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在三角形ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。若∠B = 50°，则∠ADC的度数为（ ）,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-482 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
170,hjb-junior-ds-v2-s1-483,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在BC边上，且AD平分∠BAC。若∠B=50°，则∠ADC的度数为（ ）,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-483 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
171,hjb-junior-ds-v2-s1-484,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。下列条件中，能判定△ABD是等腰三角形的是（ ）,BD = AD,为沪教版初中数学题 hjb-junior-ds-v2-s1-484 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
172,hjb-junior-ds-v2-s1-485,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在边BC上，且AD平分∠BAC。点E在边AB上，点F在边AC上，且DE=DF。下列条件中，能推出△BDE≌△CDF的是（ ）,BD=CD,为沪教版初中数学题 hjb-junior-ds-v2-s1-485 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
173,hjb-junior-ds-v2-s1-486,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，D是BC的中点，连接AD。若∠B = 50°，则∠BAD的度数为（ ）,40°,为沪教版初中数学题 hjb-junior-ds-v2-s1-486 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
174,hjb-junior-ds-v2-s1-487,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 70°，则∠ADC的度数为（ ）,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-487 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
175,hjb-junior-ds-v2-s1-488,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△PQR中，PQ = PR，∠P = 80°，点S在边QR上，且PS = SQ。求∠SPR的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-488 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
176,hjb-junior-ds-v2-s1-489,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=100°。点D在边BC上，求∠DBC的度数。,40°,为沪教版初中数学题 hjb-junior-ds-v2-s1-489 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
177,hjb-junior-ds-v2-s1-490,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，∠A = 100°，点D在BC的延长线上，且AD = AC。则∠D的度数为（ ）,20°,为沪教版初中数学题 hjb-junior-ds-v2-s1-490 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
178,hjb-junior-ds-v2-s1-491,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠B=70°，点D在边AC上，且BD平分∠ABC。求∠BDC的度数。,75°,为沪教版初中数学题 hjb-junior-ds-v2-s1-491 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
179,hjb-junior-ds-v2-s1-492,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在边BC上，且AD⊥BC。若∠BAD=25°，求∠B的度数。,65°,为沪教版初中数学题 hjb-junior-ds-v2-s1-492 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
180,hjb-junior-ds-v2-s1-493,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=80°，点D在边AB上，且CD=CB。求∠ACD的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-493 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
181,hjb-junior-ds-v2-s1-494,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=80°。点D在边BC上，且AD=BD。求∠DAC的度数。,30°,为沪教版初中数学题 hjb-junior-ds-v2-s1-494 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
182,hjb-junior-ds-v2-s1-495,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，点D在边AC上，且AD=BD=BC。求∠A的度数。,36°,为沪教版初中数学题 hjb-junior-ds-v2-s1-495 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
183,hjb-junior-ds-v2-s1-496,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，D是BC的中点，连接AD。若∠B = 65°，求∠BAD的度数。,25°,为沪教版初中数学题 hjb-junior-ds-v2-s1-496 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
184,hjb-junior-ds-v2-s1-497,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB = AC，点D在边BC上，且AD平分∠BAC。已知∠B = 50°，求∠ADC的度数。,90°,为沪教版初中数学题 hjb-junior-ds-v2-s1-497 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
185,hjb-junior-ds-v2-s1-498,S1,lower,七年级下册,等腰三角形,hjb-junior-s1-lower-isosceles-triangles,multiple-choice,Core,geometry-diagram,P1,在△ABC中，AB=AC，∠A=40°，点D在边BC上，且AD平分∠BAC。点E在边AB上，点F在边AC上，且DE=DF。添加下列哪个条件后，仍无法判定△BDE≌△CDF？,BD=CD,为沪教版初中数学题 hjb-junior-ds-v2-s1-498 绘制原创题目插图，单元「等腰三角形」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
