ke_behavior_ids,ke_context,ke_context_behavior_count,ke_behavior_summary,ke_assessment_signal,mais_event_name_proposed,mais_source_proposed,mais_current_source_fallback,payload_fields_proposed,xapi_verb,xapi_object_type,privacy_tier,model_consumers,implementation_owner
129,WTB — When Things Break Down,13 behaviors,Open WTB modal,Engagement with troubleshooting mode; causal thinking orientation,wtb.opened_or_viewed,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,experienced,Activity,P2 assessment-inference,bloom-depth|engagement-hmm|strategy-profile,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
130–131,WTB — When Things Break Down,13 behaviors,Select presets (Engineering/Biological/Social/etc.) vs. skip preferences,Domain preference; self-awareness of learning context,wtb.selected,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,interacted,Activity,P2 assessment-inference,strategy-profile|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
132,WTB — When Things Break Down,13 behaviors,Dwell time reading breakdown scenario before first action,Comprehension effort; careful reading vs. rushing to diagnose,wtb.dwell_recorded,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,experienced,Activity,P2 assessment-inference,learning-analytics-summary,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
133,WTB — When Things Break Down,13 behaviors,Expand evidence clues (type + order + total expanded),Evidence-gathering strategy; systematic vs. selective reading,wtb.opened_or_viewed,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,interacted,Activity,P2 assessment-inference,strategy-profile,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
134,WTB — When Things Break Down,13 behaviors,"Ask diagnostic investigation questions (turn count, clues read at time of asking)",Investigative depth; ability to formulate targeted diagnostic queries,wtb.dwell_recorded,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,asked,Activity,P2 assessment-inference,bloom-depth,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
135,WTB — When Things Break Down,13 behaviors,Switch to diagnosis mode (investigation turns + clues expanded at switch),Readiness calibration; how much evidence gathered before committing,wtb.opened_or_viewed,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,answered/diagnosed,Activity,P2 assessment-inference,learning-analytics-summary,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
136–137,WTB — When Things Break Down,13 behaviors,"Compose & submit root cause diagnosis (text length, composition time, `wentDirectToDiagnose`)",Causal reasoning quality; overconfidence if direct without investigation,wtb.dwell_recorded,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,answered/diagnosed,Activity,P3 learner-generated-content (store hashes/scores by default),bloom-depth,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
138,WTB — When Things Break Down,13 behaviors,Diagnosis accuracy verdict (correct / partial / incorrect + reasoning depth),Direct measure of Apply/Analyze Bloom's levels ; mechanism vs. symptom identification,wtb.response_submitted,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,answered/diagnosed,Activity,P2 assessment-inference,bloom-depth,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
139,WTB — When Things Break Down,13 behaviors,Retry diagnosis vs. continue to discussion,Metacognitive calibration; persistence after failure,wtb.response_submitted,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,answered/diagnosed,Activity,P2 assessment-inference,engagement-hmm|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
140–141,WTB — When Things Break Down,13 behaviors,"Post-verdict discussion turns; close WTB (session duration, phase at close)",Post-diagnosis conceptual integration; depth of follow-through,wtb.dwell_recorded,wtb,practice|assessment,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|scenarioId?|clueIds?|diagnosisVerdict?|reasoningDepthScore?|wentDirectToDiagnose?,interacted,Activity,P2 assessment-inference,learning-analytics-summary,S08 analytics/types|S15 adaptive semantics|S04 practice/assessment surface|S12 event API/LRS
142,Wonderment — Curiosity to Insight,17 behaviors,Open Wonderment modal,Orientation toward inquiry-based learning,wonderment.opened_or_viewed,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,experienced,Activity,P2 assessment-inference,strategy-profile,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
143–146,Wonderment — Curiosity to Insight,17 behaviors,Select inquiry lens presets; add custom instructions; toggle fresh generation,Metacognitive awareness of own learning preferences; preference for novelty,wonderment.selected,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),strategy-profile,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
147–148,Wonderment — Curiosity to Insight,17 behaviors,View observations list; dwell before selecting,Reflective reading — long dwell = careful consideration of which curiosity resonates,wonderment.dwell_recorded,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,experienced,Activity,P2 assessment-inference,engagement-hmm,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
149,Wonderment — Curiosity to Insight,17 behaviors,Write own custom observation (`compositionMs`),Independence signal — self-directed inquiry; has existing curiosity the AI didn't surface,wonderment.response_submitted,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),strategy-profile|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
150,Wonderment — Curiosity to Insight,17 behaviors,View academic reframing of observation,Exposure to disciplinary framing; field label provides vocabulary scaffolding,wonderment.opened_or_viewed,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,experienced,Activity,P2 assessment-inference,learning-analytics-summary,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
151,Wonderment — Curiosity to Insight,17 behaviors,Select genius question (`type` + `geniusDwellMs`),"Question type reveals thinking preference; long dwell = deliberate; ""paradox"" and ""inversion"" types correlate with higher-order thinking",wonderment.dwell_recorded,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,asked,Activity,P2 assessment-inference,bloom-depth|engagement-hmm|strategy-profile|ai-collaboration,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
152,Wonderment — Curiosity to Insight,17 behaviors,Navigate back to genius questions (with draft),Metacognitive self-correction — critical self-assessment; intellectual honesty,wonderment.navigate_back_to_genius_questions_with_dra,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|questionId?|questionDepthScore?|questionTextHash?|suggestedPromptUsed?|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,asked,Activity,P2 assessment-inference,knowledge-state|concept-mastery,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
153,Wonderment — Curiosity to Insight,17 behaviors,Compose and submit answer (`compositionMs`),Long composition = genuine engagement; short = low effort or overconfidence,wonderment.response_submitted,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?|itemId?|difficulty?|correct?|responseChanged?|attemptIndex?,answered/diagnosed,Activity,P3 learner-generated-content (store hashes/scores by default),engagement-hmm,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
154–155,Wonderment — Curiosity to Insight,17 behaviors,Read critics' panel (`criticsDwellMs`); request synthesis,Long `criticsDwellMs` = open to critique; rushing = seeking validation not learning,wonderment.dwell_recorded,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,experienced,Activity,P2 assessment-inference,engagement-hmm,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
156,Wonderment — Curiosity to Insight,17 behaviors,Read synthesis and wonderment moment (`synthesisDwellMs`),Conceptual integration signal — longest dwell indicates concept has been genuinely reframed,wonderment.dwell_recorded,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,experienced,Activity,P2 assessment-inference,engagement-hmm,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
157–158,Wonderment — Curiosity to Insight,17 behaviors,"Restart / close (`phase` at close, `didReachSynthesis`)",Drop-off phase identifies most difficult or disengaging step; completion = full inquiry arc traversed,wonderment.closed_or_abandoned,wonderment,lesson|ai-tutor,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|inquiryId?|phase?|questionType?|criticsDwellMs?|synthesisDwellMs?,interacted,Activity,P2 assessment-inference,learning-analytics-summary,S08 analytics/types|S15 adaptive semantics|S07 ai tutor provider behavior|S05 lesson surface|S12 event API/LRS
92,"Lecture, Resources, & Learning Path",26 behaviors,Slide dwell time,Content processing; long on complex slides = careful reading,lesson_resource.dwell_recorded,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P1 behavioral-process,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
93,"Lecture, Resources, & Learning Path",26 behaviors,Lecture slide navigation (linear vs. backtracking),Didn't understand on first pass = re-processing need,lesson_resource.path_recorded,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
94,"Lecture, Resources, & Learning Path",26 behaviors,Complete lecture (all slides),Commitment to structured content,lesson_resource.complete_lecture_all_slides,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,completed,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
96,"Lecture, Resources, & Learning Path",26 behaviors,Abandon lecture midway,Content mismatch; boredom; frustration,lesson_resource.closed_or_abandoned,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P1 behavioral-process,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
99–100,"Lecture, Resources, & Learning Path",26 behaviors,Resource type filter; click external link,"Learning modality: video=visual, article=textual, tutorial=hands-on",lesson_resource.opened_or_viewed,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
103–104,"Lecture, Resources, & Learning Path",26 behaviors,"""Suggest Learning Order""; ""Where Should I Start?""",Orientation need; self-regulation level,lesson_resource.suggest_learning_order_where_should_i_star,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
105,"Lecture, Resources, & Learning Path",26 behaviors,Follow vs. deviate from suggested path,Compliance vs. self-directed exploration,lesson_resource.path_recorded,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P1 behavioral-process,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
107,"Lecture, Resources, & Learning Path",26 behaviors,Mark nodes complete,Self-monitoring; progress tracking disposition,lesson_resource.mark_nodes_complete,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|nodeType?|edgeType?|layout?|zoomLevel?,completed,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
108,"Lecture, Resources, & Learning Path",26 behaviors,Complete out of order (before prerequisites),Knowledge overconfidence; skips foundations,lesson_resource.complete_out_of_order_before_prerequisites,lesson,lesson,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,completed,Activity,P0 operational-interaction,knowledge-state|concept-mastery|strategy-profile,S08 analytics/types|S05 lesson surface|S12 event API/LRS
109–112,"Tab Management, Session & Dashboard",20 behaviors,Open/switch/close tabs; concurrent tab count,Comparative learning; simultaneous concept exploration,session.opened_or_viewed,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P0 operational-interaction,engagement-hmm,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
115,"Tab Management, Session & Dashboard",20 behaviors,Total session duration,Overall engagement depth,session.dwell_recorded,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P1 behavioral-process,engagement-hmm,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
116,"Tab Management, Session & Dashboard",20 behaviors,Return visit patterns,Commitment; sustained motivation; spaced repetition,session.return_visit_patterns,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,engagement-hmm|ai-collaboration|growth-trajectory|class-context,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
117–118,"Tab Management, Session & Dashboard",20 behaviors,Dashboard visits; expand domains,Metacognitive reflection; progress awareness,session.setup_submitted,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?,interacted,Activity,P0 operational-interaction,engagement-hmm,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
121,"Tab Management, Session & Dashboard",20 behaviors,"""Learn Again"" re-engagement",Spaced repetition awareness; optimal strategy,session.reengaged,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,reviewed,Activity,P0 operational-interaction,engagement-hmm|strategy-profile|growth-trajectory|class-context,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
122,"Tab Management, Session & Dashboard",20 behaviors,"View ""How Am I Doing?"" analytics",Self-monitoring; metacognitive engagement,session.opened_or_viewed,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,experienced,Activity,P0 operational-interaction,engagement-hmm,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
125–128,"Tab Management, Session & Dashboard",20 behaviors,Class enrollment; curriculum adherence; pace,Social context; structured vs. self-directed learning,session.class_enrollment_curriculum_adherence_pace,session,dashboard|navigation|progress,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId,interacted,Activity,P0 operational-interaction,engagement-hmm|strategy-profile,S08 analytics/types|S02 dashboard/profile|S12 event API/LRS
