questionId,grade,topicId,type,storedAnswer,acceptedAnswers,independentAnswer,solvableStatus,answerMatchStatus,confidence,issueType,recommendedAction,singleReviewApplied,note
pep-primary-p1-u-mc-001,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 14-11=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-046,P2,pep-primary-p2-upper-multiplication-arrays,multiple-choice,32,,32,pass,pass,high,none,pass,false,Stage A: 8组每组4个，8×4=32，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-047,P2,pep-primary-p2-upper-multiplication-arrays,multiple-choice,63,,63,pass,pass,high,none,pass,false,Stage A: 9组每组7个，9×7=63，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-048,P2,pep-primary-p2-upper-multiplication-arrays,multiple-choice,4,,4,pass,pass,high,none,pass,false,Stage A: 2组每组2个，2×2=4，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-049,P2,pep-primary-p2-upper-multiplication-arrays,multiple-choice,15,,15,pass,pass,high,none,pass,false,Stage A: 3组每组5个，3×5=15，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-050,P2,pep-primary-p2-upper-multiplication-arrays,multiple-choice,32,,32,pass,pass,high,none,pass,false,Stage A: 4组每组8个，4×8=32，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-051,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,92厘米,,92厘米,pass,pass,high,none,pass,false,Stage A: 84+8=92，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-052,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,97厘米,,97厘米,pass,pass,high,none,pass,false,Stage A: 88+9=97，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-053,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,32厘米,,32厘米,pass,pass,high,none,pass,false,Stage A: 22+10=32，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-054,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,37厘米,,37厘米,pass,pass,high,none,pass,false,Stage A: 26+11=37，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-055,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,42厘米,,42厘米,pass,pass,high,none,pass,false,Stage A: 30+12=42，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-056,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,47厘米,,47厘米,pass,pass,high,none,pass,false,Stage A: 34+13=47，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-057,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,52厘米,,52厘米,pass,pass,high,none,pass,false,Stage A: 38+14=52，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-058,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,57厘米,,57厘米,pass,pass,high,none,pass,false,Stage A: 42+15=57，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-059,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,62厘米,,62厘米,pass,pass,high,none,pass,false,Stage A: 46+16=62，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-060,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,55厘米,,55厘米,pass,pass,high,none,pass,false,Stage A: 50+5=55，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-061,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,39厘米,,39厘米,pass,pass,high,none,pass,false,Stage A: 31+8=39，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-062,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,65厘米,,65厘米,pass,pass,high,none,pass,false,Stage A: 58+7=65，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-063,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,70厘米,,70厘米,pass,pass,high,none,pass,false,Stage A: 62+8=70，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-064,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,75厘米,,75厘米,pass,pass,high,none,pass,false,Stage A: 66+9=75，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-065,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,80厘米,,80厘米,pass,pass,high,none,pass,false,Stage A: 70+10=80，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-066,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,85厘米,,85厘米,pass,pass,high,none,pass,false,Stage A: 74+11=85，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-067,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,90厘米,,90厘米,pass,pass,high,none,pass,false,Stage A: 78+12=90，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-068,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,95厘米,,95厘米,pass,pass,high,none,pass,false,Stage A: 82+13=95，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-069,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,100厘米,,100厘米,pass,pass,high,none,pass,false,Stage A: 86+14=100，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-070,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,35厘米,,35厘米,pass,pass,high,none,pass,false,Stage A: 20+15=35，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-071,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,40厘米,,40厘米,pass,pass,high,none,pass,false,Stage A: 24+16=40，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-072,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,33厘米,,33厘米,pass,pass,high,none,pass,false,Stage A: 28+5=33，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-073,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,38厘米,,38厘米,pass,pass,high,none,pass,false,Stage A: 32+6=38，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-074,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,43厘米,,43厘米,pass,pass,high,none,pass,false,Stage A: 36+7=43，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-075,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,48厘米,,48厘米,pass,pass,high,none,pass,false,Stage A: 40+8=48，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-076,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,53厘米,,53厘米,pass,pass,high,none,pass,false,Stage A: 44+9=53，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-077,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,58厘米,,58厘米,pass,pass,high,none,pass,false,Stage A: 48+10=58，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-078,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,63厘米,,63厘米,pass,pass,high,none,pass,false,Stage A: 52+11=63，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-079,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,68厘米,,68厘米,pass,pass,high,none,pass,false,Stage A: 56+12=68，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-080,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,73厘米,,73厘米,pass,pass,high,none,pass,false,Stage A: 60+13=73，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-081,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,78厘米,,78厘米,pass,pass,high,none,pass,false,Stage A: 64+14=78，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-082,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,83厘米,,83厘米,pass,pass,high,none,pass,false,Stage A: 68+15=83，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-083,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,88厘米,,88厘米,pass,pass,high,none,pass,false,Stage A: 72+16=88，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-084,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,81厘米,,81厘米,pass,pass,high,none,pass,false,Stage A: 76+5=81，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-085,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,86厘米,,86厘米,pass,pass,high,none,pass,false,Stage A: 80+6=86，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-086,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,91厘米,,91厘米,pass,pass,high,none,pass,false,Stage A: 84+7=91，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-087,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,96厘米,,96厘米,pass,pass,high,none,pass,false,Stage A: 88+8=96，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-088,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,31厘米,,31厘米,pass,pass,high,none,pass,false,Stage A: 22+9=31，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-089,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,36厘米,,36厘米,pass,pass,high,none,pass,false,Stage A: 26+10=36，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-mc-090,P2,pep-primary-p2-upper-length-angles-observation,multiple-choice,97厘米,,97厘米,pass,pass,high,none,pass,false,Stage A: 83+14=97，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-091,P2,pep-primary-p2-upper-length-angles-observation,fill-in,39厘米,,39厘米,pass,pass,high,none,pass,false,Stage A: 23+16=39。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-092,P2,pep-primary-p2-upper-length-angles-observation,fill-in,34厘米,,34厘米,pass,pass,high,none,pass,false,Stage A: 28+6=34。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-093,P2,pep-primary-p2-upper-length-angles-observation,fill-in,41厘米,,41厘米,pass,pass,high,none,pass,false,Stage A: 33+8=41。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-094,P2,pep-primary-p2-upper-length-angles-observation,fill-in,48厘米,,48厘米,pass,pass,high,none,pass,false,Stage A: 38+10=48。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-095,P2,pep-primary-p2-upper-length-angles-observation,fill-in,66厘米,,66厘米,pass,pass,high,none,pass,false,Stage A: 50+16=66。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-096,P2,pep-primary-p2-upper-length-angles-observation,fill-in,59厘米,,59厘米,pass,pass,high,none,pass,false,Stage A: 54+5=59。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-097,P2,pep-primary-p2-upper-length-angles-observation,fill-in,65厘米,,65厘米,pass,pass,high,none,pass,false,Stage A: 51+14=65。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-098,P2,pep-primary-p2-upper-length-angles-observation,fill-in,69厘米,,69厘米,pass,pass,high,none,pass,false,Stage A: 62+7=69。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-099,P2,pep-primary-p2-upper-length-angles-observation,fill-in,74厘米,,74厘米,pass,pass,high,none,pass,false,Stage A: 66+8=74。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-u-fi-100,P2,pep-primary-p2-upper-length-angles-observation,fill-in,70厘米,,70厘米,pass,pass,high,none,pass,false,Stage A: 64+6=70。 | Stage B: 独立答案与题库答案一致
pep-primary-p2-l-fi-101,P2,pep-primary-p2-lower-division-remainder,fill-in,3余5,,商3余5,pass,pass,high,none,pass,false,Stage A: 23÷6=3余5，直接计算即可。 | Stage B: 独立答案'商3余5'与题库答案'3余5'实质相同，仅多了'商'字，符合填空要求。
pep-primary-p2-l-fi-102,P2,pep-primary-p2-lower-division-remainder,fill-in,9余3,,商9余3,pass,pass,high,none,pass,false,Stage A: 39÷4=9余3，直接计算即可。 | Stage B: 独立答案'商9余3'与题库答案'9余3'实质相同。
pep-primary-p2-l-fi-103,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6余5，直接计算即可。 | Stage B: 独立答案'商6余5'与题库答案'6余5'实质相同。
pep-primary-p2-l-fi-104,P2,pep-primary-p2-lower-division-remainder,fill-in,7余5,,7袋，剩5个,pass,pass,high,none,pass,true,Stage A: 54÷7=7余5，直接计算即可。 | Stage B: 独立答案'7袋，剩5个'与题库答案'7余5'含义一致，但表述形式不同，需人工确认是否接受。 | 复审: 独立答案'7袋，剩5个'与题库答案'7余5'含义一致，均为54÷7=7余5，表述差异不影响正确性。
pep-primary-p2-l-fi-105,P2,pep-primary-p2-lower-division-remainder,fill-in,3余1,,商3余1,pass,pass,high,none,pass,false,Stage A: 7÷2=3余1，直接计算即可。 | Stage B: 独立答案'商3余1'与题库答案'3余1'实质相同。
pep-primary-p2-l-fi-106,P2,pep-primary-p2-lower-division-remainder,fill-in,5余1,,商5余1,pass,pass,high,none,pass,false,Stage A: 16÷3=5余1，直接计算即可。 | Stage B: 独立答案'商5余1'与题库答案'5余1'实质相同。
pep-primary-p2-l-fi-107,P2,pep-primary-p2-lower-division-remainder,fill-in,7余3,,商7余3,pass,pass,high,none,pass,false,Stage A: 31÷4=7余3，直接计算即可。 | Stage B: 独立答案'商7余3'与题库答案'7余3'实质相同。
pep-primary-p2-l-fi-108,P2,pep-primary-p2-lower-division-remainder,fill-in,9余3,,商9余3,pass,pass,high,none,pass,false,Stage A: 48÷5=9余3，直接计算即可。 | Stage B: 独立答案'商9余3'与题库答案'9余3'实质相同。
pep-primary-p2-l-fi-109,P2,pep-primary-p2-lower-division-remainder,fill-in,4余1,,商4余1,pass,pass,high,none,pass,false,Stage A: 25÷6=4余1，直接计算即可。 | Stage B: 独立答案'商4余1'与题库答案'4余1'实质相同。
pep-primary-p2-l-fi-110,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6余5，直接计算即可。 | Stage B: 独立答案'商6余5'与题库答案'6余5'实质相同。
pep-primary-p2-l-fi-111,P2,pep-primary-p2-lower-division-remainder,fill-in,8余7,,商8余7,pass,pass,high,none,pass,false,Stage A: 71÷8=8余7，直接计算即可。 | Stage B: 独立答案'商8余7'与题库答案'8余7'实质相同。
pep-primary-p2-l-fi-112,P2,pep-primary-p2-lower-division-remainder,fill-in,3余1,,商3余1,pass,pass,high,none,pass,false,Stage A: 7÷2=3余1，直接计算即可。 | Stage B: 独立答案'商3余1'与题库答案'3余1'实质相同。
pep-primary-p2-l-fi-113,P2,pep-primary-p2-lower-division-remainder,fill-in,5余2,,商5余2,pass,pass,high,none,pass,false,Stage A: 17÷3=5余2，直接计算即可。 | Stage B: 独立答案'商5余2'与题库答案'5余2'实质相同。
pep-primary-p2-l-fi-114,P2,pep-primary-p2-lower-division-remainder,fill-in,7余2,,商7余2,pass,pass,high,none,pass,false,Stage A: 30÷4=7余2，直接计算即可。 | Stage B: 独立答案'商7余2'与题库答案'7余2'实质相同。
pep-primary-p2-l-fi-115,P2,pep-primary-p2-lower-division-remainder,fill-in,5余3,,5袋，剩3个,pass,pass,high,none,pass,true,Stage A: 43÷8=5余3，直接计算即可。 | Stage B: 独立答案'5袋，剩3个'与题库答案'5余3'含义一致，但表述形式不同，需人工确认是否接受。 | 复审: 独立答案'5袋，剩3个'与题库答案'5余3'含义完全一致，表述差异不影响正确性，可接受。
pep-primary-p2-l-fi-116,P2,pep-primary-p2-lower-division-remainder,fill-in,4余2,,商4余2,pass,pass,high,none,pass,false,Stage A: 26÷6=4余2，直接计算即可。 | Stage B: 独立答案'商4余2'与题库答案'4余2'实质相同。
pep-primary-p2-l-fi-117,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6余5，直接计算即可。 | Stage B: 独立答案'商6余5'与题库答案'6余5'实质相同。
pep-primary-p2-l-fi-118,P2,pep-primary-p2-lower-division-remainder,fill-in,8余6,,商8余6,pass,pass,high,none,pass,false,Stage A: 70÷8=8余6，直接计算即可。 | Stage B: 独立答案'商8余6'与题库答案'8余6'实质相同。
pep-primary-p2-l-fi-119,P2,pep-primary-p2-lower-division-remainder,fill-in,3余1,,商3余1,pass,pass,high,none,pass,false,Stage A: 7÷2=3余1，直接计算即可。 | Stage B: 独立答案'商3余1'与题库答案'3余1'实质相同。
pep-primary-p2-l-fi-120,P2,pep-primary-p2-lower-division-remainder,fill-in,9余5,,商9余5,pass,pass,high,none,pass,false,Stage A: 68÷7=9余5，直接计算即可。 | Stage B: 独立答案'商9余5'与题库答案'9余5'实质相同。
pep-primary-p2-l-fi-121,P2,pep-primary-p2-lower-division-remainder,fill-in,7余1,,商7余1,pass,pass,high,none,pass,false,Stage A: 29÷4=7...1，明确有余数除法。 | Stage B: 独立答案“商7余1”与题库答案“7余1”含义一致，仅表述差异，通过。
pep-primary-p2-l-fi-122,P2,pep-primary-p2-lower-division-remainder,fill-in,9余2,,商9余2,pass,pass,high,none,pass,false,Stage A: 47÷5=9...2。 | Stage B: 独立答案“商9余2”与题库答案“9余2”含义一致，通过。
pep-primary-p2-l-fi-123,P2,pep-primary-p2-lower-division-remainder,fill-in,4余3,,商4余3,pass,pass,high,none,pass,false,Stage A: 27÷6=4...3。 | Stage B: 独立答案“商4余3”与题库答案“4余3”含义一致，通过。
pep-primary-p2-l-fi-124,P2,pep-primary-p2-lower-division-remainder,fill-in,8余1,,8袋剩1个,pass,pass,high,none,pass,false,Stage A: 17÷2=8...1。 | Stage B: 独立答案“8袋剩1个”与题库答案“8余1”含义一致，通过。
pep-primary-p2-l-fi-125,P2,pep-primary-p2-lower-division-remainder,fill-in,8余5,,商8余5,pass,pass,high,none,pass,false,Stage A: 69÷8=8...5。 | Stage B: 独立答案“商8余5”与题库答案“8余5”含义一致，通过。
pep-primary-p2-l-fi-126,P2,pep-primary-p2-lower-division-remainder,fill-in,8余5,,商8余5,pass,pass,high,none,pass,false,Stage A: 61÷7=8...5。 | Stage B: 独立答案“商8余5”与题库答案“8余5”含义一致，通过。
pep-primary-p2-l-fi-127,P2,pep-primary-p2-lower-division-remainder,fill-in,5余1,,商5余1,pass,pass,high,none,pass,false,Stage A: 16÷3=5...1。 | Stage B: 独立答案“商5余1”与题库答案“5余1”含义一致，通过。
pep-primary-p2-l-fi-128,P2,pep-primary-p2-lower-division-remainder,fill-in,6,,6袋剩0个,pass,pass,high,none,pass,false,Stage A: 18÷3=6，没有剩余。 | Stage B: 独立答案“6袋剩0个”与题库答案“6”含义一致，通过。
pep-primary-p2-l-fi-129,P2,pep-primary-p2-lower-division-remainder,fill-in,9余4,,商9余4,pass,pass,high,none,pass,false,Stage A: 49÷5=9...4。 | Stage B: 独立答案“商9余4”与题库答案“9余4”含义一致，通过。
pep-primary-p2-l-fi-130,P2,pep-primary-p2-lower-division-remainder,fill-in,4余4,,商4余4,pass,pass,high,none,pass,false,Stage A: 28÷6=4...4。 | Stage B: 独立答案“商4余4”与题库答案“4余4”含义一致，通过。
pep-primary-p2-l-fi-131,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6...5。 | Stage B: 独立答案“商6余5”与题库答案“6余5”含义一致，通过。
pep-primary-p2-l-fi-132,P2,pep-primary-p2-lower-division-remainder,fill-in,8余4,,商8余4,pass,pass,high,none,pass,false,Stage A: 68÷8=8...4。 | Stage B: 独立答案“商8余4”与题库答案“8余4”含义一致，通过。
pep-primary-p2-l-fi-133,P2,pep-primary-p2-lower-division-remainder,fill-in,3余1,,商3余1,pass,pass,high,none,pass,false,Stage A: 7÷2=3...1。 | Stage B: 独立答案“商3余1”与题库答案“3余1”含义一致，通过。
pep-primary-p2-l-fi-134,P2,pep-primary-p2-lower-division-remainder,fill-in,5余2,,商5余2,pass,pass,high,none,pass,false,Stage A: 17÷3=5...2。 | Stage B: 独立答案“商5余2”与题库答案“5余2”含义一致，通过。
pep-primary-p2-l-fi-135,P2,pep-primary-p2-lower-division-remainder,fill-in,7余3,,商7余3,pass,pass,high,none,pass,false,Stage A: 31÷4=7...3。 | Stage B: 独立答案“商7余3”与题库答案“7余3”含义一致，通过。
pep-primary-p2-l-fi-136,P2,pep-primary-p2-lower-division-remainder,fill-in,9余1,,商9余1,pass,pass,high,none,pass,false,Stage A: 46÷5=9...1。 | Stage B: 独立答案“商9余1”与题库答案“9余1”含义一致，通过。
pep-primary-p2-l-fi-137,P2,pep-primary-p2-lower-division-remainder,fill-in,4余5,,商4余5,pass,pass,high,none,pass,false,Stage A: 29÷6=4...5。 | Stage B: 独立答案“商4余5”与题库答案“4余5”含义一致，通过。
pep-primary-p2-l-fi-138,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6...5。 | Stage B: 独立答案“商6余5”与题库答案“6余5”含义一致，通过。
pep-primary-p2-l-fi-139,P2,pep-primary-p2-lower-division-remainder,fill-in,8余3,,商8余3,pass,pass,high,none,pass,false,Stage A: 67÷8=8...3。 | Stage B: 独立答案“商8余3”与题库答案“8余3”含义一致，通过。
pep-primary-p2-l-fi-140,P2,pep-primary-p2-lower-division-remainder,fill-in,3,,3组，没有剩余,pass,pass,high,none,pass,false,Stage A: 6÷2=3，正好分完。 | Stage B: 独立答案“3组，没有剩余”与题库答案“3”含义一致，通过。
pep-primary-p2-l-fi-141,P2,pep-primary-p2-lower-division-remainder,fill-in,6余2,,商6余2,pass,pass,high,none,pass,false,Stage A: 26÷4=6余2，直接计算即可。 | Stage B: 独立答案“商6余2”与题库答案“6余2”含义一致，通过。
pep-primary-p2-l-fi-142,P2,pep-primary-p2-lower-division-remainder,fill-in,7余2,,商7余2,pass,pass,high,none,pass,false,Stage A: 30÷4=7余2，直接计算即可。 | Stage B: 独立答案“商7余2”与题库答案“7余2”含义一致，通过。
pep-primary-p2-l-fi-143,P2,pep-primary-p2-lower-division-remainder,fill-in,9余3,,商9余3,pass,pass,high,none,pass,false,Stage A: 48÷5=9余3，直接计算即可。 | Stage B: 独立答案“商9余3”与题库答案“9余3”含义一致，通过。
pep-primary-p2-l-fi-144,P2,pep-primary-p2-lower-division-remainder,fill-in,4,,商4余0,pass,pass,high,none,pass,false,Stage A: 24÷6=4，余数为0。 | Stage B: 独立答案“商4余0”与题库答案“4”含义一致（余0可省略），通过。
pep-primary-p2-l-fi-145,P2,pep-primary-p2-lower-division-remainder,fill-in,6余5,,商6余5,pass,pass,high,none,pass,false,Stage A: 47÷7=6余5，直接计算即可。 | Stage B: 独立答案“商6余5”与题库答案“6余5”含义一致，通过。
pep-primary-p2-l-fi-146,P2,pep-primary-p2-lower-division-remainder,fill-in,8余2,,商8余2,pass,pass,high,none,pass,false,Stage A: 66÷8=8余2，直接计算即可。 | Stage B: 独立答案“商8余2”与题库答案“8余2”含义一致，通过。
pep-primary-p2-l-fi-147,P2,pep-primary-p2-lower-division-remainder,fill-in,6,,商6余0,pass,pass,high,none,pass,false,Stage A: 30÷5=6，余数为0。 | Stage B: 独立答案“商6余0”与题库答案“6”含义一致（余0可省略），通过。
pep-primary-p2-l-fi-148,P2,pep-primary-p2-lower-division-remainder,fill-in,5余1,,商5余1,pass,pass,high,none,pass,false,Stage A: 16÷3=5余1，直接计算即可。 | Stage B: 独立答案“商5余1”与题库答案“5余1”含义一致，通过。
pep-primary-p2-l-fi-149,P2,pep-primary-p2-lower-division-remainder,fill-in,7余1,,商7余1,pass,pass,high,none,pass,false,Stage A: 29÷4=7余1，直接计算即可。 | Stage B: 独立答案“商7余1”与题库答案“7余1”含义一致，通过。
pep-primary-p2-l-fi-150,P2,pep-primary-p2-lower-division-remainder,fill-in,9,,商9余0,pass,pass,high,none,pass,false,Stage A: 45÷5=9，余数为0。 | Stage B: 独立答案“商9余0”与题库答案“9”含义一致（余0可省略），通过。
pep-primary-p2-l-fi-151,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,3,,3,pass,pass,high,none,pass,false,Stage A: 8357的百位是3。 | Stage B: 独立答案“3”与题库答案“3”完全一致，通过。
pep-primary-p2-l-fi-152,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,6,,6,pass,pass,high,none,pass,false,Stage A: 1604的百位是6。 | Stage B: 独立答案“6”与题库答案“6”完全一致，通过。
pep-primary-p2-l-fi-153,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,9,,9,pass,pass,high,none,pass,false,Stage A: 2951的百位是9。 | Stage B: 独立答案“9”与题库答案“9”完全一致，通过。
pep-primary-p2-l-fi-154,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,2,,2,pass,pass,high,none,pass,false,Stage A: 3208的百位是2。 | Stage B: 独立答案“2”与题库答案“2”完全一致，通过。
pep-primary-p2-l-fi-155,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,5,,5,pass,pass,high,none,pass,false,Stage A: 4555的百位是5。 | Stage B: 独立答案“5”与题库答案“5”完全一致，通过。
pep-primary-p2-l-fi-156,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,8,,8,pass,pass,high,none,pass,false,Stage A: 5802的百位是8。 | Stage B: 独立答案“8”与题库答案“8”完全一致，通过。
pep-primary-p2-l-fi-157,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,1,,1,pass,pass,high,none,pass,false,Stage A: 6159的百位是1。 | Stage B: 独立答案“1”与题库答案“1”完全一致，通过。
pep-primary-p2-l-fi-158,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,4,,4,pass,pass,high,none,pass,false,Stage A: 7406的百位是4。 | Stage B: 独立答案“4”与题库答案“4”完全一致，通过。
pep-primary-p2-l-fi-159,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,7,,7,pass,pass,high,none,pass,false,Stage A: 8753的百位是7。 | Stage B: 独立答案“7”与题库答案“7”完全一致，通过。
pep-primary-p2-l-fi-160,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,0,,0,pass,pass,high,none,pass,false,Stage A: 1000的百位是0。 | Stage B: 独立答案“0”与题库答案“0”完全一致，通过。
pep-primary-p2-l-fi-161,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,3,,3,pass,pass,high,none,pass,false,Stage A: 2357的百位是3 | Stage B: 独立答案与题库答案一致
pep-primary-p2-l-fi-162,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,6,,6,pass,pass,high,none,pass,false,Stage A: 3604的百位是6 | Stage B: 独立答案与题库答案一致
pep-primary-p2-l-fi-163,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,9,,9,pass,pass,high,none,pass,false,Stage A: 4951的百位是9 | Stage B: 独立答案与题库答案一致
pep-primary-p2-l-fi-164,P2,pep-primary-p2-lower-place-value-measurement-data,fill-in,2,,2,pass,pass,high,none,pass,false,Stage A: 5208的百位是2 | Stage B: 独立答案与题库答案一致
