blindId,grade,semester,type,difficulty,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,reviewerMathCorrectness,reviewerGradeFit,reviewerLanguageQuality,reviewerExplanationQuality,reviewerClassroomUsability,reviewerTemplateFeel,reviewerNotes
MPPQ-117,P2,upper,short-answer,Core,小华说：“因为 3 + 3 + 3 + 3 = 12，所以 4 × 3 = 12。” 小丽说：“因为 4 + 4 + 4 = 12，所以 3 × 4 = 12。” 谁说得对？为什么？,,两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。,两人说得都对，因为4×3和3×4都等于12，都表示3个4或4个3的和。 | 都对，因为4×3和3×4结果相同。,4×3表示4个3相加，3×4表示3个4相加，虽然意义不同，但结果都是12。所以两人都正确。,,,,,,,
MPPQ-118,P2,lower,fill-in,Core,第122小组：把47个物品按每组5个分组，商和余数是多少？,,9余2,9余2,5x9+2=47，所以结果是9余2。,,,,,,,
MPPQ-119,P2,upper,short-answer,Foundation,看图写算式：每组有3个气球，有4组。用加法算式和乘法算式分别表示气球的总数。,,加法：3+3+3+3=12，乘法：3×4=12,加法：3+3+3+3=12，乘法：3×4=12 | 3+3+3+3=12，3×4=12,有4组，每组3个，就是4个3。加法是4个3连加：3+3+3+3=12。乘法用3×4=12表示。,,,,,,,
MPPQ-120,P2,lower,fill-in,Foundation,第108小组：把48个物品按每组5个分组，商和余数是多少？,,9余3,9余3,5x9+3=48，所以结果是9余3。,,,,,,,
MPPQ-121,P2,lower,fill-in,Challenge,把 24 米长的彩带平均剪成 6 段，每段长多少米？请用口诀求商，并写出算式。,,每段长 4 米。,每段长 4 米。 | 4米 | 24÷6=4（米） | 24÷6=4,平均分用除法，24÷6。想乘法口诀：四六二十四，所以商是4，单位是米。,,,,,,,
MPPQ-122,P2,lower,short-answer,Challenge,第195小组：在数4555中，百位上的数字是几？,,5,5,4555中有4个千、5个百、5个十和5个一。,,,,,,,
MPPQ-123,P2,lower,fill-in,Core,有23个苹果，每5个装一袋，可以装满几袋？还剩几个？请用竖式计算，并填写：可以装满___袋，还剩___个。,,可以装满4袋，还剩3个,可以装满4袋，还剩3个 | 4袋，还剩3个,23÷5，想口诀四五二十，商4，23-20=3，余数3<除数5，所以装满4袋，剩3个。竖式：23除以5，商4，20，余3。,,,,,,,
MPPQ-124,P2,lower,short-answer,Core,第177小组：在数2159中，百位上的数字是几？,,1,1,2159中有2个千、1个百、5个十和9个一。,,,,,,,
MPPQ-125,P2,lower,fill-in,Foundation,计算：503 + 298 = ______,,801,801,列竖式：503+298，个位3+8=11，写1进1；十位0+9+1=10，写0进1；百位5+2+1=8。结果是801。,,,,,,,
MPPQ-126,P2,upper,fill-in,Foundation,第99小组：一根彩带长66厘米，另一根比它长8厘米。另一根长多少厘米？,,74厘米,74厘米,66+8=74，所以另一根长74厘米。,,,,,,,
MPPQ-127,P2,lower,multiple-choice,Core,有25个气球，每4个扎成一束，最多能扎成几束？还剩几个？,5束，剩5个 | 6束，剩1个 | 6束，剩5个 | 5束，剩1个,6束，剩1个,6束，剩1个,25÷4=6（束）……1（个）。用乘法检查：4×6=24，加上余数1等于25。余数1小于除数4，正确。,,,,,,,
MPPQ-128,P2,upper,multiple-choice,Foundation,第7小组：有9组，每组7个，一共有多少个？,72 | 56 | 63 | 16,63,63,9个7相加，可以写成9x7=63。,,,,,,,
MPPQ-129,P2,lower,multiple-choice,Foundation,老师把18块饼干平均分给6个小朋友，每个小朋友分到几块？,2块 | 3块 | 4块 | 6块,3块,3块,18块饼干平均分给6人，就是求18里面有几个6，用除法18÷6=3，口诀三六十八，所以每人3块。,,,,,,,
MPPQ-130,P2,lower,fill-in,Core,第123小组：把27个物品按每组6个分组，商和余数是多少？,,4余3,4余3,6x4+3=27，所以结果是4余3。,,,,,,,
MPPQ-131,P2,lower,short-answer,Core,二（2）班有32人，每张桌子坐4人，需要几张桌子？如果又来2人，现在需要几张桌子？请写出计算过程。,,32 ÷ 4 = 8（张）；32 + 2 = 34（人），34 ÷ 4 = 8（张）……2（人），所以需要9张桌子。,32 ÷ 4 = 8（张）；32 + 2 = 34（人），34 ÷ 4 = 8（张）……2（人），所以需要9张桌子。 | 32÷4=8张；32+2=34人，34÷4=8张……2人，需要9张 | 32÷4=8张，34÷4=8张余2人，需要9张 | 8张，9张,先求原来：32÷4=8张。又来2人后总人数34人，34÷4=8张……2人，余下的2人也需要1张桌子，所以需要8+1=9张。,,,,,,,
MPPQ-132,P2,lower,fill-in,Foundation,第109小组：把25个物品按每组6个分组，商和余数是多少？,,4余1,4余1,6x4+1=25，所以结果是4余1。,,,,,,,
MPPQ-133,P2,lower,short-answer,Foundation,二（1）班同学最喜欢的水果情况：苹果8人，香蕉12人，橘子6人，梨4人。喜欢香蕉的比喜欢橘子的多几人？请写出算式和答案。,,12-6=6（人），多6人,12-6=6（人），多6人 | 12-6=6，多6人 | 12-6=6人，多6人,从数据中找喜欢香蕉的12人，喜欢橘子的6人，求多几人用减法：12-6=6人。,,,,,,,
MPPQ-134,P2,lower,short-answer,Challenge,第196小组：在数5802中，百位上的数字是几？,,8,8,5802中有5个千、8个百、0个十和2个一。,,,,,,,
MPPQ-135,P2,upper,fill-in,Core,一支铅笔大约长18____。在横线上填上合适的单位（厘米或米）。,,厘米,厘米,铅笔比较短，用厘米作单位合适。18米比教室还长，不合理。,,,,,,,
MPPQ-136,P2,lower,short-answer,Core,第178小组：在数3406中，百位上的数字是几？,,4,4,3406中有3个千、4个百、0个十和6个一。,,,,,,,
MPPQ-137,P2,upper,fill-in,Foundation,一个角有____个顶点，____条边。,,1，2,1，2 | 一个顶点，两条边 | 1个顶点，2条边,角由一个顶点和两条直直的边组成。,,,,,,,
MPPQ-138,P2,upper,fill-in,Foundation,乐乐量到一条纸带长23厘米，另一条比它长16厘米。另一条长多少厘米？,,39厘米,39厘米,比23厘米长16厘米，列式23+16=39，所以长39厘米。,,,,,,,
MPPQ-139,P2,upper,multiple-choice,Challenge,小华说：“因为2×3=6，所以2+3也等于6。”他的说法对吗？下面哪个选项正确？,对，因为乘法和加法是一样的。 | 错，2×3表示2个3相加，2+3表示2和3相加，结果不同。 | 对，2×3和2+3都等于6。 | 错，2×3=5，2+3=6。,错，2×3表示2个3相加，2+3表示2和3相加，结果不同。,错，2×3表示2个3相加，2+3表示2和3相加，结果不同。,2×3=6，2+3=5，结果不同。乘法是求几个相同加数的和，加法是求两个数的和，意义不同。,,,,,,,
MPPQ-140,P2,upper,multiple-choice,Foundation,第8小组：有2组，每组2个，一共有多少个？,5 | 4 | 6 | 2,4,4,2个2相加，可以写成2x2=4。,,,,,,,
MPPQ-141,P2,upper,multiple-choice,Core,下面哪个图形中的角是直角？,一个角，两条边张开的比较小，像三角尺上最小的那个角。 | 一个角，两条边张开的比较大，像打开的扇子。 | 一个角，两条边正好和三角尺上的直角一样大。 | 一个角，两条边几乎成一条直线。,一个角，两条边正好和三角尺上的直角一样大。,一个角，两条边正好和三角尺上的直角一样大。,直角是像三角尺上那个方方正正的角，不大不小。选项A是锐角，选项B是钝角，选项D是平角。,,,,,,,
MPPQ-142,P2,lower,fill-in,Core,第125小组：把69个物品按每组8个分组，商和余数是多少？,,8余5,8余5,8x8+5=69，所以结果是8余5。,,,,,,,
MPPQ-143,P2,upper,multiple-choice,Foundation,小杰说：“因为2×3=6，所以2+3也等于6。”你认为他说的对吗？,对，因为乘法和加法是一样的。 | 不对，2×3表示2个3相加，是3+3=6；2+3是2和3合起来，是5。 | 对，因为2和3相乘和相加结果相同。 | 不对，2×3应该等于5。,不对，2×3表示2个3相加，是3+3=6；2+3是2和3合起来，是5。,不对，2×3表示2个3相加，是3+3=6；2+3是2和3合起来，是5。,乘法是相同加数的简便运算，2×3是2个3，而2+3是不同加数相加，结果不同。小杰混淆了乘法和加法的意义。,,,,,,,
MPPQ-144,P2,lower,fill-in,Foundation,第110小组：把47个物品按每组7个分组，商和余数是多少？,,6余5,6余5,7x6+5=47，所以结果是6余5。,,,,,,,
MPPQ-145,P2,upper,short-answer,Core,看图写算式：每盘有4个苹果，有3盘。用两种方法写出一共有多少个苹果。,,4+4+4=12（个）或 3×4=12（个）,4+4+4=12（个）或 3×4=12（个） | 4+4+4=12，3×4=12 | 4+4+4=12个，3×4=12个,每盘4个，3盘就是3个4，可以写成加法4+4+4=12，也可以写成乘法3×4=12。,,,,,,,
MPPQ-146,P2,lower,short-answer,Challenge,第197小组：在数6159中，百位上的数字是几？,,1,1,6159中有6个千、1个百、5个十和9个一。,,,,,,,
MPPQ-147,P2,upper,short-answer,Foundation,一根绳子长20厘米，另一根绳子长15厘米。两根绳子接在一起，接头处用去2厘米。接好后的绳子长多少厘米？,,33厘米,33厘米 | 33,两根绳子总长20 + 15 = 35厘米，接头处用去2厘米，所以接好后的长度是35 - 2 = 33厘米。,,,,,,,
MPPQ-148,P2,lower,short-answer,Core,第179小组：在数4753中，百位上的数字是几？,,7,7,4753中有4个千、7个百、5个十和3个一。,,,,,,,
MPPQ-149,P2,lower,fill-in,Challenge,小明晚上 8:30 睡觉，早上 6:50 起床。他一共睡了多长时间？,,10 小时 20 分钟。,10 小时 20 分钟。 | 10小时20分 | 10时20分 | 10时20分钟,从晚上8:30到第二天早上6:30是10小时，再到6:50是20分钟，一共10小时20分钟。,,,,,,,
MPPQ-150,P2,upper,fill-in,Foundation,运动场有一根绳子长28厘米，新绳子比它长6厘米，新绳子长多少厘米？,,34厘米,34厘米,比28厘米长6厘米，列式28+6=34，所以长34厘米。,,,,,,,
MPPQ-151,P2,lower,fill-in,Core,用竖式计算：37 ÷ 5 = □……□。请填写商和余数。,,7……2,7……2 | 7...2 | 7余2,37除以5，想5的乘法口诀，五七三十五，37-35=2，余数2小于除数5，所以商是7，余数是2。,,,,,,,
MPPQ-152,P2,upper,multiple-choice,Foundation,第9小组：有3组，每组5个，一共有多少个？,15 | 8 | 18 | 10,15,15,3个5相加，可以写成3x5=15。,,,,,,,
MPPQ-153,P2,lower,fill-in,Foundation,时钟显示现在是2:30，再过15分钟是几时几分？______:______,,2:45,2:45 | 2时45分 | 2点45分,2:30过15分钟，分钟从30走到45，时针仍在2和3之间，所以是2:45。,,,,,,,
MPPQ-154,P2,lower,fill-in,Core,第127小组：把16个物品按每组3个分组，商和余数是多少？,,5余1,5余1,3x5+1=16，所以结果是5余1。,,,,,,,
MPPQ-155,P2,lower,multiple-choice,Core,妈妈买了20个鸡蛋，每天吃3个，吃了5天后还剩几个？正确的算式是哪一个？,20-3×5 | 20+3×5 | 20÷3-5 | 3×5-20,20-3×5,20-3×5,每天吃3个，5天吃3×5=15个，从总数20里减去吃掉的，20-15=5个，所以算式是20-3×5。,,,,,,,
MPPQ-156,P2,lower,fill-in,Foundation,第111小组：把71个物品按每组8个分组，商和余数是多少？,,8余7,8余7,8x8+7=71，所以结果是8余7。,,,,,,,
MPPQ-157,P2,lower,multiple-choice,Foundation,妈妈买了18个苹果，每天吃3个，可以吃几天？正确的算式是哪一个？,18 ÷ 6 = 3 | 18 ÷ 3 = 6 | 3 × 6 = 18 | 18 - 3 = 15,18 ÷ 3 = 6,18 ÷ 3 = 6,总数18个，每天吃3个，求天数就是求18里面有几个3，用除法18÷3=6（天）。,,,,,,,
MPPQ-158,P2,lower,short-answer,Challenge,第198小组：在数7406中，百位上的数字是几？,,4,4,7406中有7个千、4个百、0个十和6个一。,,,,,,,
MPPQ-159,P2,lower,short-answer,Core,把18个苹果平均放在3个盘子里，每个盘子放几个？请写出算式和答案。,,18÷3=6（个）,18÷3=6（个） | 18除以3等于6,平均分用除法，总数18除以份数3，口诀三六十八，所以每个盘子放6个苹果。,,,,,,,
MPPQ-160,P2,lower,short-answer,Core,第180小组：在数5000中，百位上的数字是几？,,0,0,5000中有5个千、0个百、0个十和0个一。,,,,,,,
MPPQ-161,P3,lower,fill-in,Challenge,小华站在学校操场的中央，面向东。她先向左转90度，然后向前走20步，再向右转90度，向前走15步。请问现在小华在操场的哪个方向？请填写方向名称。,,北,北,初始面向东，向左转90度后面向北；向前走20步后位置在北侧；再向右转90度后面向东；向前走15步后位置仍在北侧（因为向东移动不改变南北位置）。所以小华在操场的北面。,,,,,,,
MPPQ-162,P3,lower,fill-in,Core,第104小组：一个长方形长8厘米、宽6厘米，面积是多少？,,48平方厘米,48平方厘米,长方形面积=长x宽，8x6=48平方厘米。,,,,,,,
MPPQ-163,P3,lower,fill-in,Core,2024年是闰年，2月有______天，全年有______天。,,"29, 366","29, 366",闰年2月有29天，全年366天。平年2月28天，全年365天。,,,,,,,
MPPQ-164,P3,lower,short-answer,Challenge,第176小组：求4、6、8这三个数的平均数。,,6,6,平均数=(4+6+8)÷3=6。,,,,,,,
MPPQ-165,P3,lower,fill-in,Exam,一个正方形的面积是36平方厘米，它的边长是______厘米。,,6,6,正方形面积=边长×边长，因为6×6=36，所以边长是6厘米。,,,,,,,
MPPQ-166,P3,lower,short-answer,Core,第169小组：求5、7、9这三个数的平均数。,,7,7,平均数=(5+7+9)÷3=7。,,,,,,,
MPPQ-167,P3,lower,fill-in,Foundation,口算 23×30 时，可以先算 23×3=（ ），再在积的末尾添上（ ）个0，结果是（ ）。,,"69, 1, 690","69, 1, 690",23×3=69，30末尾有1个0，所以积是690。,,,,,,,
MPPQ-168,P3,upper,fill-in,Core,第81小组：阅读活动从9:00开始，持续20分钟。活动持续了多少分钟？,,20分钟,20分钟,题目给出的持续时间就是20分钟。,,,,,,,
MPPQ-169,P3,lower,multiple-choice,Challenge,下面哪个算式的积最接近1500？,31 × 49 | 52 × 29 | 38 × 42 | 61 × 25,52 × 29,52 × 29,估算：31×49≈30×50=1500，实际1519；52×29≈50×30=1500，实际1508；38×42≈40×40=1600；61×25≈60×30=1800。1508最接近1500。,,,,,,,
MPPQ-170,P3,upper,fill-in,Foundation,第79小组：阅读活动从12:00开始，持续50分钟。活动持续了多少分钟？,,50分钟,50分钟,题目给出的持续时间就是50分钟。,,,,,,,
MPPQ-171,P3,lower,multiple-choice,Core,算式 846÷6 的商是（ ）。,A. 140 | B. 141 | C. 142 | D. 143,B. 141,B. 141 | B,846÷6=141，因为6×141=846。,,,,,,,
MPPQ-172,P3,upper,multiple-choice,Foundation,第54小组：阅读活动从12:00开始，持续45分钟。活动持续了多少分钟？,50分钟 | 40分钟 | 12分钟 | 45分钟,45分钟,45分钟,题目给出的持续时间就是45分钟。,,,,,,,
MPPQ-173,P3,lower,multiple-choice,Exam,小明买文具花了3元5角，写成小数是（ ）元。,3.5 | 3.05 | 35.0 | 0.35,3.5,3.5,3元5角，5角=0.5元，合起来是3.5元。,,,,,,,
MPPQ-174,P3,lower,fill-in,Core,第105小组：一个长方形长9厘米、宽2厘米，面积是多少？,,18平方厘米,18平方厘米,长方形面积=长x宽，9x2=18平方厘米。,,,,,,,
MPPQ-175,P3,lower,multiple-choice,Foundation,用一根长24厘米的铁丝围成一个正方形，这个正方形的面积是多少平方厘米？,24 | 36 | 48 | 64,36,36,铁丝长即周长，正方形边长=24÷4=6厘米，面积=6×6=36平方厘米。,,,,,,,
MPPQ-176,P3,lower,short-answer,Challenge,第177小组：求5、7、9这三个数的平均数。,,7,7,平均数=(5+7+9)÷3=7。,,,,,,,
MPPQ-177,P3,lower,short-answer,Challenge,"下面是三年级两个班学生喜欢的运动项目统计表：

| 班级 | 足球 | 篮球 | 乒乓球 | 跳绳 |
|------|------|------|--------|------|
| 三(1)班 | 12 | 8 | 15 | 10 |
| 三(2)班 | 10 | 14 | 9 | 11 |

请问：三(1)班喜欢乒乓球的人数比三(2)班多几人？两个班喜欢篮球的总人数是多少？",,"6, 22","6, 22 | 6人, 22人",三(1)班乒乓球15人，三(2)班乒乓球9人，多15-9=6人。篮球总人数：三(1)班8人+三(2)班14人=22人。,,,,,,,
MPPQ-178,P3,lower,short-answer,Core,第170小组：求6、8、10这三个数的平均数。,,8,8,平均数=(6+8+10)÷3=8。,,,,,,,
MPPQ-179,P3,lower,short-answer,Core,一箱橙子有24个，幼儿园买了15箱。先估算大约有多少个橙子，再精确计算。写出估算和精确计算的过程。,,估算：约300个；精确：360个,"估算：约300个；精确：360个 | 约300, 360 | 300, 360",估算：24≈20，20×15=300，所以大约300个。精确计算：24×15=24×10+24×5=240+120=360个。,,,,,,,
MPPQ-180,P3,upper,fill-in,Core,第82小组：阅读活动从10:00开始，持续25分钟。活动持续了多少分钟？,,25分钟,25分钟,题目给出的持续时间就是25分钟。,,,,,,,
MPPQ-181,P3,lower,short-answer,Exam,学校图书馆有12个书架，每个书架有4层，每层可以放28本书。图书馆已经放了896本书，请问还能放多少本书？请写出计算过程并回答。,,448本,448本 | 448,先计算总容量：12×4×28=1344本。已放896本，剩余1344-896=448本。,,,,,,,
MPPQ-182,P3,upper,fill-in,Foundation,第80小组：阅读活动从8:00开始，持续15分钟。活动持续了多少分钟？,,15分钟,15分钟,题目给出的持续时间就是15分钟。,,,,,,,
MPPQ-183,P3,lower,short-answer,Foundation,计算并验算：256 ÷ 4 = ______,,64,64,256÷4=64，验算：64×4=256。,,,,,,,
MPPQ-184,P3,upper,multiple-choice,Foundation,第55小组：阅读活动从8:00开始，持续50分钟。活动持续了多少分钟？,45分钟 | 8分钟 | 50分钟 | 55分钟,50分钟,50分钟,题目给出的持续时间就是50分钟。,,,,,,,
MPPQ-185,P3,upper,fill-in,Challenge,在算式□÷7=12……△中，△最大是几？这时□是多少？,,△最大是6，□是90,"△最大是6，□是90 | 6,90",余数△必须比除数7小，最大是6。被除数□=12×7+6=84+6=90。,,,,,,,
MPPQ-186,P3,lower,fill-in,Core,第106小组：一个长方形长10厘米、宽4厘米，面积是多少？,,40平方厘米,40平方厘米,长方形面积=长x宽，10x4=40平方厘米。,,,,,,,
MPPQ-187,P3,upper,fill-in,Core,把一根彩带对折再对折后，每一段的长度是原来彩带长度的几分之一？如果原来彩带长16分米，对折两次后每段长______分米。,,四分之一，4,"四分之一，4 | 1/4, 4",对折一次平均分成2份，对折两次平均分成4份，每份是1/4。16÷4=4分米。,,,,,,,
MPPQ-188,P3,lower,short-answer,Challenge,第178小组：求6、8、10这三个数的平均数。,,8,8,平均数=(6+8+10)÷3=8。,,,,,,,
MPPQ-189,P3,upper,fill-in,Exam,一个正方形的边长是7厘米，它的周长是______厘米。,,28,28 | 28厘米,正方形周长 = 边长×4 = 7×4 = 28（厘米）。,,,,,,,
MPPQ-190,P3,lower,short-answer,Core,第171小组：求7、9、11这三个数的平均数。,,9,9,平均数=(7+9+11)÷3=9。,,,,,,,
MPPQ-191,P3,upper,fill-in,Foundation,有35支铅笔，平均分给8个小朋友，每人分到（  ）支，还剩（  ）支。,,"4,3","4,3 | 4支,3支",35 ÷ 8 = 4（支）……3（支），所以每人分到4支，还剩3支。,,,,,,,
MPPQ-192,P3,upper,fill-in,Core,第83小组：阅读活动从11:00开始，持续30分钟。活动持续了多少分钟？,,30分钟,30分钟,题目给出的持续时间就是30分钟。,,,,,,,
MPPQ-193,P3,upper,multiple-choice,Challenge,果园里有苹果树8棵，梨树的棵数是苹果树的4倍。梨树有多少棵？,2棵 | 12棵 | 32棵 | 40棵,32棵,32棵,求一个数的几倍是多少，用乘法：8 × 4 = 32（棵）。,,,,,,,
MPPQ-194,P3,upper,fill-in,Foundation,乐乐从10:00开始练习口算，练习了46分钟。练习时间是多少分钟？,,46分钟,46分钟,题目直接给出持续46分钟，所以答案是46分钟。,,,,,,,
MPPQ-195,P3,upper,multiple-choice,Core,一个长方形的长是12厘米，宽是8厘米。下面哪个说法是正确的？,周长是20厘米 | 周长是40厘米 | 周长是96厘米 | 周长是48厘米,周长是40厘米,周长是40厘米,长方形周长 = (长+宽)×2 = (12+8)×2 = 20×2 = 40（厘米）。,,,,,,,
MPPQ-196,P3,upper,multiple-choice,Foundation,第56小组：阅读活动从9:00开始，持续15分钟。活动持续了多少分钟？,9分钟 | 15分钟 | 20分钟 | 10分钟,15分钟,15分钟,题目给出的持续时间就是15分钟。,,,,,,,
MPPQ-197,P3,upper,multiple-choice,Exam,把一张圆形纸片平均分成8份，涂色部分占其中的3份。涂色部分可以用哪个分数表示？,1/3 | 3/8 | 1/8 | 3/11,3/8,3/8,整体被平均分成8份，分母是8；涂色部分占3份，分子是3，所以是3/8。,,,,,,,
MPPQ-198,P3,lower,fill-in,Core,第107小组：一个长方形长11厘米、宽6厘米，面积是多少？,,66平方厘米,66平方厘米,长方形面积=长x宽，11x6=66平方厘米。,,,,,,,
MPPQ-199,P3,upper,multiple-choice,Foundation,下列哪个图形的涂色部分可以用1/4表示？,一个正方形被分成4个大小不同的三角形，涂了其中1个。 | 一个圆形被平均分成4份，涂了其中1份。 | 一个长方形被分成4份，涂了其中1份。 | 一个三角形被分成4份，涂了其中1份。,一个圆形被平均分成4份，涂了其中1份。,一个圆形被平均分成4份，涂了其中1份。,只有平均分成4份，涂1份才能用1/4表示。圆形被平均分成4份，符合条件。,,,,,,,
MPPQ-200,P3,lower,short-answer,Challenge,第179小组：求7、9、11这三个数的平均数。,,9,9,平均数=(7+9+11)÷3=9。,,,,,,,
MPPQ-201,P3,upper,short-answer,Challenge,一个长方形花坛，长是8米，宽是5米。如果在花坛四周围上篱笆，篱笆长多少米？,,26,26 | 26米,篱笆长就是长方形的周长，周长 = (长+宽)×2 = (8+5)×2 = 13×2 = 26（米）。,,,,,,,
MPPQ-202,P3,lower,short-answer,Core,第156小组：求8、10、12这三个数的平均数。,,10,10,平均数=(8+10+12)÷3=10。,,,,,,,
MPPQ-203,P3,upper,short-answer,Core,有38个苹果，每盒装5个，可以装满几盒？还剩几个？如果再拿来几个苹果，就可以正好装满9盒？请写出计算过程。,,7盒，剩3个，再拿来7个,7盒，剩3个，再拿来7个 | 7盒，3个，7个,38÷5=7（盒）……3（个）。装满9盒需要9×5=45个，已有38个，45-38=7个，所以再拿来7个。,,,,,,,
MPPQ-204,P3,upper,fill-in,Core,第85小组：阅读活动从8:00开始，持续40分钟。活动持续了多少分钟？,,40分钟,40分钟,题目给出的持续时间就是40分钟。,,,,,,,
MPPQ-205,P3,upper,short-answer,Foundation,小明在计算一道减法题时，把减数240看成了420，算出的差是300。正确的差应该是多少？请写出你的思考过程。,,480,480,错误计算：被减数 - 420 = 300，被减数=300+420=720。正确计算：720 - 240 = 480。,,,,,,,
MPPQ-206,P3,upper,fill-in,Foundation,运动场的小活动在12:00开始，持续52分钟。活动持续了多久？,,52分钟,52分钟,题目直接给出持续52分钟，所以答案是52分钟。,,,,,,,
MPPQ-207,P3,lower,fill-in,Core,把84块巧克力平均分给3个班，每个班分到多少块？如果每班再平均分给4个小组，每个小组分到多少块？,,"28,7","28,7 | 28块,7块 | 每个班28块，每个小组7块",84 ÷ 3 = 28（块），每个班28块。28 ÷ 4 = 7（块），每个小组7块。,,,,,,,
MPPQ-208,P3,upper,multiple-choice,Foundation,第57小组：阅读活动从10:00开始，持续20分钟。活动持续了多少分钟？,20分钟 | 25分钟 | 15分钟 | 10分钟,20分钟,20分钟,题目给出的持续时间就是20分钟。,,,,,,,
MPPQ-209,P3,lower,fill-in,Foundation,在算式 □÷6=12……△ 中，△最大是______，此时□是______。,,"5, 77","5, 77",在有余数的除法中，余数必须小于除数，所以△最大是5。被除数=商×除数+余数=12×6+5=72+5=77。,,,,,,,
MPPQ-210,P3,lower,fill-in,Core,第108小组：一个长方形长3厘米、宽2厘米，面积是多少？,,6平方厘米,6平方厘米,长方形面积=长x宽，3x2=6平方厘米。,,,,,,,
MPPQ-211,P3,lower,multiple-choice,Core,一个长方形的长是8厘米，宽是5厘米。下列说法正确的是（ ）。,A. 面积是40平方厘米，周长是26厘米 | B. 面积是26平方厘米，周长是40厘米 | C. 面积是40厘米，周长是26平方厘米 | D. 面积是13平方厘米，周长是40厘米,A. 面积是40平方厘米，周长是26厘米,A. 面积是40平方厘米，周长是26厘米 | A,长方形面积=长×宽=8×5=40平方厘米；周长=(长+宽)×2=(8+5)×2=26厘米。注意面积单位是平方厘米，周长单位是厘米。,,,,,,,
MPPQ-212,P3,lower,short-answer,Challenge,第185小组：求5、7、9这三个数的平均数。,,7,7,平均数=(5+7+9)÷3=7。,,,,,,,
MPPQ-213,P3,lower,multiple-choice,Foundation,"下面哪个图形的面积最大？
甲：边长为4厘米的正方形
乙：长为5厘米、宽为3厘米的长方形
丙：长为6厘米、宽为2厘米的长方形
丁：边长为3厘米的正方形",甲 | 乙 | 丙 | 丁,甲,甲,甲面积=4×4=16平方厘米；乙面积=5×3=15平方厘米；丙面积=6×2=12平方厘米；丁面积=3×3=9平方厘米。所以甲的面积最大。,,,,,,,
MPPQ-214,P3,lower,short-answer,Core,第157小组：求9、11、13这三个数的平均数。,,11,11,平均数=(9+11+13)÷3=11。,,,,,,,
MPPQ-215,P3,lower,short-answer,Challenge,一个长方形花坛的长是8米，宽是5米。这个花坛的周长是多少米？面积是多少平方米？,,周长26米，面积40平方米,周长26米，面积40平方米 | 周长26米、面积40平方米,周长 = (8+5)×2 = 26米；面积 = 8×5 = 40平方米。注意周长用长度单位，面积用面积单位。,,,,,,,
MPPQ-216,P3,upper,fill-in,Core,第86小组：阅读活动从9:00开始，持续45分钟。活动持续了多少分钟？,,45分钟,45分钟,题目给出的持续时间就是45分钟。,,,,,,,
MPPQ-217,P3,lower,short-answer,Core,一个长方形花坛，长 8 米，宽 5 米。如果在花坛四周围上篱笆，篱笆长多少米？如果每平方米种 4 株花，一共可以种多少株花？请分别回答。,,篱笆长26米，可以种160株花。,"篱笆长26米，可以种160株花。 | 26米，160株 | 26,160",篱笆长即周长：(8+5)×2=26米。面积：8×5=40平方米，种花：40×4=160株。,,,,,,,
MPPQ-218,P3,upper,fill-in,Foundation,阅读时间从9:00开始，记录表写着持续18分钟。持续时间是多少？,,18分钟,18分钟,题目直接给出持续18分钟，所以答案是18分钟。,,,,,,,
MPPQ-219,P3,lower,short-answer,Foundation,妈妈买了2.5千克苹果和1.8千克香蕉。苹果每千克8元，香蕉每千克6元。妈妈一共花了多少钱？,,30.8元,30.8元 | 30.8,苹果总价：2.5×8=20元；香蕉总价：1.8×6=10.8元；合计：20+10.8=30.8元。,,,,,,,
MPPQ-220,P3,upper,multiple-choice,Foundation,第58小组：阅读活动从11:00开始，持续25分钟。活动持续了多少分钟？,30分钟 | 20分钟 | 11分钟 | 25分钟,25分钟,25分钟,题目给出的持续时间就是25分钟。,,,,,,,
MPPQ-221,P3,upper,fill-in,Challenge,一箱矿泉水有24瓶，学校买了6箱。如果把这些矿泉水平均分给8个班，每个班可以分到多少瓶？,,18瓶,18瓶 | 18,总瓶数：24×6=144（瓶）。平均分给8个班：144÷8=18（瓶）。,,,,,,,
MPPQ-222,P3,lower,fill-in,Core,第109小组：一个长方形长4厘米、宽4厘米，面积是多少？,,16平方厘米,16平方厘米,长方形面积=长x宽，4x4=16平方厘米。,,,,,,,
MPPQ-223,P3,upper,fill-in,Core,在括号里填上合适的数：5千米 = ( )米。,,5000,5000,1千米=1000米，5千米就是5个1000米，即5000米。,,,,,,,
MPPQ-224,P3,lower,short-answer,Challenge,第186小组：求6、8、10这三个数的平均数。,,8,8,平均数=(6+8+10)÷3=8。,,,,,,,
MPPQ-225,P3,upper,fill-in,Foundation,计算 234 × 3 = ______。,,702,702,用3分别乘234的每一位：3×4=12，写2进1；3×3=9，加进位1得10，写0进1；3×2=6，加进位1得7，所以结果是702。,,,,,,,
MPPQ-226,P3,lower,short-answer,Core,第158小组：求10、12、14这三个数的平均数。,,12,12,平均数=(10+12+14)÷3=12。,,,,,,,
