questionId,ordinal,promptFrame,grade,semester,type,difficulty,topicId,family,promptZhHans,answer,independentAnswer,deterministicAnswerStatus,optionCount,correctOptionHits,multipleChoiceStatus,sourceSafetyStatus,sourceSafetyHits,exactPromptDuplicateStatus,evidenceCardCount,examPatternCardCount
pep-primary-p5-l-fi-130,111,frame-3,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,科学桌的记录显示两次用料为1/6包和2/6包，一共用了多少包？,1/2,1/2,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-131,112,frame-1,P5,lower,short-answer,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,乐乐先完成3/8页练习，又完成2/8页，一共完成几分之几页？,5/8,5/8,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-132,113,frame-2,P5,lower,short-answer,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,两段同样长的纸带分别占全长的2/10和2/10，合起来是多少？,2/5,2/5,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-133,114,frame-3,P5,lower,short-answer,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,美术柜的记录显示两次用料为1/6包和2/6包，一共用了多少包？,1/2,1/2,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-154,115,frame-1,P5,lower,short-answer,Core,pep-primary-p5-lower-volume-data,volume-data,浩浩搭了一个长方体，长7厘米、宽4厘米、高2厘米，体积是多少？,56立方厘米,56立方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-177,116,frame-2,P5,lower,short-answer,Challenge,pep-primary-p5-lower-volume-data,volume-data,阅读区有个长方体盒子，长7厘米、宽6厘米、高4厘米。它的体积是多少？,168立方厘米,168立方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-sa-200,117,frame-3,P5,lower,short-answer,Exam,pep-primary-p5-lower-volume-data,volume-data,一块长方体积木的长、宽、高分别是7厘米、3厘米、2厘米，体积是多少立方厘米？,42立方厘米,42立方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-u-mc-002,118,frame-1,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,晨晨有190张练习卡，完成了50%。完成了多少张？,95,95,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-003,119,frame-2,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,科学桌准备90个材料，其中20%已经分类。已经分类多少个？,18,18,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-004,120,frame-3,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,一份调查共有110人参加，50%选择了A项。选择A项的有多少人？,55,55,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-001,121,frame-1,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,小林有90张练习卡，完成了20%。完成了多少张？,18,18,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-021,122,frame-2,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,美术柜准备180个材料，其中25%已经分类。已经分类多少个？,45,45,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-041,123,frame-3,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,一份调查共有150人参加，50%选择了A项。选择A项的有多少人？,75,75,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-l-fi-101,124,frame-1,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,乐乐把30升饮料按2:3分成两份，较大的那份是多少升？,18升,18升,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-fi-102,125,frame-2,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,运动场有15米彩带，按2:3剪成两段，较长的一段是多少米？,9米,9米,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-fi-103,126,frame-3,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,婷婷把25个奖章按2:3分给两组，人数多的一组分到多少个？,15个,15个,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-fi-111,127,frame-1,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,浩浩把20升饮料按2:3分成两份，较大的那份是多少升？,12升,12升,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-fi-121,128,frame-2,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,图书角有25米彩带，按2:3剪成两段，较长的一段是多少米？,15米,15米,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-fi-130,129,frame-3,P6,lower,fill-in,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,小雨把25个花盆按2:3分给两组，人数多的一组分到多少个？,15个,15个,pass,,,n/a,pass,,pass,1,1
pep-primary-p6-l-sa-131,130,frame-1,P6,lower,short-answer,Core,pep-primary-p6-lower-ratio-proportion-scale,ratio-proportion,晨晨把10升饮料按2:3分成两份，较大的那份是多少升？,6升,6升,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-104,131,frame-2,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,种植区记录了58个作品，后来撤下7个，现在记录多少个？,51,51,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-105,132,frame-3,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,一袋材料先有64个，活动中用掉12个，活动后有多少个？,52,52,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-106,133,frame-1,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,小林原来有70张练习本，送出17张，现在有多少张？,53,53,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-107,134,frame-2,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,手工桌记录了76个作品，后来撤下5个，现在记录多少个？,71,71,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-108,135,frame-3,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,一袋材料先有34个，活动中用掉10个，活动后有多少个？,24,24,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-109,136,frame-1,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,乐乐原来有40张奖章，送出15张，现在有多少张？,25,25,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-115,137,frame-2,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,数学角有43个材料，每8个装一袋，可以装几袋，还剩几个？,5余3,5余3,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-120,138,frame-3,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,把68个模型平均按每组7个分组，结果怎样表示？,9余5,9余5,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-126,139,frame-1,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,浩浩把61张花盆按每7张一份整理，商和余数是多少？,8余5,8余5,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-128,140,frame-2,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,阅读区有18个材料，每3个装一袋，可以装几袋，还剩几个？,6,6,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-140,141,frame-3,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,把6个模型平均按每组2个分组，结果怎样表示？,3,3,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-141,142,frame-1,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,晨晨把26张书签按每4张一份整理，商和余数是多少？,6余2,6余2,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-155,143,frame-2,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,佳佳在科学桌整理三盒彩笔，分别有6支、8支、10支，平均每盒有多少支？,8,8,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-160,144,frame-3,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,图书角记录了三组数据：12、14、16。这三个数的平均数是多少？,14,14,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-161,145,frame-1,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,小林三次跳绳成绩是6下、8下、10下，平均每次多少下？,8,8,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-162,146,frame-2,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,小雅在美术柜整理三盒彩笔，分别有8支、10支、12支，平均每盒有多少支？,10,10,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-163,147,frame-3,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,种植区记录了三组数据：10、12、14。这三个数的平均数是多少？,12,12,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-168,148,frame-1,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,乐乐三次跳绳成绩是8下、10下、12下，平均每次多少下？,10,10,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-135,149,frame-2,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,运动场记录两次用水量为1.4升和2.4升，合计多少升？,3.8,3.8,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-144,150,frame-3,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,两盒彩泥质量分别是1.5千克和2.5千克，总质量是多少千克？,4,4,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-102,151,frame-1,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,浩浩量到两段彩带分别长1米和2.3米，一共长多少米？,3.3,3.3,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-103,152,frame-2,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,图书角记录两次用水量为1.2升和2.6升，合计多少升？,3.8,3.8,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-104,153,frame-3,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,两盒彩泥质量分别是1.4千克和2千克，总质量是多少千克？,3.4,3.4,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-105,154,frame-1,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,晨晨量到两段彩带分别长1.6米和2.3米，一共长多少米？,3.9,3.9,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-mc-002,155,frame-2,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,一个数乘3再加11等于38，这个数是多少？,9,9,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-003,156,frame-3,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,阅读区的等量关系是5x+6=26，求x的值。,4,4,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-004,157,frame-1,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,小林买了2本同价练习本，又买了10元的书签，共用24元。每本练习本多少元？,7,7,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-005,158,frame-2,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,一个数乘4再加5等于45，这个数是多少？,10,10,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-006,159,frame-3,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,科学桌的等量关系是6x+9=39，求x的值。,5,5,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-007,160,frame-1,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,乐乐买了3本同价练习本，又买了4元的书签，共用28元。每本练习本多少元？,8,8,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-005,161,frame-2,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,数学角准备170个材料，其中20%已经分类。已经分类多少个？,34,34,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-006,162,frame-3,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,一份调查共有190人参加，50%选择了A项。选择A项的有多少人？,95,95,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-007,163,frame-1,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,浩浩有90张练习卡，完成了20%。完成了多少张？,18,18,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-008,164,frame-2,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,阅读区准备110个材料，其中50%已经分类。已经分类多少个？,55,55,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-009,165,frame-3,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,一份调查共有130人参加，20%选择了A项。选择A项的有多少人？,26,26,pass,4,1,pass,pass,,pass,1,1
pep-primary-p6-u-mc-010,166,frame-1,P6,upper,multiple-choice,Foundation,pep-primary-p6-upper-percent-fractions,percent-fractions,晨晨有150张练习卡，完成了50%。完成了多少张？,75,75,pass,4,1,pass,pass,,pass,1,1
